| Economy | VENEZUELA |
| --- | --- |
| Economy - overview: | Venezuela remains highly dependent on oil revenues, which account for roughly 96% of export earnings, about 40% of government revenues, and 11% of GDP. The country ended 2014 with an estimated 4% contraction in its GDP, 68.4% inflation, widespread shortages of consumer goods, and declining central bank international reserves. The International Monetary Fund forecasts that the GDP will shrink another 7% in 2015 and inflation may reach 80%. Under President Nicolas MADURO, the Venezuelan government&rsquo;s response to the economic crisis has been to increase state control over the economy and blame the private sector for the shortages. The Venezuelan government has maintained strict currency controls since 2003. Currently, three official currency exchange mechanisms are in place for the sale of dollars to private sector firms and individuals, with rates based on the government's import priorities. These currency controls present significant obstacles to trade with Venezuela because importers cannot obtain sufficient dollars to purchase goods needed to maintain their operations. MADURO has used decree powers to enact legislation to deepen the state&rsquo;s role as the primary buyer and marketer of imports, further tighten currency controls, cap business profits, and extend price controls. Falling oil prices since 2014 have aggravated Venezuela&rsquo;s economic crisis. Insufficient access to dollars, price controls, and rigid labor regulations have led some US and multinational firms to reduce or shut down their Venezuelan operations. High costs for oil production and state oil company PDVSA&rsquo;s poor cash flow have slowed investment in the petroleum sector, resulting in a decline in oil production. |
| GDP (purchasing power parity): | $538.9 billion (2014 est.) |
| GDP (purchasing power parity): | $561.4 billion (2013 est.) |
| GDP (purchasing power parity): | $553.9 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $205.8 billion (2014 est.) |
| GDP - real growth rate: | -4% (2014 est.) |
| GDP - real growth rate: | 1.3% (2013 est.) |
| GDP - real growth rate: | 5.6% (2012 est.) |
| GDP - per capita (PPP): | $17,700 (2014 est.) |
| GDP - per capita (PPP): | $18,400 (2013 est.) |
| GDP - per capita (PPP): | $18,200 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 20.8% of GDP (2014 est.) |
| Gross national saving: | 22.4% of GDP (2013 est.) |
| Gross national saving: | 29.5% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 65.4% |
| GDP - composition, by end use: | government consumption: 16.3% |
| GDP - composition, by end use: | investment in fixed capital: 13.1% |
| GDP - composition, by end use: | investment in inventories: 5.4% |
| GDP - composition, by end use: | exports of goods and services: 16.7% |
| GDP - composition, by end use: | imports of goods and services: -16.8% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.8% |
| GDP - composition, by sector of origin: | industry: 35.4% |
| GDP - composition, by sector of origin: | services: 60.8% (2014 est.) |
| Agriculture - products: | corn, sorghum, sugarcane, rice, bananas, vegetables, coffee; beef, pork, milk, eggs; fish |
| Industries: | agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, pharmaceuticals, chemicals, iron and steel products, crude oil and petroleum products |
| Industrial production growth rate: | -1% (2014 est.) |
| Labor force: | 14.34 million (2014 est.) |
| Labor force - by occupation: | agriculture: 7.3% |
| Labor force - by occupation: | industry: 21.8% |
| Labor force - by occupation: | services: 70.9% (4th quarter, 2011 est.) |
| Unemployment rate: | 8% (2014 est.) |
| Unemployment rate: | 7.5% (2013 est.) |
| Population below poverty line: | 31.6% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 32.7% (2006) |
| Distribution of family income - Gini index: | 39 (2011) |
| Distribution of family income - Gini index: | 49.5 (1998) |
| Budget: | revenues: $142.6 billion |
| Budget: | expenditures: $204 billion (2014 est.) |
| Taxes and other revenues: | 68.2% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -29.4% of GDP (2014 est.) |
| Public debt: | 51.4% of GDP (2014 est.) |
| Public debt: | 50.9% of GDP (2013 est.) |
| Public debt: | note: data cover central government debt, as well as the debt of state-owned oil company PDVSA; the data include treasury debt held by foreign entities; the data include some debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; some debt instruments for the social funds are sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 62.2% (2014 est.) |
| Inflation rate (consumer prices): | 40.6% (2013 est.) |
| Central bank discount rate: | 29.5% (31 December 2010) |
| Central bank discount rate: | 29.5% (31 December 2009) |
| Commercial bank prime lending rate: | 17.5% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 15.9% (31 December 2013 est.) |
| Stock of narrow money: | $356 billion (31 December 2014 est.) |
| Stock of narrow money: | $192.3 billion (31 December 2013 est.) |
| Stock of broad money: | $360 billion (31 December 2014 est.) |
| Stock of broad money: | $196 billion (31 December 2013 est.) |
| Stock of domestic credit: | $372.7 billion (31 December 2014 est.) |
| Stock of domestic credit: | $196.4 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $25.3 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $5.143 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $3.991 billion (31 December 2010 est.) |
| Current account balance: | $8.865 billion (2014 est.) |
| Current account balance: | $11.95 billion (2013 est.) |
| Exports: | $83.2 billion (2014 est.) |
| Exports: | $88.76 billion (2013 est.) |
| Exports - commodities: | petroleum and petroleum products, bauxite and aluminum, minerals, chemicals, agricultural products |
| Exports - partners: | US 34.6%, India 15.1%, China 12.9%, Cuba 5.3%, Singapore 4.8% (2014) |
| Imports: | $50.34 billion (2014 est.) |
| Imports: | $51.93 billion (2013 est.) |
| Imports - commodities: | agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, petroleum products, pharmaceuticals, chemicals, iron and steel products |
| Imports - partners: | US 24.2%, China 12.1%, Brazil 9.9%, Colombia 4.3%, Argentina 4.1% (2014) |
| Reserves of foreign exchange and gold: | $20.2 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $21.48 billion (31 December 2013 est.) |
| Debt - external: | $69.66 billion (31 December 2014 est.) |
| Debt - external: | $70.16 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $57.14 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $55.23 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $25.38 billion (31 December 2014 est.) |
