| Economy | Venezuela |
| --- | --- |
| Economy - overview: | Venezuela remains highly dependent on oil revenues, which account for almost all export earnings and nearly half of the governmentâ€™s revenue, despite a continued decline in oil production in 2017. In the absence of official statistics, foreign experts estimate that GDP contracted 12% in 2017, inflation exceeded 2000%, people faced widespread shortages of consumer goods and medicine, and the central bank's international reserves dwindled. In late 2017, Venezuela also entered selective default on some of its sovereign and state oil company, Petroleos de Venezuela, S.A., (PDVSA) bonds. Domestic production and industry continues to severely underperform and the Venezuelan Government continues to rely on imports to meet its basic food and consumer goods needs. |
| Economy - overview: | Falling oil prices since 2014 have aggravated Venezuelaâ€™s economic crisis. Insufficient access to dollars, price controls, and rigid labor regulations have led some US and multinational firms to reduce or shut down their Venezuelan operations. Market uncertainty and PDVSAâ€™s poor cash flow have slowed investment in the petroleum sector, resulting in a decline in oil production. |
| Economy - overview: | Under President Nicolas MADURO, the Venezuelan Governmentâ€™s response to the economic crisis has been to increase state control over the economy and blame the private sector for shortages. MADURO has given authority for the production and distribution of basic goods to the military and to local socialist party member committees. The Venezuelan Government has maintained strict currency controls since 2003. The government has been unable to sustain its mechanisms for distributing dollars to the private sector, in part because it needed to withhold some foreign exchange reserves to make its foreign bond payments. As a result of price and currency controls, local industries have struggled to purchase production inputs necessary to maintain their operations or sell goods at a profit on the local market. Expansionary monetary policies and currency controls have created opportunities for arbitrage and corruption and fueled a rapid increase in black market activity. |
| GDP (purchasing power parity): | $381.6 billion (2017 est.) |
| GDP (purchasing power parity): | $443.7 billion (2016 est.) |
| GDP (purchasing power parity): | $531.1 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $210.1 billion (2017 est.) |
| GDP - real growth rate: | -14% (2017 est.) |
| GDP - real growth rate: | -16.5% (2016 est.) |
| GDP - real growth rate: | -6.2% (2015 est.) |
| GDP - per capita (PPP): | $12,500 (2017 est.) |
| GDP - per capita (PPP): | $14,400 (2016 est.) |
| GDP - per capita (PPP): | $17,300 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 12.1% of GDP (2017 est.) |
| Gross national saving: | 8.6% of GDP (2016 est.) |
| Gross national saving: | 31.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 68.5% (2017 est.) |
| GDP - composition, by end use: | government consumption: 19.6% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 13.9% (2017 est.) |
