| Economy | AZERBAIJAN |
| --- | --- |
| Economy - overview: | Prior to the decline in global oil prices since 2014, Azerbaijan's high economic growth was attributable to rising energy exports, and some non-export sectors also featured double-digit growth. Oil exports through the Baku-Tbilisi-Ceyhan Pipeline, the Baku-Novorossiysk, and the Baku-Supsa Pipelines remain the main economic driver, but efforts to boost Azerbaijan's gas production are underway. The expected completion of the geopolitically important Southern Gas Corridor between Azerbaijan and Europe will open up another source of revenue from gas exports. Declining oil prices caused a 3.8% contraction in GDP in 2016, reinforced by a sharp reduction in the construction sector. The economic decline has been accompanied by higher inflation and a weakened banking sector in the aftermath of the two sharp currency devaluations in 2015. |
| Economy - overview: | Azerbaijan has made limited progress with market-based economic reforms. Pervasive public and private sector corruption and structural economic inefficiencies remain a drag on long-term growth, particularly in non-energy sectors, but the government has made efforts to combat corruption, particularly in customs and with the “ASAN” one-stop window concept for government services. Several other obstacles impede Azerbaijan's economic progress, including the need for more foreign investment in the non-energy sector and the continuing conflict with Armenia over the Nagorno-Karabakh region. While trade with Russia and the other former Soviet republics remains important, Azerbaijan has expanded trade with Turkey and Europe and is seeking new markets for non-oil/gas exports, mainly from the agricultural sector, for example with Gulf Cooperation Council member countries, the US, and others. |
| Economy - overview: | Long-term prospects depend on world oil prices, Azerbaijan's ability to implement export routes for its growing gas production, and its ability to improve the business environment and diversify the economy. In late 2016, the President approved a strategic roadmap that identified key non-energy segments of the economy for development, such as agriculture, logistics, and tourism. |
| GDP (purchasing power parity): | $165.7 billion (2016 est.) |
| GDP (purchasing power parity): | $168.8 billion (2015 est.) |
| GDP (purchasing power parity): | $165.9 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $37.56 billion (2016 est.) |
| GDP - real growth rate: | -3.1% (2016 est.) |
| GDP - real growth rate: | 0.6% (2015 est.) |
| GDP - real growth rate: | 2.7% (2014 est.) |
| GDP - per capita (PPP): | $17,500 (2016 est.) |
| GDP - per capita (PPP): | $18,200 (2015 est.) |
| GDP - per capita (PPP): | $18,200 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 18% of GDP (2016 est.) |
| Gross national saving: | 22.2% of GDP (2015 est.) |
| Gross national saving: | 37.1% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 57.8% |
| GDP - composition, by end use: | government consumption: 13.1% |
| GDP - composition, by end use: | investment in fixed capital: 24.8% |
| GDP - composition, by end use: | investment in inventories: 1.4% |
| GDP - composition, by end use: | exports of goods and services: 46.5% |
| GDP - composition, by end use: | imports of goods and services: -43.7% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 6% |
| GDP - composition, by sector of origin: | industry: 51.7% |
| GDP - composition, by sector of origin: | services: 42.3% (2016 est.) |
| Agriculture - products: | fruit, vegetables, grain, rice, grapes, tea, cotton, tobacco; cattle, pigs, sheep, goats |
| Industries: | petroleum and petroleum products, natural gas, oilfield equipment; steel, iron ore; cement; chemicals and petrochemicals; textiles |
| Industrial production growth rate: | -4.2% (2016 est.) |
| Labor force: | 5.032 million (2016 est.) |
| Labor force - by occupation: | agriculture: 37% |
| Labor force - by occupation: | industry: 14.3% |
| Labor force - by occupation: | services: 48.9% (2014) |
| Unemployment rate: | 6% (2016 est.) |
| Unemployment rate: | 5.8% (2015 est.) |
| Population below poverty line: | 4.9% (2015 est.) |
