| Economy | Azerbaijan |
| --- | --- |
| Economy - overview: | Prior to the decline in global oil prices since 2014, Azerbaijan's high economic growth was attributable to rising energy exports and to some non-export sectors. Oil exports through the Baku-Tbilisi-Ceyhan Pipeline, the Baku-Novorossiysk, and the Baku-Supsa Pipelines remain the main economic driver, but efforts to boost Azerbaijan's gas production are underway. The expected completion of the geopolitically important Southern Gas Corridor (SGC) between Azerbaijan and Europe will open up another source of revenue from gas exports. First gas to Turkey through the SGC is expected in 2018 with project completion expected by 2020-21. |
| Economy - overview: | Declining oil prices caused a 3.1% contraction in GDP in 2016, and a 0.8% decline in 2017, highlighted by a sharp reduction in the construction sector. The economic decline was accompanied by higher inflation, a weakened banking sector, and two sharp currency devaluations in 2015. Azerbaijanâ€™s financial sector continued to struggle. In May 2017, Baku allowed the majority state-owed International Bank of Azerbaijan (IBA), the nationâ€™s largest bank, to default on some of its outstanding debt and file for restructuring in Azerbaijani courts; IBA also filed in US and UK bankruptcy courts to have its restructuring recognized in their respective jurisdictions. |
| Economy - overview: | Azerbaijan has made limited progress with market-based economic reforms. Pervasive public and private sector corruption and structural economic inefficiencies remain a drag on long-term growth, particularly in non-energy sectors. The government has, however, made efforts to combat corruption, particularly in customs and government services. Several other obstacles impede Azerbaijan's economic progress, including the need for more foreign investment in the non-energy sector and the continuing conflict with Armenia over the Nagorno-Karabakh region. While trade with Russia and the other former Soviet republics remains important, Azerbaijan has expanded trade with Turkey and Europe and is seeking new markets for non-oil/gas exports - mainly in the agricultural sector - with Gulf Cooperation Council member countries, the US, and others. It is also improving Baku airport and the Caspian Sea port of Alat for use as a regional transportation and logistics hub. |
| Economy - overview: | Long-term prospects depend on world oil prices, Azerbaijan's ability to develop export routes for its growing gas production, and its ability to improve the business environment and diversify the economy. In late 2016, the president approved a strategic roadmap for economic reforms that identified key non-energy segments of the economy for development, such as agriculture, logistics, information technology, and tourism. In October 2017, the long-awaited Baku-Tbilisi-Kars railway, stretching from the Azerbaijani capital to Kars in north-eastern Turkey, began limited service. |
| GDP (purchasing power parity): | $172.2 billion (2017 est.) |
| GDP (purchasing power parity): | $172.1 billion (2016 est.) |
| GDP (purchasing power parity): | $177.6 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $40.67 billion (2017 est.) |
| GDP - real growth rate: | 0.1% (2017 est.) |
| GDP - real growth rate: | -3.1% (2016 est.) |
| GDP - real growth rate: | 0.6% (2015 est.) |
| GDP - per capita (PPP): | $17,500 (2017 est.) |
| GDP - per capita (PPP): | $17,700 (2016 est.) |
| GDP - per capita (PPP): | $18,500 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 24.6% of GDP (2017 est.) |
| Gross national saving: | 22.7% of GDP (2016 est.) |
| Gross national saving: | 27.3% of GDP (2015 est.) |
