| Economy | ESTONIA |
| --- | --- |
| Economy - overview: | Estonia, a member of the EU since 2004 and the euro zone since 2011, has a modern market-based economy and one of the higher per capita income levels in Central Europe and the Baltic region, but its economy is highly dependent on trade, leaving it vulnerable to external shocks. Estonia's successive governments have pursued a free market, pro-business economic agenda, and sound fiscal policies that have resulted in balanced budgets and low public debt. |
| Economy - overview: | The economy benefits from strong electronics and telecommunications sectors and strong trade ties with Finland, Sweden, Germany, and Russia. After two years of robust recovery in 2011 and 2012, the Estonian economy faltered in 2013 with only 1.6% GDP growth, mainly due to a continuing recession in much of the EU. GDP growth in 2014 picked up to 2.9% but dropped below 2% in 2015-16 due to lower demand in key Scandinavian and Russian export markets. In 2016, the government implemented modest increases in fiscal spending, which may contribute to GDP growth in 2017. |
| Economy - overview: | Estonia is challenged by a shortage of labor, both skilled and unskilled, although the government has amended its immigration law to allow easier hiring of highly qualified foreign workers. |
| GDP (purchasing power parity): | $38.94 billion (2016 est.) |
| GDP (purchasing power parity): | $37.67 billion (2015 est.) |
| GDP (purchasing power parity): | $36.65 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $23.33 billion (2016 est.) |
| GDP - real growth rate: | 2.1% (2016 est.) |
| GDP - real growth rate: | 1.7% (2015 est.) |
| GDP - real growth rate: | 2.9% (2014 est.) |
| GDP - per capita (PPP): | $29,700 (2016 est.) |
| GDP - per capita (PPP): | $29,100 (2015 est.) |
| GDP - per capita (PPP): | $28,500 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 24.6% of GDP (2016 est.) |
| Gross national saving: | 26% of GDP (2015 est.) |
| Gross national saving: | 27.1% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 52.7% |
| GDP - composition, by end use: | government consumption: 21.3% |
| GDP - composition, by end use: | investment in fixed capital: 21.9% |
| GDP - composition, by end use: | investment in inventories: -0.4% |
| GDP - composition, by end use: | exports of goods and services: 79.6% |
| GDP - composition, by end use: | imports of goods and services: -75% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.4% |
| GDP - composition, by sector of origin: | industry: 27.9% |
| GDP - composition, by sector of origin: | services: 68.7% (2016 est.) |
| Agriculture - products: | grain, potatoes, vegetables; livestock and dairy products; fish |
| Industries: | food, engineering, electronics, wood and wood products, textiles; information technology, telecommunications |
| Industrial production growth rate: | -0.6% (2016 est.) |
| Labor force: | 691,400 (2016 est.) |
| Labor force - by occupation: | agriculture: 3.1% |
| Labor force - by occupation: | industry: 20.2% |
| Labor force - by occupation: | services: 76.7% (2016 est.) |
| Unemployment rate: | 6.8% (2016 est.) |
| Unemployment rate: | 6.2% (2015 est.) |
| Population below poverty line: | 21.3% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 25.6% (2015) |
| Distribution of family income - Gini index: | 34.8 (2015) |
| Distribution of family income - Gini index: | 35.6 (2014) |
| Budget: | revenues: $9.414 billion |
| Budget: | expenditures: $9.351 billion (2016 est.) |
| Taxes and other revenues: | 40.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 0.3% of GDP (2016 est.) |
| Public debt: | 9.5% of GDP (2016 est.) |
| Public debt: | 10.1% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities, including sub-sectors of central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.8% (2016 est.) |
| Inflation rate (consumer prices): | -0.5% (2015 est.) |
| Central bank discount rate: | 0% (31 December 2016 est.) |
| Central bank discount rate: | 0.05% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 4.23% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 4.48% (31 December 2015 est.) |
| Stock of narrow money: | $11.8 billion (31 December 2016 est.) |
