| Economy | Estonia |
| --- | --- |
| Economy - overview: | Estonia, a member of the European Union and the eurozone since 2004, has a modern market-based economy and one of the higher per capita income levels in Central Europe and the Baltic region. Estonia's successive governments have pursued a free market, pro-business economic agenda and have wavered little in their commitment to pro-market reforms. The current government has followed sound fiscal policies that have resulted in balanced budgets and low public debt. The economy benefits from strong electronics and telecommunications sectors and strong trade ties with Finland, Sweden, Russia, and Germany. Estonia's economy fell into recession in mid-2008, as a result of an investment and consumption slump following the bursting of the real estate market bubble and a decrease in export demand as result of economic slowdown in the rest of Europe, but the economy has recovered strongly in the last five years. Growth was expected to top 2% in 2014, before the events in Ukraine. Estonia adopted the euro on 1 January 2011. |
| GDP (purchasing power parity): | $29.94 billion (2013 est.) |
| GDP (purchasing power parity): | $29.49 billion (2012 est.) |
| GDP (purchasing power parity): | $28.37 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $24.28 billion (2013 est.) |
| GDP - real growth rate: | 1.5% (2013 est.) |
| GDP - real growth rate: | 3.9% (2012 est.) |
| GDP - real growth rate: | 9.6% (2011 est.) |
| GDP - per capita (PPP): | $22,400 (2013 est.) |
| GDP - per capita (PPP): | $22,000 (2012 est.) |
| GDP - per capita (PPP): | $21,200 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 23.9% of GDP (2013 est.) |
| Gross national saving: | 26.4% of GDP (2012 est.) |
| Gross national saving: | 26.9% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 50.6% |
| GDP - composition, by end use: | government consumption: 19% |
| GDP - composition, by end use: | investment in fixed capital: 24.5% |
| GDP - composition, by end use: | investment in inventories: 0.9% |
| GDP - composition, by end use: | exports of goods and services: 90.4% |
| GDP - composition, by end use: | imports of goods and services: -90.3% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.9% |
| GDP - composition, by sector of origin: | industry: 30% |
| GDP - composition, by sector of origin: | services: 66.2% (2013 est.) |
| Agriculture - products: | grain, potatoes, vegetables; livestock and dairy products; fish |
| Industries: | engineering, electronics, wood and wood products, textiles; information technology, telecommunications |
| Industrial production growth rate: | 3% (2013 est.) |
| Labor force: | 692,900 (2013 est.) |
| Labor force - by occupation: | agriculture: 4.2% |
| Labor force - by occupation: | industry: 20.2% |
| Labor force - by occupation: | services: 75.6% (2010) |
| Unemployment rate: | 10.9% (2013 est.) |
| Unemployment rate: | 10.2% (2012 est.) |
| Population below poverty line: | 17.5% (2010) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 27.7% (2004) |
| Distribution of family income - Gini index: | 31.3 (2010) |
| Distribution of family income - Gini index: | 37 (1999) |
| Budget: | revenues: $8.489 billion |
| Budget: | expenditures: $8.615 billion (2013 est.) |
| Taxes and other revenues: | 35% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -0.5% of GDP (2013 est.) |
| Public debt: | 6% of GDP (2013 est.) |
| Public debt: | 5.8% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities, including sub-sectors of central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.4% (2013 est.) |
| Inflation rate (consumer prices): | 3.9% (2012 est.) |
| Commercial bank prime lending rate: | 5.5% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 5.75% (31 December 2012 est.) |
| Stock of narrow money: | $9.994 billion (31 December 2013 est.) |
| Stock of narrow money: | $8.191 billion (31 December 2012 est.) |
| Stock of narrow money: | note: this figure represents the US dollar value of Estonian kroon in circulation prior to Estonia's joining the Economic and Monetary Union (EMU); see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the EMU; individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $13.64 billion (31 December 2013 est.) |
| Stock of broad money: | $12.71 billion (31 December 2012 est.) |
| Stock of domestic credit: | $19.16 billion (31 December 2013 est.) |
| Stock of domestic credit: | $19.24 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $2.332 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.611 billion (31 December 2011) |
| Market value of publicly traded shares: | $2.26 billion (31 December 2010 est.) |
