| Economy | Estonia |
| --- | --- |
| Economy - overview: | Estonia, a member of the EU since 2004 and the euro zone since 2011, has a modern market-based economy and one of the higher per capita income levels in Central Europe and the Baltic region, but its economy is highly dependent on trade, leaving it vulnerable to external shocks. Estonia's successive governments have pursued a free market, pro-business economic agenda, and sound fiscal policies that have resulted in balanced budgets and the lowest debt-to-GDP ratio in the EU. |
| Economy - overview: | The economy benefits from strong electronics and telecommunications sectors and strong trade ties with Finland, Sweden, Germany, and Russia. The economyâ€™s 4.9% GDP growth in 2017 was the fastest in the past six years, leaving the Estonian economy in its best position since the financial crisis 10 years ago. For the first time in many years, labor productivity increased faster than labor costs in 2017. Inflation also rose in 2017 to 3.5% alongside increased global prices for food and energy, which make up a large share of Estoniaâ€™s consumption. |
| Economy - overview: | Estonia is challenged by a shortage of labor, both skilled and unskilled, although the government has amended its immigration law to allow easier hiring of highly qualified foreign workers, and wage growth that outpaces productivity gains. The government is also pursuing efforts to boost productivity growth with a focus on innovations that emphasize technology start-ups and e-commerce. |
| GDP (purchasing power parity): | $41.65 billion (2017 est.) |
| GDP (purchasing power parity): | $39.72 billion (2016 est.) |
| GDP (purchasing power parity): | $38.92 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $25.97 billion (2017 est.) |
| GDP - real growth rate: | 4.9% (2017 est.) |
| GDP - real growth rate: | 2.1% (2016 est.) |
| GDP - real growth rate: | 1.7% (2015 est.) |
| GDP - per capita (PPP): | $31,700 (2017 est.) |
| GDP - per capita (PPP): | $30,200 (2016 est.) |
| GDP - per capita (PPP): | $29,600 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 27% of GDP (2017 est.) |
| Gross national saving: | 24.6% of GDP (2016 est.) |
| Gross national saving: | 25.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 50.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 20.4% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 24% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 2.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 77.2% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -74% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 29.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 68.1% (2017 est.) |
