| Economy | ESTONIA |
| --- | --- |
| Economy - overview: | Estonia, a member of the European Union since 2004 and the euro zone since 2011, has a modern market-based economy and one of the higher per capita income levels in Central Europe and the Baltic region. Estonia's successive governments have pursued a free market, pro-business economic agenda and have wavered little in their commitment to pro-market reforms. The current government has followed sound fiscal policies that have resulted in balanced budgets and low public debt. The economy benefits from strong electronics and telecommunications sectors and strong trade ties with Finland, Sweden, and Germany. Estonia's economy fell into recession in mid-2008, as a result of an investment and consumption slump following the bursting of the real estate market bubble and a decrease in export demand as result of economic slowdown in the rest of Europe, but the economy recovered strongly in the five years up to 2014. Growth fell below 2% in 2014 as a consequence of weak EU and Russian growth. Estonia is challenged by a shortage of labor, both skilled and unskilled, and the government has amended its immigration law to allow easier hiring of highly qualified foreign workers. |
| GDP (purchasing power parity): | $35.62 billion (2014 est.) |
| GDP (purchasing power parity): | $34.89 billion (2013 est.) |
| GDP (purchasing power parity): | $34.33 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $25.95 billion (2014 est.) |
| GDP - real growth rate: | 2.1% (2014 est.) |
| GDP - real growth rate: | 1.6% (2013 est.) |
| GDP - real growth rate: | 4.7% (2012 est.) |
| GDP - per capita (PPP): | $27,000 (2014 est.) |
| GDP - per capita (PPP): | $26,400 (2013 est.) |
| GDP - per capita (PPP): | $26,000 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 25.8% of GDP (2014 est.) |
| Gross national saving: | 26.8% of GDP (2013 est.) |
| Gross national saving: | 26.7% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 50.5% |
| GDP - composition, by end use: | government consumption: 20.1% |
| GDP - composition, by end use: | investment in fixed capital: 28.2% |
| GDP - composition, by end use: | investment in inventories: -0.3% |
| GDP - composition, by end use: | exports of goods and services: 87.1% |
| GDP - composition, by end use: | imports of goods and services: -85.6% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.6% |
| GDP - composition, by sector of origin: | industry: 29.2% |
| GDP - composition, by sector of origin: | services: 67.2% (2014 est.) |
| Agriculture - products: | grain, potatoes, vegetables; livestock and dairy products; fish |
| Industries: | engineering, electronics, wood and wood products, textiles; information technology, telecommunications |
| Industrial production growth rate: | 2% (2014 est.) |
| Labor force: | 669,800 (2014 est.) |
| Labor force - by occupation: | agriculture: 3.9% |
| Labor force - by occupation: | industry: 28.4% |
| Labor force - by occupation: | services: 67.7% (2014) |
| Unemployment rate: | 7% (2014 est.) |
| Unemployment rate: | 8.6% (2013 est.) |
| Population below poverty line: | 22.1% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 27.7% (2004) |
| Distribution of family income - Gini index: | 32.9 (2013) |
| Distribution of family income - Gini index: | 37 (1999) |
| Budget: | revenues: $9.811 billion |
| Budget: | expenditures: $9.877 billion (2014 est.) |
| Taxes and other revenues: | 37.2% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -0.2% of GDP (2014 est.) |
| Public debt: | 9.9% of GDP (2014 est.) |
| Public debt: | 9.8% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities, including sub-sectors of central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
