| Economy | Hong Kong |
| --- | --- |
| Economy - overview: | Hong Kong has a free market economy, highly dependent on international trade and finance - the value of goods and services trade, including the sizable share of reexports, is about four times GDP. Hong Kong has no tariffs on imported goods, and it levies excise duties on only four commodities, whether imported or produced locally: hard alcohol, tobacco, oil, and methyl alcohol. There are no quotas or dumping laws. Hong Kong continues to link its currency closely to the US dollar, maintaining an arrangement established in 1983. |
| Economy - overview: | Excess liquidity, low interest rates and a tight housing supply have caused Hong Kong property prices to rise rapidly. The lower and middle-income segments of the population increasingly find housing unaffordable. |
| Economy - overview: | Hong Kong's open economy has left it exposed to the global economic situation. Its continued reliance on foreign trade and investment makes it vulnerable to renewed global financial market volatility or a slowdown in the global economy. |
| Economy - overview: | Mainland China has long been Hong Kong's largest trading partner, accounting for about half of Hong Kong's total trade by value. Hong Kong's natural resources are limited, and food and raw materials must be imported. As a result of China's easing of travel restrictions, the number of mainland tourists to the territory surged from 4.5 million in 2001 to 47.3 million in 2014, outnumbering visitors from all other countries combined. After peaking in 2014, overall tourist arrivals dropped 2.5% in 2015 and 4.5% in 2016. The tourism sector rebounded in 2017, with visitor arrivals rising 3.2% to 58.47 million. Travelers from Mainland China totaled 44.45 million, accounting for 76% of the total. |
| Economy - overview: | The Hong Kong Government is promoting the Special Administrative Region (SAR) as the preferred business hub for renminbi (RMB) internationalization. Hong Kong residents are allowed to establish RMB-denominated savings accounts, RMB-denominated corporate and Chinese government bonds have been issued in Hong Kong, RMB trade settlement is allowed, and investment schemes such as the Renminbi Qualified Foreign Institutional Investor (RQFII) Program was first launched in Hong Kong. Offshore RMB activities experienced a setback, however, after the Peopleâ€™s Bank of China changed the way it set the central parity rate in August 2015. RMB deposits in Hong Kong fell from 1.0 trillion RMB at the end of 2014 to 559 billion RMB at the end of 2017, while RMB trade settlement handled by banks in Hong Kong also shrank from 6.8 trillion RMB in 2015 to 3.9 trillion RMB in 2017. |
| Economy - overview: | Hong Kong has also established itself as the premier stock market for Chinese firms seeking to list abroad. In 2015, mainland Chinese companies constituted about 50% of the firms listed on the Hong Kong Stock Exchange and accounted for about 66% of the exchange's market capitalization. |
| Economy - overview: | During the past decade, as Hong Kong's manufacturing industry moved to the mainland, its service industry has grown rapidly. In 2014, Hong Kong and China signed a new agreement on achieving basic liberalization of trade in services in Guangdong Province under the Closer Economic Partnership Agreement (CEPA), adopted in 2003 to forge closer ties between Hong Kong and the mainland. The new measures, which took effect in March 2015, cover a negative list and a most-favored treatment provision. On the basis of the Guangdong Agreement, the Agreement on Trade in Services signed in November 2015 further enhanced liberalization, including extending the implementation of the majority of Guangdong pilot liberalization measures to the whole Mainland, reducing the restrictive measures in the negative list, and adding measures in the positive lists for cross-border services as well as cultural and telecommunications services. In June 2017, the Investment Agreement and the Agreement on Economic and Technical Cooperation (Ecotech Agreement) were signed under the framework of CEPA. |
| Economy - overview: | Hong Kongâ€™s economic integration with the mainland continues to be most evident in the banking and finance sector. Initiatives like the Hong Kong-Shanghai Stock Connect, the Hong Kong- Shenzhen Stock Connect the Mutual Recognition of Funds, and the Bond Connect scheme are all important steps towards opening up the Mainlandâ€™s capital markets and have reinforced Hong Kongâ€™s role as Chinaâ€™s leading offshore RMB market. Additional connect schemes such as ETF Connect (for exchange-traded fund products) are also under exploration by Hong Kong authorities. In 2017, Chief Executive Carrie LAM announced plans to increase government spending on research and development, education, and technological innovation with the aim of spurring continued economic growth through greater sector diversification. |
| GDP (purchasing power parity): | $455.9 billion (2017 est.) |
| GDP (purchasing power parity): | $439.2 billion (2016 est.) |
| GDP (purchasing power parity): | $429.9 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $341.4 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 3.8% (2017 est.) |
| GDP - real growth rate: | 2.2% (2016 est.) |
| GDP - real growth rate: | 2.4% (2015 est.) |
| GDP - per capita (PPP): | $61,500 (2017 est.) |
| GDP - per capita (PPP): | $59,500 (2016 est.) |
