| Economy | SIERRA LEONE |
| --- | --- |
| Economy - overview: | Sierra Leone is extremely poor and nearly half of the working-age population engages in subsistence agriculture. The country possesses substantial mineral, agricultural, and fishery resources, but it is still recovering from a civil war that destroyed most institutions before ending in the early 2000s. |
| Economy - overview: | In recent years, economic growth has been driven by mining - particularly iron ore. The country’s principal exports are iron ore, diamonds, and rutile, and the economy is vulnerable to fluctuations in international prices. Until 2014, the government had relied on external assistance to support its budget, but it was gradually becoming more independent. The Ebola outbreak of 2014 and 2015, combined with falling global commodities prices, caused a significant contraction of economic activity in all areas. While the World Health Organization declared an end to the Ebola outbreak in Sierra Leone in November 2015, low commodity prices in 2015-2016 contributed to the country’s biggest fiscal shortfall since 2001. In 2017, increased iron ore exports are expected to support modest economic growth. Non-mining activities will remain constrained by inadequate infrastructure, such as power and roads, even though power sector projects may provide some additional electricity capacity in the near term. |
| Economy - overview: | Continued economic growth will depend on rising commodities prices and increased efforts to diversify the sources of growth. Pervasive corruption and undeveloped human capital will continue to deter foreign investors. Sustained international donor support in the near future will partially offset these fiscal constraints. |
| GDP (purchasing power parity): | $10.9 billion (2016 est.) |
| GDP (purchasing power parity): | $10.14 billion (2015 est.) |
| GDP (purchasing power parity): | $12.62 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $3.716 billion (2016 est.) |
| GDP - real growth rate: | 6.1% (2016 est.) |
| GDP - real growth rate: | -20.5% (2015 est.) |
| GDP - real growth rate: | 4.6% (2014 est.) |
| GDP - per capita (PPP): | $1,700 (2016 est.) |
| GDP - per capita (PPP): | $1,600 (2015 est.) |
| GDP - per capita (PPP): | $2,100 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | -9.3% of GDP (2016 est.) |
| Gross national saving: | -5.9% of GDP (2015 est.) |
| Gross national saving: | -7.2% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 102.2% |
| GDP - composition, by end use: | government consumption: 10.4% |
| GDP - composition, by end use: | investment in fixed capital: 16.8% |
| GDP - composition, by end use: | investment in inventories: 1% |
| GDP - composition, by end use: | exports of goods and services: 23.5% |
| GDP - composition, by end use: | imports of goods and services: -53.9% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 61.4% |
| GDP - composition, by sector of origin: | industry: 5.9% |
| GDP - composition, by sector of origin: | services: 32.7% (2016 est.) |
| Agriculture - products: | rice, coffee, cocoa, palm kernels, palm oil, peanuts, cashews; poultry, cattle, sheep, pigs; fish |
| Industries: | diamond mining; iron ore, rutile and bauxite mining; small-scale manufacturing (beverages, textiles, footwear) |
| Industrial production growth rate: | 26.2% (2016 est.) |
| Labor force: | 2.863 million (2016 est.) |
| Labor force - by occupation: | agriculture: 61.1% |
| Labor force - by occupation: | industry: 5.5% |
