| Economy | Sierra Leone |
| --- | --- |
| Economy - overview: | Sierra Leone is extremely poor and nearly half of the working-age population engages in subsistence agriculture. The country possesses substantial mineral, agricultural, and fishery resources, but it is still recovering from a civil war that destroyed most institutions before ending in the early 2000s. |
| Economy - overview: | In recent years, economic growth has been driven by mining - particularly iron ore. The countryâ€™s principal exports are iron ore, diamonds, and rutile, and the economy is vulnerable to fluctuations in international prices. Until 2014, the government had relied on external assistance to support its budget, but it was gradually becoming more independent. The Ebola outbreak of 2014 and 2015, combined with falling global commodities prices, caused a significant contraction of economic activity in all areas. While the World Health Organization declared an end to the Ebola outbreak in Sierra Leone in November 2015, low commodity prices in 2015-2016 contributed to the countryâ€™s biggest fiscal shortfall since 2001. In 2017, increased iron ore exports, together with the end of the Ebola epidemic, supported a resumption of economic growth. |
| Economy - overview: | Continued economic growth will depend on rising commodities prices and increased efforts to diversify the sources of growth. Non-mining activities will remain constrained by inadequate infrastructure, such as power and roads, even though power sector projects may provide some additional electricity capacity in the near term. Pervasive corruption and undeveloped human capital will continue to deter foreign investors. Sustained international donor support in the near future will partially offset these fiscal constraints. |
| GDP (purchasing power parity): | $11.55 billion (2017 est.) |
| GDP (purchasing power parity): | $11.14 billion (2016 est.) |
| GDP (purchasing power parity): | $10.48 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $3.612 billion (2017 est.) |
| GDP - real growth rate: | 3.7% (2017 est.) |
| GDP - real growth rate: | 6.3% (2016 est.) |
| GDP - real growth rate: | -20.5% (2015 est.) |
| GDP - per capita (PPP): | $1,600 (2017 est.) |
| GDP - per capita (PPP): | $1,500 (2016 est.) |
| GDP - per capita (PPP): | $1,500 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 10% of GDP (2017 est.) |
| Gross national saving: | 7.9% of GDP (2016 est.) |
| Gross national saving: | -5.9% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 97.9% (2017 est.) |
| GDP - composition, by end use: | government consumption: 12.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 18.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 26.8% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -55.3% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 60.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 6.5% (2017 est.) |
| GDP - composition, by sector of origin: | services: 32.9% (2017 est.) |
| Agriculture - products: | rice, coffee, cocoa, palm kernels, palm oil, peanuts, cashews; poultry, cattle, sheep, pigs; fish |
| Industries: | diamond mining; iron ore, rutile and bauxite mining; small-scale manufacturing (beverages, textiles, footwear) |
| Industrial production growth rate: | 15.5% (2017 est.) |
