| Economy | SAO TOME AND PRINCIPE |
| --- | --- |
| Economy - overview: | This small, poor island economy has become increasingly dependent on cocoa since independence in 1975. Cocoa production has substantially declined in recent years because of drought and mismanagement. Sao Tome and Principe has to import fuels, most manufactured goods, consumer goods, and food, making it vulnerable to fluctuations in global commodity prices. Maintaining control of inflation, fiscal discipline, and increasing flows of foreign direct investment into the nascent oil sector are major economic problems facing the country. The government also has attempted to reduce price controls and subsidies. |
| Economy - overview: | Over the years, Sao Tome and Principe has had difficulty servicing its external debt and has relied heavily on concessional aid and debt rescheduling. It benefited from $200 million in debt relief in December 2000 under the Highly Indebted Poor Countries program, which helped bring down the country's $300 million debt burden. In April 2011, the country completed a Threshold Country Program with The Millennium Challenge Corporation to help increase tax revenues, reform customs, and improve the business environment. In 2016, Sao Tome and Portugal signed a five-year cooperation agreement worth approximately $64 million, some of which will be provided as loans. |
| Economy - overview: | Considerable potential exists for development of a tourist industry, and the government has taken steps to expand facilities in recent years. Potential also exists for the development of petroleum resources in Sao Tome and Principe's territorial waters in the oil-rich Gulf of Guinea, which are being jointly developed in a 60-40 split with Nigeria, but any actual production is at least several years off. Volatile aid and investment inflows, even with a growing tourism sector, have kept growth moderate at around 4% annually, which is insufficient to alleviate poverty. The IMF in late 2016 expressed concern about the country’s banking sector vulnerabilities. |
| GDP (purchasing power parity): | $638 million (2016 est.) |
| GDP (purchasing power parity): | $606 million (2015 est.) |
| GDP (purchasing power parity): | $576 million (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $351 million (2016 est.) |
| GDP - real growth rate: | 4.1% (2016 est.) |
| GDP - real growth rate: | 4% (2015 est.) |
| GDP - real growth rate: | 4.1% (2014 est.) |
| GDP - per capita (PPP): | $3,100 (2016 est.) |
| GDP - per capita (PPP): | $3,000 (2015 est.) |
| GDP - per capita (PPP): | $3,000 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 21.6% of GDP (2016 est.) |
| Gross national saving: | 19.1% of GDP (2015 est.) |
| Gross national saving: | 3.3% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 81.2% |
| GDP - composition, by end use: | government consumption: 20.8% |
| GDP - composition, by end use: | investment in fixed capital: 33.3% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 8.8% |
| GDP - composition, by end use: | imports of goods and services: -44.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 12.1% |
| GDP - composition, by sector of origin: | industry: 14.8% |
| GDP - composition, by sector of origin: | services: 73.2% (2016 est.) |
| Agriculture - products: | cocoa, coconuts, palm kernels, copra, cinnamon, pepper, coffee, bananas, papayas, beans; poultry; fish |
| Industries: | light construction, textiles, soap, beer, fish processing, timber |
| Industrial production growth rate: | 4.5% (2016 est.) |
| Labor force: | 67,870 (2016 est.) |
| Labor force - by occupation: | agriculture: 26.1% |
| Labor force - by occupation: | industry: 21.4% |
| Labor force - by occupation: | services: 52.5% (2014 est.) |
| Unemployment rate: | 12.6% (2016 est.) |
| Unemployment rate: | 13.6% (2015 est.) |
| Population below poverty line: | 66.2% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $105.6 million |
| Budget: | expenditures: $120 million (2016 est.) |
| Taxes and other revenues: | 30.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -4.1% of GDP (2016 est.) |
| Public debt: | 58.8% of GDP (2016 est.) |
| Public debt: | 56.7% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.4% (2016 est.) |
| Inflation rate (consumer prices): | 5.2% (2015 est.) |
| Central bank discount rate: | 16% (31 December 2009) |
| Central bank discount rate: | 28% (31 December 2008) |
| Commercial bank prime lending rate: | 19.59% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 23.31% (31 December 2015 est.) |
| Stock of narrow money: | $65.47 million (31 December 2016 est.) |
| Stock of narrow money: | $63.82 million (31 December 2015 est.) |
| Stock of broad money: | $116.3 million (31 December 2016 est.) |
| Stock of broad money: | $126.7 million (31 December 2015 est.) |
| Stock of domestic credit: | $72.19 million (31 December 2016 est.) |
| Stock of domestic credit: | $72.71 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-22 million (2016 est.) |
| Current account balance: | $-68.6 million (2015 est.) |
| Exports: | $13.6 million (2016 est.) |
| Exports: | $11.3 million (2015 est.) |
| Exports - commodities: | cocoa 80%, copra, coffee, palm oil (2010 est.) |
| Exports - partners: | Germany 23.3%, Netherlands 13.8%, Portugal 10%, Angola 6.4%, South Korea 5.2%, Peru 4.5%, Dominican Republic 4.1% (2016) |
| Imports: | $119.1 million (2016 est.) |
| Imports: | $118.9 million (2015 est.) |
| Imports - commodities: | machinery and electrical equipment, food products, petroleum products |
