| Economy | CAMBODIA |
| GDP - composition, by sector of origin: | agriculture: 26.7% |
| GDP - composition, by sector of origin: | industry: 31.7% |
| GDP - composition, by sector of origin: | services: 41.6% (2016 est.) |
| Agriculture - products: | rice, rubber, corn, vegetables, cashews, cassava (manioc, tapioca), silk |
| Industries: | tourism, garments, construction, rice milling, fishing, wood and wood products, rubber, cement, gem mining, textiles |
| Industrial production growth rate: | 10.5% (2016 est.) |
| Labor force: | 7.777 million (2016 est.) |
| Labor force - by occupation: | agriculture: 48.7% |
| Labor force - by occupation: | industry: 19.9% |
| Labor force - by occupation: | services: 31.5% (2013 est.) |
| Unemployment rate: | 0.3% (2013 est.) |
| Unemployment rate: | 0.2% (2012 est.) |
| Unemployment rate: | note: according to official statistics; underemployment is high |
| Population below poverty line: | 17.7% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 28% (2013 est.) |
| Distribution of family income - Gini index: | 37.9 (2008 est.) |
| Distribution of family income - Gini index: | 41.9 (2004 est.) |
| Budget: | revenues: $3.912 billion |
| Budget: | expenditures: $4.088 billion (2016 est.) |
| Taxes and other revenues: | 20.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -0.9% of GDP (2016 est.) |
| Public debt: | 29.1% of GDP (2016 est.) |
| Public debt: | 31.3% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3% (2016 est.) |
| Inflation rate (consumer prices): | 1.2% (2015 est.) |
| Central bank discount rate: | NA% (31 December 2012) |
| Central bank discount rate: | 5.25% (31 December 2007) |
| Commercial bank prime lending rate: | 11.36% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 11.71% (31 December 2015 est.) |
| Stock of narrow money: | $1.748 billion (31 December 2016 est.) |
| Stock of narrow money: | $1.602 billion (31 December 2015 est.) |
| Stock of broad money: | $14.5 billion (31 December 2016 est.) |
| Stock of broad money: | $12.12 billion (31 December 2015 est.) |
| Stock of domestic credit: | $11.82 billion (31 December 2016 est.) |
| Stock of domestic credit: | $9.776 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-1.776 billion (2016 est.) |
| Current account balance: | $-1.693 billion (2015 est.) |
| Exports: | $9.233 billion (2016 est.) |
| Exports: | $8.453 billion (2015 est.) |
| Exports - commodities: | clothing, timber, rubber, rice, fish, tobacco, footwear |
| Exports - partners: | US 21.3%, UK 9.4%, Germany 9%, Japan 8.2%, Canada 6.5%, China 6%, Thailand 4.2%, Spain 4% (2016) |
| Imports: | $12.65 billion (2016 est.) |
| Imports: | $11.92 billion (2015 est.) |
| Imports - commodities: | petroleum products, cigarettes, gold, construction materials, machinery, motor vehicles, pharmaceutical products |
| Imports - partners: | China 35.3%, Thailand 14.8%, Vietnam 11%, Singapore 4.4%, Japan 4.1%, Hong Kong 4% (2016) |
| Reserves of foreign exchange and gold: | $9.122 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $7.376 billion (31 December 2015 est.) |
| Debt - external: | $10.3 billion (31 December 2016 est.) |
| Debt - external: | $9.319 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $29.17 billion (2014 est.) |
| Exchange rates: | riels (KHR) per US dollar - |
| Exchange rates: | 4,058.7 (2016 est.) |
| Exchange rates: | 4,058.7 (2015 est.) |
| Exchange rates: | 4,067.8 (2014 est.) |
| Exchange rates: | 4,037.5 (2013 est.) |
| Exchange rates: | 4,033 (2012 est.) |
