| Economy | Cyprus |
| --- | --- |
| Economy - overview: | The area of the Republic of Cyprus under government control has a market economy dominated by the service sector, which accounts for 78% of GDP. Tourism, financial services, and real estate are the most important sectors. Erratic growth rates over the past decade reflect the economy's reliance on tourism, which often fluctuates with political instability in the region and economic conditions in Western Europe. Nevertheless, the economy in the area under government control has grown at a rate well above the EU average since 2000. Cyprus joined the European Exchange Rate Mechanism (ERM2) in May 2005 and adopted the euro as its national currency on 1 January 2008. An aggressive austerity program in the preceding years, aimed at paving the way for the euro, helped turn a soaring fiscal deficit (6.3% in 2003) into a surplus of 1.2% in 2008, and reduced inflation to 5.1%. This prosperity will come under pressure in 2009, as construction and tourism slow in the face of reduced foreign demand triggered by the ongoing global financial crisis. Growth is expected to slow to less than 2%, which would be its lowest level since 2003. As in the area administered by Turkish Cypriots, water shortages are a perennial problem; a few desalination plants have been added to existing plants over the last year and are now on line. After 10 years of drought, the country received substantial rainfall from 2001-04. Since then, rainfall has been well below average, making water rationing a necessity. |
| GDP (purchasing power parity): | $22.76 billion (2008 est.) |
| GDP (purchasing power parity): | $21.94 billion (2007 est.) |
| GDP (purchasing power parity): | $21.02 billion (2006 est.) |
| GDP (purchasing power parity): | note: data are in 2008 US dollars |
| GDP (official exchange rate): | $24.92 billion (2008 est.) |
| GDP - real growth rate: | 3.7% (2008 est.) |
| GDP - real growth rate: | 4.4% (2007 est.) |
| GDP - real growth rate: | 4.1% (2006 est.) |
| GDP - per capita (PPP): | $21,300 (2008 est.) |
| GDP - per capita (PPP): | $20,900 (2007 est.) |
| GDP - per capita (PPP): | $20,400 (2006 est.) |
| GDP - per capita (PPP): | note: data are in 2008 US dollars |
| GDP - composition by sector: | agriculture: 2.1% |
| GDP - composition by sector: | industry: 19.6% |
| GDP - composition by sector: | services: 78.3% (2008 est.) |
| Labor force: | 397,000 (2008 est.) |
| Labor force - by occupation: | agriculture: 8.5% |
| Labor force - by occupation: | industry: 20.5% |
| Labor force - by occupation: | services: 71% (2006 est.) |
| Unemployment rate: | 3.6% (2008 est.) |
| Unemployment rate: | 3.9% (2007 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 29 (2005) |
| Investment (gross fixed): | 23.3% of GDP (2008 est.) |
| Budget: | revenues:: $11.19 billion |
| Budget: | expenditures:: $10.96 billion (2008 est.) |
| Public debt: | 49.1% of GDP (2008 est.) |
| Public debt: | 74.9% of GDP (2004 est.) |
| Inflation rate (consumer prices): | 4.7% (2008 est.) |
| Inflation rate (consumer prices): | 2.4% (2007 est.) |
| Central bank discount rate: | 3% (31 December 2008) |
| Central bank discount rate: | 5% (31 December 2007) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 7.19% (31 December 2008) |
| Commercial bank prime lending rate: | 6.74% (31 December 2007) |
| Stock of money: | $NA (31 December 2008) |
| Stock of money: | $4.094 billion (31 December 2007) |
| Stock of money: | note: this figure represents the US dollar value of Cypriot pounds in circulation prior to Cyprus joining the Economic and Monetary Union (EMU); see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 16 members of the EMU; individual members of the EMU do not control the quantity of money and quasi money circulating within their own borders |
| Stock of quasi money: | $NA (31 December 2008) |
| Stock of quasi money: | $43.93 billion (31 December 2007) |
| Stock of domestic credit: | $80.68 billion (31 December 2008) |
| Stock of domestic credit: | $52.09 billion (31 December 2007) |
| Market value of publicly traded shares: | $NA (31 December 2008) |
| Market value of publicly traded shares: | $29.48 billion (31 December 2007) |
| Market value of publicly traded shares: | $15.9 billion (31 December 2006) |
| Agriculture - products: | citrus, vegetables, barley, grapes, olives, vegetables; poultry, pork, lamb; dairy, cheese |
| Industries: | tourism, food and beverage processing, cement and gypsum production, ship repair and refurbishment, textiles, light chemicals, metal products, wood, paper, stone, and clay products |
| Industrial production growth rate: | 4.1% (2008 est.) |
| Electricity - production: | 4.502 billion kWh (2007 est.) |
| Electricity - consumption: | 4.277 billion kWh (2007 est.) |
| Electricity - exports: | 0 kWh (2008 est.) |
| Electricity - imports: | 0 kWh (2008 est.) |
| Oil - production: | 0 bbl/day (2008 est.) |
| Oil - consumption: | 59,000 bbl/day (2008 est.) |
| Oil - exports: | 0 bbl/day (2007 est.) |
| Oil - imports: | 58,930 bbl/day (2007 est.) |
| Oil - proved reserves: | 0 bbl |
| Natural gas - production: | 0 cu m (2008 est.) |
| Natural gas - consumption: | 0 cu m (2008 est.) |
| Natural gas - exports: | 0 cu m (2008) |
| Natural gas - imports: | 0 cu m (2008 est.) |
| Natural gas - proved reserves: | 0 cu m (1 January 2009 est.) |
| Current account balance: | -$4.479 billion (2008 est.) |
| Current account balance: | -$2.595 billion (2007 est.) |
| Exports: | $1.906 billion (2008 est.) |
| Exports: | $1.483 billion (2007 est.) |
| Exports - commodities: | citrus, potatoes, pharmaceuticals, cement, and clothing |
| Exports - partners: | Greece 20.1%, UK 10.8%, Germany 6% (2008) |
| Imports: | $10.54 billion (2008 est.) |
