| Economy | KOSOVO |
| --- | --- |
| Economy - overview: | Kosovo's economy has shown progress in transitioning to a market-based system and maintaining macroeconomic stability, but it is still highly dependent on the international community and the diaspora for financial and technical assistance. Remittances from the diaspora - located mainly in Germany, Switzerland, and the Nordic countries - are estimated to account for about 17% of GDP and international donor assistance accounts for approximately 10% of GDP. With international assistance, Kosovo has been able to privatize a majority of its state-owned enterprises. |
| Economy - overview: | Kosovo's citizens are the second poorest in Europe, after Moldova, with a per capita GDP (PPP) of $9,600 in 2016. An unemployment rate of 33%, and a youth unemployment rate near 60%, in a country where the average age is 26, encourages emigration and fuels a significant informal, unreported economy. Emigration remains challenging, however, because Kosovo lacks visa-free travel to the EU. Most of Kosovo's population lives in rural towns outside of the capital, Pristina. Inefficient, near-subsistence farming is common - the result of small plots, limited mechanization, and a lack of technical expertise. Kosovo enjoys lower labor costs than the rest of the region. However, high levels of corruption, little contract enforcement, and unreliable electricity supply have discouraged potential investors. The official currency of Kosovo is the euro, but the Serbian dinar is also used illegally in Serb majority communities. Kosovo's tie to the euro has helped keep core inflation low. |
| Economy - overview: | Minerals and metals production - including lignite, lead, zinc, nickel, chrome, aluminum, magnesium, and a wide variety of construction materials - once the backbone of industry, has declined because of aging equipment and insufficient investment, problems exacerbated by competing and unresolved ownership claims of Kosovo’s largest mines. A limited and unreliable electricity supply is a major impediment to economic development, but Kosovo has received technical assistance to help improve the sector’s performance. In 2012, Kosovo privatized its electricity supply and distribution network. The US Government is cooperating with the Ministry of Economic Development (MED) and the World Bank to conclude a commercial tender for the construction of Kosovo C, a new lignite-fired power plant that would leverage Kosovo’s large lignite reserves. MED also has plans for the rehabilitation of an older coal power plant, Kosovo B, and the development of a coal mine that could supply both plants. |
| Economy - overview: | In June 2009, Kosovo joined the World Bank and International Monetary Fund, and began servicing its share of the former Yugoslavia's debt. In order to help integrate Kosovo into regional economic structures, UNMIK signed (on behalf of Kosovo) its accession to the Central Europe Free Trade Area (CEFTA) in 2006. Kosovo joined the European Bank for Reconstruction and Development in 2012 and the Council of Europe Development Bank in 2013. In 2016, Kosovo implemented the Stabilization and Association Agreement (SAA) negotiations with the EU, focused on trade liberalization. Under the SAA, Kosovo — which gets approximately 58% of government revenue from tariffs on imports — is required to phase out tariffs on EU goods over the next seven years. In 2014, nearly 60% of customs duty-eligible imports into Kosovo were EU goods. In 2015, Kosovo negotiated a $185 million Stand-by Arrangement (SBA) with the IMF following the conclusion of its previous SBA in 2014. The IMF requested an extension of the current SBA to August 2017 to facilitate policy continuity and allow sufficient time for ongoing structural reforms to progress. In August 2015, as part of its EU-facilitated normalization process with Serbia, Kosovo signed agreements on telecommunications and energy distribution, but disagreements over who owns economic assets, such as the Trepca mining conglomerate, within Kosovo continue. |
| Economy - overview: | Kosovo experienced its first federal budget deficit in 2012, when government expenditures climbed sharply. In May 2014, the government introduced a 25% salary increase for public sector employees and an equal increase in certain social benefits. Central revenues could not sustain these increases, and the government was forced to reduce its planned capital investments. The government, led by Prime Minister MUSTAFA - a trained economist - recently made several changes to its fiscal policy, expanding the list of duty-free imports, decreasing the Value Added Tax (VAT) for basic food items and public utilities, and increasing the VAT for all other goods. |
| Economy - overview: | While Kosovo’s economy continued to make progress, it needs further reform and investment to enable the level of growth required to reduce unemployment and raise living standards in a meaningful way. |
| GDP (purchasing power parity): | $18.41 billion (2016 est.) |
| GDP (purchasing power parity): | $17.57 billion (2015 est.) |
| GDP (purchasing power parity): | $16.7 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $6.624 billion (2016 est.) |
| GDP - real growth rate: | 3.4% (2016 est.) |
| GDP - real growth rate: | 4.1% (2015 est.) |
| GDP - real growth rate: | 1.2% (2014 est.) |
| GDP - per capita (PPP): | $10,000 (2016 est.) |
| GDP - per capita (PPP): | $9,700 (2015 est.) |
| GDP - per capita (PPP): | $9,300 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 US dollars |
| Gross national saving: | 12.5% of GDP (2016 est.) |
| Gross national saving: | 12.7% of GDP (2015 est.) |
| Gross national saving: | 12.5% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 90.5% |
| GDP - composition, by end use: | government consumption: 16% |
| GDP - composition, by end use: | investment in fixed capital: 28.2% |
| GDP - composition, by end use: | investment in inventories: 3% |
| GDP - composition, by end use: | exports of goods and services: 5.8% |
| GDP - composition, by end use: | imports of goods and services: -43.5% (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 12.9% |
| GDP - composition, by sector of origin: | industry: 22.6% |
| GDP - composition, by sector of origin: | services: 64.5% (2009 est.) |
| Agriculture - products: | wheat, corn, berries, potatoes, peppers, fruit; dairy, livestock; fish |
| Industries: | mineral mining, construction materials, base metals, leather, machinery, appliances, foodstuffs and beverages, textiles |
| Labor force: | 483,200 |
| Labor force: | note: includes those estimated to be employed in the grey economy (2013 est.) |
| Labor force - by occupation: | agriculture: 5.9% |
| Labor force - by occupation: | industry: 16.8% |
| Labor force - by occupation: | services: 77.3% (2013) |
| Unemployment rate: | 34.8% (2016 est.) |
| Unemployment rate: | 34.6% (2015 est.) |
| Unemployment rate: | note: Kosovo has a large informal sector that may not be reflected in these data |
| Population below poverty line: | 30% (2013 est.) |
| Distribution of family income - Gini index: | 30 (FY05/06) |
| Budget: | revenues: $1.396 billion |
| Budget: | expenditures: $1.61 billion (2014 est.) |
