| Economy | Argentina |
| --- | --- |
| Economy - overview: | Argentina benefits from rich natural resources, a highly literate population, an export-oriented agricultural sector, and a diversified industrial base. Although one of the world's wealthiest countries 100 years ago, Argentina suffered during most of the 20th century from recurring economic crises, persistent fiscal and current account deficits, high inflation, mounting external debt, and capital flight. |
| Economy - overview: | Cristina FERNANDEZ DE KIRCHNER succeeded her husband as president in late 2007, and in 2008 the rapid economic growth of previous years slowed sharply as government policies held back exports and the world economy fell into recession. In 2010 the economy rebounded strongly, but slowed in late 2011 even as the government continued to rely on expansionary fiscal and monetary policies, which kept inflation in the double digits. |
| Economy - overview: | In order to deal with these problems, the government expanded state intervention in the economy: it nationalized the oil company YPF from Spain's Repsol, expanded measures to restrict imports, and further tightened currency controls in an effort to bolster foreign reserves and stem capital flight. Between 2011 and 2013, Central Bank foreign reserves dropped $21.3 billion from a high of $52.7 billion. In July 2014, Argentina and China agreed on an $11 billion currency swap; the Argentine Central Bank has received the equivalent of $3.2 billion in Chinese yuan, which it counts as international reserves. |
| Economy - overview: | With the election of President Mauricio MACRI in November 2015, Argentina began a historic political and economic transformation, as his administration took steps to liberalize the Argentine economy, lifting capital controls, floating the peso, removing export controls on some commodities, cutting some energy subsidies, and reforming the countryâ€™s official statistics. Argentina negotiated debt payments with holdout bond creditors, continued working with the IMF to shore up its finances, and returned to international capital markets in April 2016. |
| Economy - overview: | In 2017, Argentinaâ€™s economy emerged from recession with GDP growth of nearly 3.0%. The government passed important pension, tax, and fiscal reforms. And after years of international isolation, Argentina took on several international leadership roles, including hosting the World Economic Forum on Latin America and the World Trade Organization Ministerial Conference, and is set to assume the presidency of the G-20 in 2018. |
| GDP (purchasing power parity): | $922.1 billion (2017 est.) |
| GDP (purchasing power parity): | $896.5 billion (2016 est.) |
| GDP (purchasing power parity): | $913.2 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $637.6 billion (2017 est.) |
| GDP - real growth rate: | 2.9% (2017 est.) |
| GDP - real growth rate: | -1.8% (2016 est.) |
| GDP - real growth rate: | 2.7% (2015 est.) |
| GDP - per capita (PPP): | $20,900 (2017 est.) |
| GDP - per capita (PPP): | $20,600 (2016 est.) |
| GDP - per capita (PPP): | $21,200 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 17.6% of GDP (2017 est.) |
| Gross national saving: | 16.8% of GDP (2016 est.) |
| Gross national saving: | 15.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 65.9% (2017 est.) |
| GDP - composition, by end use: | government consumption: 18.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 14.8% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 3.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 11.2% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -13.8% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 10.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 28.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 61.1% (2017 est.) |
| Agriculture - products: | sunflower seeds, lemons, soybeans, grapes, corn, tobacco, peanuts, tea, wheat; livestock |
| Industries: | food processing, motor vehicles, consumer durables, textiles, chemicals and petrochemicals, printing, metallurgy, steel |
| Industrial production growth rate: | 2.7% (2017 est.) |
| Industrial production growth rate: | note: based on private sector estimates |
| Labor force: | 18 million (2017 est.) |
| Labor force: | note: urban areas only |
| Labor force - by occupation: | agriculture: 5.3% |
| Labor force - by occupation: | industry: 28.6% |
| Labor force - by occupation: | services: 66.1% (2017 est.) |
| Unemployment rate: | 8.4% (2017 est.) |
| Unemployment rate: | 8.5% (2016 est.) |
| Population below poverty line: | 25.7% (2017 est.) |
| Population below poverty line: | note: data are based on private estimates |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 31% (2017 est.) |
| Distribution of family income - Gini index: | 41.7 (2017 est.) |
| Distribution of family income - Gini index: | 45.8 (2009) |
| Budget: | revenues: 120.6 billion (2017 est.) |
| Budget: | expenditures: 158.6 billion (2017 est.) |
| Taxes and other revenues: | 18.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -6% (of GDP) (2017 est.) |
| Public debt: | 57.6% of GDP (2017 est.) |
| Public debt: | 55% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 25.7% (2017 est.) |
| Inflation rate (consumer prices): | 26.5% (2016 est.) |
| Inflation rate (consumer prices): | note: data are derived from private estimates |
| Central bank discount rate: | NA |
| Commercial bank prime lending rate: | 26.58% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 31.23% (31 December 2016 est.) |
| Stock of narrow money: | $62.61 billion (31 December 2017 est.) |
| Stock of narrow money: | $59 billion (31 December 2016 est.) |
| Stock of broad money: | $62.61 billion (31 December 2017 est.) |
| Stock of broad money: | $59 billion (31 December 2016 est.) |
| Stock of domestic credit: | $219.4 billion (31 December 2017 est.) |
| Stock of domestic credit: | $194 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $56.13 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $60.14 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $53.1 billion (31 December 2013 est.) |
| Current account balance: | -$31.32 billion (2017 est.) |
| Current account balance: | -$14.69 billion (2016 est.) |
| Exports: | $58.45 billion (2017 est.) |
| Exports: | $57.78 billion (2016 est.) |
| Exports - partners: | Brazil 16.1%, US 7.9%, China 7.5%, Chile 4.4% (2017) |
| Exports - commodities: | soybeans and derivatives, petroleum and gas, vehicles, corn, wheat |
| Imports: | $63.97 billion (2017 est.) |
| Imports: | $53.5 billion (2016 est.) |
| Imports - commodities: | machinery, motor vehicles, petroleum and natural gas, organic chemicals, plastics |
| Imports - partners: | Brazil 26.9%, China 18.5%, US 11.3%, Germany 4.9% (2017) |
| Reserves of foreign exchange and gold: | $55.33 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $38.43 billion (31 December 2016 est.) |
