| Economy | Argentina |
| --- | --- |
| Economy - overview: | Argentina benefits from rich natural resources, a highly literate population, an export-oriented agricultural sector, and a diversified industrial base. Although one of the world's wealthiest countries 100 years ago, Argentina suffered during most of the 20th century from recurring economic crises, persistent fiscal and current account deficits, high inflation, mounting external debt, and capital flight. A severe depression, growing public and external indebtedness, and an unprecedented bank run culminated in 2001 in the most serious economic, social, and political crisis in the country's turbulent history. Interim President Adolfo RODRIGUEZ SAA declared a default - at the time the largest ever - on the government's foreign debt in December of that year, and abruptly resigned only a few days after taking office. His successor, Eduardo DUHALDE, announced an end to the peso's decade-long 1-to-1 peg to the US dollar in early 2002. The economy bottomed out that year, with real GDP 18% smaller than in 1998 and almost 60% of Argentines under the poverty line. Real GDP rebounded to grow by an average 8.5% annually over the subsequent six years, taking advantage of previously idled industrial capacity and labor, an audacious debt restructuring and reduced debt burden, excellent international financial conditions, and expansionary monetary and fiscal policies. Inflation also increased, however, during the administration of President Nestor KIRCHNER, which responded with price restraints on businesses, as well as export taxes and restraints, and beginning in 2007, with understating inflation data. Cristina FERNANDEZ DE KIRCHNER succeeded her husband as President in late 2007, and the rapid economic growth of previous years began to slow sharply the following year as government policies held back exports and the world economy fell into recession. The economy in 2010 rebounded strongly from the 2009 recession, but has slowed since late 2011 even as the government continued to rely on expansionary fiscal and monetary policies, which have kept inflation in the double digits. The government expanded state intervention in the economy throughout 2012. In May 2012 the Congress approved the nationalization of the oil company YPF from Spain's Repsol. The government expanded formal and informal measures to restrict imports during the year, including a requirement for pre-registration and pre-approval of all imports. In July 2012 the government also further tightened currency controls in an effort to bolster foreign reserves and stem capital flight. During 2013, the government continued with a mix expansionary fiscal and monetary policies and foreign exchange and imports controls to limit the drain in Central Bank foreign reserves, which nevertheless dropped US $12 billion during the year. GDP grew 3% and inflation remained steady at 25%, according to private estimates. In October 2013, the government settled long-standing international arbitral disputes (including with three US firms) dating back to before and following the 2002 Argentine financial crisis. In early 2014, the government embraced a series of more orthodox economic policies. It devalued the peso 20%, substantially tightened monetary and fiscal policies, and took measures to mend ties with the international financial community, including: engaging with the IMF to improve its economic data reporting, reaching a compensation agreement with Repsol for the expropriation of YPF, and presenting a proposal to pay its arrears to the Paris Club. |
| GDP (purchasing power parity): | $771 billion (2013 est.) |
| GDP (purchasing power parity): | $745.2 billion (2012 est.) |
| GDP (purchasing power parity): | $731.3 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $484.6 billion (2013 est.) |
| GDP - real growth rate: | 3.5% (2013 est.) |
| GDP - real growth rate: | 1.9% (2012 est.) |
| GDP - real growth rate: | 8.9% (2011 est.) |
| GDP - per capita (PPP): | $18,600 (2013 est.) |
| GDP - per capita (PPP): | $18,200 (2012 est.) |
| GDP - per capita (PPP): | $18,000 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 24.6% of GDP (2013 est.) |
| Gross national saving: | 24% of GDP (2012 est.) |
| Gross national saving: | 25.6% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 55.5% |
| GDP - composition, by end use: | government consumption: 18% |
| GDP - composition, by end use: | investment in fixed capital: 22% |
| GDP - composition, by end use: | investment in inventories: 3.1% |
| GDP - composition, by end use: | exports of goods and services: 20.3% |
| GDP - composition, by end use: | imports of goods and services: -18.9% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.3% |
| GDP - composition, by sector of origin: | industry: 29.7% |
| GDP - composition, by sector of origin: | services: 61% (2013 est.) |
| Agriculture - products: | sunflower seeds, lemons, soybeans, grapes, corn, tobacco, peanuts, tea, wheat; livestock |
| Industries: | food processing, motor vehicles, consumer durables, textiles, chemicals and petrochemicals, printing, metallurgy, steel |
| Industrial production growth rate: | 2.7% |
