| Economy | EGYPT |
| --- | --- |
| Economy - overview: | Occupying the northeast corner of the African continent, Egypt is bisected by the highly fertile Nile valley, where most economic activity takes place. Egypt's economy was highly centralized during the rule of former President Gamal Abdel NASSER but opened up considerably under former Presidents Anwar EL-SADAT and Mohamed Hosni MUBARAK. Cairo from 2004 to 2008 pursued business climate reforms to attract foreign investment and facilitate growth. Poor living conditions and limited job opportunities for the average Egyptian contribute to public discontent, a major factor leading to the January 2011 revolution that ousted Mubarak. The uncertain political, security, and policy environment since 2011 caused economic growth to slow significantly, hurting tourism, manufacturing, and other sectors and pushing up unemployment. Weak growth and limited foreign exchange earnings have made public finances unsustainable, leaving authorities dependent on expensive borrowing for deficit finance and on Gulf allies to help cover the import bill. Egypt's current Constitution passed in a referendum that took place in January 2014. |
| GDP (purchasing power parity): | $943.1 billion (2014 est.) |
| GDP (purchasing power parity): | $923.1 billion (2013 est.) |
| GDP (purchasing power parity): | $904.1 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $286.4 billion (2014 est.) |
| GDP - real growth rate: | 2.2% (2014 est.) |
| GDP - real growth rate: | 2.1% (2013 est.) |
| GDP - real growth rate: | 2.2% (2012 est.) |
| GDP - per capita (PPP): | $10,900 (2014 est.) |
| GDP - per capita (PPP): | $10,600 (2013 est.) |
| GDP - per capita (PPP): | $10,400 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 13.2% of GDP (2014 est.) |
| Gross national saving: | 11.8% of GDP (2013 est.) |
| Gross national saving: | 12.5% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 80.3% |
| GDP - composition, by end use: | government consumption: 12% |
| GDP - composition, by end use: | investment in fixed capital: 13% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 15% |
| GDP - composition, by end use: | imports of goods and services: -20.7% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.6% |
| GDP - composition, by sector of origin: | industry: 38.9% |
| GDP - composition, by sector of origin: | services: 46.5% (2014 est.) |
| Agriculture - products: | cotton, rice, corn, wheat, beans, fruits, vegetables; cattle, water buffalo, sheep, goats |
| Industries: | textiles, food processing, tourism, chemicals, pharmaceuticals, hydrocarbons, construction, cement, metals, light manufactures |
