| Economy | YEMEN |
| --- | --- |
| Economy - overview: | Yemen is a low-income country that faces difficult long-term challenges to stabilizing and growing its economy, and the current conflict has only exacerbated those issues. The ongoing war has halted Yemen’s exports, pressured the currency’s exchange rate, accelerated inflation, severely limited food and fuel imports, and caused widespread damage to infrastructure. More than 80% of the population is in need of humanitarian assistance and over half are food insecure. |
| Economy - overview: | Prior to the start of the conflict in 2014, Yemen was highly dependent on declining oil and gas resources for revenue. Oil and gas earnings accounted for roughly 25% of GDP and 65% of government revenue. The Yemeni Government regularly faced annual budget shortfalls and tried to diversify the Yemeni economy through a reform program designed to bolster non-oil sectors of the economy and foreign investment. In July 2014, the government continued reform efforts by eliminating some fuel subsidies and in August 2014, the IMF approved a three-year, $570 million Extended Credit Facility for Yemen. |
| Economy - overview: | However, the conflict that began in 2014 stalled these reform efforts and ongoing fighting continues to accelerate the country’s economic decline. In September 2016, President HADI announced the move of the main branch of Central Bank of Yemen from Sanaa to Aden where his government could exert greater control over the central bank’s dwindling resources. Regardless of which group controls the main branch, the central bank system is struggling to function. Yemen’s Central Bank’s foreign reserves, which stood at roughly $5.2 billion prior to the conflict, have declined to negligible amounts. The Central Bank can no longer fully support imports of critical goods or the country’s exchange rate. The country also is facing a growing liquidity crisis and rising inflation. The private sector is hemorrhaging, with almost all businesses making substantial layoffs. Access to food and other critical commodities such as medical equipment is limited across the country due to security issues on the ground. The Social Welfare Fund, a cash transfer program for Yemen’s neediest, is no longer operational and has not made any disbursements since late 2014. |
| Economy - overview: | Yemen will require significant international assistance during and after the protracted conflict to stabilize its economy. Long-term challenges include a high population growth rate, high unemployment, declining water resources, and severe food scarcity. |
| GDP (purchasing power parity): | $69.17 billion (2016 est.) |
| GDP (purchasing power parity): | $75.7 billion (2015 est.) |
| GDP (purchasing power parity): | $104.1 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $27.32 billion (2016 est.) |
| GDP - real growth rate: | -9.8% (2016 est.) |
| GDP - real growth rate: | -28.1% (2015 est.) |
| GDP - real growth rate: | -0.2% (2014 est.) |
| GDP - per capita (PPP): | $2,400 (2016 est.) |
| GDP - per capita (PPP): | $2,700 (2015 est.) |
| GDP - per capita (PPP): | $3,900 (2014 est.) |
