| Economy | YEMEN |
| --- | --- |
| Economy - overview: | Yemen is a low-income country that faces difficult long-term challenges to stabilizing and growing its economy, and the current conflict has only exacerbated those issues. The ongoing war has halted Yemen’s exports, pressured the currency’s exchange rate, accelerated inflation, severely limited food and fuel imports, and caused widespread damage to infrastructure. At least 82% of the population is in need of humanitarian assistance. |
| Economy - overview: | Prior to the start of the conflict in 2014, Yemen was highly dependent on declining oil resources for revenue. Oil and gas earnings accounted for roughly 25% of GDP and 65% of government revenue. The Yemeni Government regularly faced annual budget shortfalls and has tried to diversify the Yemeni economy through a reform program designed to bolster non-oil sectors of the economy and foreign investment. As part of these reform efforts, Yemen exported its first liquefied natural gas in October 2009. The international community supported Yemen’s efforts toward economic and political reform in part by establishing the Friends of Yemen group. In 2012, the Friends of Yemen pledged nearly $7 billion in assistance to Yemen. In July 2014, the government continued reform efforts by eliminating some fuel subsidies and in August 2014, the IMF approved a three-year, $570 million Extended Credit Facility for Yemen. |
| Economy - overview: | However, the conflict that began in 2014 stalled these reform efforts. Rebel Huthi groups have interfered with Ministry of Finance and Central Bank operations and diverted funds for their own use. Yemen’s Central Bank reserves, which stood at $5.2 billion prior to the conflict, currently stand at $1.5 billion. The Central Bank is exposed to approximately $7 billion in overdraft, more than three times the legal limit, directly linked to the Huthis withdrawing $116 million on a monthly basis. The private sector is hemorrhaging, with almost all businesses making substantial layoffs. The Port of Hudaydah, which handles 60% of Yemen’s commercial traffic, was damaged in August 2015 as a result of the conflict and is only operating at 50% capacity. Access to food and other critical commodities such as medical equipment is limited across the country due to security issues on the ground. The Social Welfare Fund, a cash transfer program for Yemen’s neediest, is no longer operational and has not made any disbursements since late 2014. |
| Economy - overview: | Yemen will require significant international assistance during and after the protracted conflict to stabilize its economy. Long-term challenges include a high population growth rate, high unemployment, declining water resources, and severe food scarcity. |
| GDP (purchasing power parity): | $75.54 billion (2015 est.) |
| GDP (purchasing power parity): | $105.1 billion (2014 est.) |
| GDP (purchasing power parity): | $105.3 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $36.85 billion (2015 est.) |
| GDP - real growth rate: | -28.1% (2015 est.) |
| GDP - real growth rate: | -0.2% (2014 est.) |
| GDP - real growth rate: | 4.8% (2013 est.) |
| GDP - per capita (PPP): | $2,700 (2015 est.) |
| GDP - per capita (PPP): | $3,800 (2014 est.) |
| GDP - per capita (PPP): | $3,900 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | -1% of GDP (2015 est.) |
| Gross national saving: | 12.2% of GDP (2014 est.) |
| Gross national saving: | 9.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 98.5% |
| GDP - composition, by end use: | government consumption: 11.9% |
| GDP - composition, by end use: | investment in fixed capital: 7.2% |
| GDP - composition, by end use: | investment in inventories: -5% |
| GDP - composition, by end use: | exports of goods and services: 6.5% |
| GDP - composition, by end use: | imports of goods and services: -19.1% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 22% |
| GDP - composition, by sector of origin: | industry: 11.3% |
| GDP - composition, by sector of origin: | services: 66.6% (2015 est.) |
| Agriculture - products: | grain, fruits, vegetables, pulses, qat, coffee, cotton; dairy products, livestock (sheep, goats, cattle, camels), poultry; fish |
| Industries: | crude oil production and petroleum refining; small-scale production of cotton textiles, leather goods; food processing; handicrafts; aluminum products; cement; commercial ship repair; natural gas production |
| Industrial production growth rate: | -71.3% (2015 est.) |
| Labor force: | 7.324 million (2015 est.) |
| Labor force - by occupation: | note: most people are employed in agriculture and herding; services, construction, industry, and commerce account for less than one-fourth of the labor force |
| Unemployment rate: | 27% (2014 est.) |
| Unemployment rate: | 35% (2003 est.) |
| Population below poverty line: | 54% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 30.3% (2008 est.) |
| Distribution of family income - Gini index: | 37.9 (2009 est.) |
| Distribution of family income - Gini index: | 37.3 (1999 est.) |
| Budget: | revenues: $3.113 billion |
| Budget: | expenditures: $6.729 billion (2015 est.) |
| Taxes and other revenues: | 8.4% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -9.8% of GDP (2015 est.) |
| Public debt: | 86.3% of GDP (2015 est.) |
| Public debt: | 57.4% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 28.8% (2015 est.) |
| Inflation rate (consumer prices): | 8% (2014 est.) |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 25% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 24% (31 December 2014 est.) |
| Stock of narrow money: | $4.993 billion (31 December 2015 est.) |
| Stock of narrow money: | $5.256 billion (31 December 2014 est.) |
| Stock of broad money: | $16.02 billion (31 December 2014 est.) |
| Stock of broad money: | $14.04 billion (31 December 2013 est.) |
| Stock of domestic credit: | $10.23 billion (31 December 2015 est.) |
| Stock of domestic credit: | $12.78 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$2.072 billion (2015 est.) |
| Current account balance: | -$715 million (2014 est.) |
| Exports: | $1.364 billion (2015 est.) |
| Exports: | $7.601 billion (2014 est.) |
