| Economy | Macau |
| --- | --- |
| Economy - overview: | Since opening up its locally-controlled casino industry to foreign competition in 2001, Macau has attracted tens of billions of dollars in foreign investment, transforming the territory into one of the world's largest gaming centers. Macau's gaming and tourism businesses were fueled by China''s decision to relax travel restrictions on Chinese citizens wishing to visit Macau. - In 2013, Macau's gaming-related taxes accounted for more than 85% of total government revenue. Macau''s economy slowed dramatically in 2009 as a result of the global economic slowdown, but strong growth resumed in 2010-13, largely on the back of tourism from mainland China and the gaming sectors. In 2013, this city of 607,500 hosted nearly 29.3 million visitors. Almost 64% came from mainland China. Macau''s traditional manufacturing industry has slowed greatly since the termination of the Multi-Fiber Agreement in 2005. China is Macau''s second largest goods export market, behind Hong Kong, and followed by the United States. In 2013, exports were US$1.1 billion, while gaming receipts were US$45.2 billion, an 18.6% increase over 2012. Macau''s economy expanded by 11.9% in 2013; although impressive, it was a slower growth rate than in previous years. Macau continues to face the challenges of managing its growing casino industry, money-laundering, and the need to diversify the economy away from heavy dependence on gaming revenues. Macau''s currency, the pataca, is closely tied to the Hong Kong dollar, which is also freely accepted in the territory. |
| GDP (purchasing power parity): | $51.68 billion (2013 est.) |
| GDP (purchasing power parity): | $46.19 billion (2012 est.) |
| GDP (purchasing power parity): | $42.34 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $51.68 billion (2013 est.) |
| GDP - real growth rate: | 11.9% (2013 est.) |
| GDP - real growth rate: | 9.1% (2012 est.) |
| GDP - real growth rate: | 21.3% (2011 est.) |
| GDP - per capita (PPP): | $88,700 (2013 est.) |
| GDP - per capita (PPP): | $79,900 (2010 est.) |
| GDP - per capita (PPP): | $73,900 (2009 est.) |
| GDP - composition, by end use: | household consumption: 18.7% |
| GDP - composition, by end use: | government consumption: 6.5% |
| GDP - composition, by end use: | investment in fixed capital: 12.8% |
| GDP - composition, by end use: | investment in inventories: 1.1% |
| GDP - composition, by end use: | exports of goods and services: 107% |
| GDP - composition, by end use: | imports of goods and services: -46% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 0% |
| GDP - composition, by sector of origin: | industry: 6.5% |
| GDP - composition, by sector of origin: | services: 93.5% (2013 est.) |
| Agriculture - products: | only 2% of land area is cultivated, mainly by vegetable growers; fishing, mostly for crustaceans, is important; some of the catch is exported to Hong Kong |
| Industries: | tourism, gambling, clothing, textiles, electronics, footwear, toys |
| Industrial production growth rate: | 17.6% (2013 est.) |
| Labor force: | 367,800 (2013 est.) |
| Labor force - by occupation: | manufacturing: 2.5% |
| Labor force - by occupation: | construction: 9.8% |
| Labor force - by occupation: | transport and communications: 4.4% |
| Labor force - by occupation: | wholesale and retail trade: 12.4% |
| Labor force - by occupation: | restaurants and hotels: 15% |
| Labor force - by occupation: | gambling: 25.9% |
| Labor force - by occupation: | public sector: 7.1% |
| Labor force - by occupation: | financial services: 2.6% |
| Labor force - by occupation: | other services: 20.3% (2013) |
| Unemployment rate: | 1.8% (2013 est.) |
| Unemployment rate: | 2% (2012 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 35 (2013) |
| Distribution of family income - Gini index: | 38 (2008) |
| Budget: | revenues: $19.44 billion |
| Budget: | expenditures: $7.407 billion (2013 est.) |
| Taxes and other revenues: | 37.6% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | 23.3% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.5% (2013 est.) |
| Inflation rate (consumer prices): | 6.1% (2012 est.) |
| Commercial bank prime lending rate: | 5.25% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 5.25% (31 December 2012 est.) |
| Stock of narrow money: | $7.363 billion (31 December 2013 est.) |
| Stock of narrow money: | $5.953 billion (31 December 2012 est.) |
| Stock of broad money: | $55.17 billion (31 December 2013 est.) |
| Stock of broad money: | $46.87 billion (31 December 2012 est.) |
| Stock of domestic credit: | $-5.504 billion (31 December 2013 est.) |
| Stock of domestic credit: | $-5.678 billion (31 December 2012 est.) |
