| Economy | MACAU |
| --- | --- |
| Economy - overview: | Since opening up its locally-controlled casino industry to foreign competition in 2001, Macau has attracted tens of billions of dollars in foreign investment, transforming the territory into one of the world's largest gaming centers. Macau's gaming and tourism businesses were fueled by China's decision to relax travel restrictions on Chinese citizens wishing to visit Macau. In 2014, Macau's gaming-related taxes accounted for more than 83% of total government revenue. Macau's economy slowed dramatically in 2009 as a result of the global economic slowdown, but strong growth resumed in 2010-13, largely on the back of tourism from mainland China and the gaming sectors. In 2014, this city of 636,200 hosted nearly 31.5 million visitors. Almost 67% came from mainland China. Macau's traditional manufacturing industry has slowed greatly since the termination of the Multi-Fiber Agreement in 2005. Services export&mdash;primarily gaming&mdash;increasingly has driven Macau&rsquo;s economic performance. Mainland China&rsquo;s ongoing anti-corruption campaign has brought Macau&rsquo;s gambling boom to a halt, with spending in casinos contracting 2.6% in 2014. As a result, Macau's inflation-adjusted GDP contracted 0.4% from 2013, down from double-digit expansion rates in 2010-13. Non-inflation adjusted exports of goods and services dropped 0.4% from 2013, reflecting the slowdown in gaming exports. Macau continues to face the challenges of managing its growing casino industry, risks from money-laundering activities, and the need to diversify the economy away from heavy dependence on gaming revenues. Macau's currency, the pataca, is closely tied to the Hong Kong dollar, which is also freely accepted in the territory. |
| GDP (purchasing power parity): | $51.68 billion (2013 est.) |
| GDP (purchasing power parity): | $46.19 billion (2012 est.) |
| GDP (purchasing power parity): | $42.34 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $51.68 billion (2013 est.) |
| GDP - real growth rate: | 11.9% (2013 est.) |
| GDP - real growth rate: | 9.1% (2012 est.) |
| GDP - real growth rate: | 21.3% (2011 est.) |
| GDP - per capita (PPP): | $88,700 (2013 est.) |
| GDP - per capita (PPP): | $79,900 (2010 est.) |
| GDP - per capita (PPP): | $73,900 (2009 est.) |
| GDP - composition, by end use: | household consumption: 18.5% |
| GDP - composition, by end use: | government consumption: 6.5% |
| GDP - composition, by end use: | investment in fixed capital: 16.7% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 101.7% |
| GDP - composition, by end use: | imports of goods and services: -43.4% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 0% |
| GDP - composition, by sector of origin: | industry: 5.9% |
| GDP - composition, by sector of origin: | services: 94.1% (2014 est.) |
| Agriculture - products: | only 2% of land area is cultivated, mainly by vegetable growers; fishing, mostly for crustaceans, is important; some of the catch is exported to Hong Kong |
| Industries: | tourism, gambling, clothing, textiles, electronics, footwear, toys |
| Industrial production growth rate: | 10% (2014 est.) |
| Labor force: | 367,800 (2013 est.) |
| Labor force - by occupation: | manufacturing: 2.5% |
| Labor force - by occupation: | construction: 9.8% |
| Labor force - by occupation: | transport and communications: 4.4% |
| Labor force - by occupation: | wholesale and retail trade: 12.4% |
| Labor force - by occupation: | restaurants and hotels: 15% |
| Labor force - by occupation: | gambling: 25.9% |
| Labor force - by occupation: | public sector: 7.1% |
| Labor force - by occupation: | financial services: 2.6% |
| Labor force - by occupation: | other services: 20.3% (2013) |
| Unemployment rate: | 1.9% (2013 est.) |
| Unemployment rate: | 1.9% (2013 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 35 (2013) |
| Distribution of family income - Gini index: | 38 (2008) |
| Budget: | revenues: $23.3 billion |
| Budget: | expenditures: $4.931 billion (2014 est.) |
| Taxes and other revenues: | 45.1% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | 35.5% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6% (2014 est.) |
| Inflation rate (consumer prices): | 5.5% (2013 est.) |
| Commercial bank prime lending rate: | 5.3% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 5.25% (31 December 2013 est.) |
| Stock of narrow money: | $7.17 billion (31 December 2014 est.) |
| Stock of narrow money: | $7.35 billion (31 December 2013 est.) |
| Stock of broad money: | $64.67 billion (31 December 2014 est.) |
| Stock of broad money: | $55.29 billion (31 December 2013 est.) |
| Stock of domestic credit: | $-4.956 billion (31 December 2014 est.) |
| Stock of domestic credit: | $-5.517 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $85.5 billion (2 March 2012 est.) |
| Market value of publicly traded shares: | $46.1 billion (31 February 2011) |
| Market value of publicly traded shares: | $2.3 billion (31 December 2008 est.) |
| Current account balance: | $20.77 billion (2013 est.) |
| Current account balance: | $17.39 billion (2012 est.) |
| Exports: | $1.137 billion (2013 est.) |
| Exports: | $1.384 billion (2012 est.) |
| Exports: | note: includes reexports |
| Exports - commodities: | clothing, textiles, footwear, toys, electronics, machinery and parts |
| Exports - partners: | Hong Kong 58.6%, China 15.7% (2014 est.) |
| Imports: | $10.13 billion (2013 est.) |
| Imports: | $8.866 billion (2012 est.) |
