| Economy | Uruguay |
| --- | --- |
| Economy - overview: | Uruguay has a free market economy characterized by an export-oriented agricultural sector, a well-educated work force, and high levels of social spending. Following financial difficulties in the late 1990s and early 2000s, economic growth for Uruguay averaged 8% annually during the period 2004-08. The 2008-09 global financial crisis put a brake on Uruguay's vigorous growth, which decelerated to 2.6% in 2009. Nevertheless, the country managed to avoid a recession and keep positive growth rates, mainly through higher public expenditure and investment, and GDP growth reached 8.9% in 2010 but slowed in 2012-13, the result of a renewed slowdown in the global economy and in Uruguay's main trade partners and Common Market of the South (Mercosur) counterparts, Argentina and Brazil. Uruguay has sought to expand trade within Mercosur and with non-Mercosur members. Uruguay's total merchandise trade with Mercosur since 2006 has increased by nearly 70% to more than $5 billion while its total trade with the world has almost doubled to roughly $23 billion in 2013. |
| GDP (purchasing power parity): | $56.27 billion (2013 est.) |
| GDP (purchasing power parity): | $54.37 billion (2012 est.) |
| GDP (purchasing power parity): | $52.31 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $57.11 billion (2013 est.) |
| GDP - real growth rate: | 3.5% (2013 est.) |
| GDP - real growth rate: | 3.9% (2012 est.) |
| GDP - real growth rate: | 6.5% (2011 est.) |
| GDP - per capita (PPP): | $16,600 (2013 est.) |
| GDP - per capita (PPP): | $16,100 (2012 est.) |
| GDP - per capita (PPP): | $15,500 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 17.3% of GDP (2013 est.) |
| Gross national saving: | 15.8% of GDP (2012 est.) |
| Gross national saving: | 16.4% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 68.9% |
| GDP - composition, by end use: | government consumption: 13.6% |
| GDP - composition, by end use: | investment in fixed capital: 23.1% |
| GDP - composition, by end use: | investment in inventories: -0.8% |
| GDP - composition, by end use: | exports of goods and services: 25.8% |
| GDP - composition, by end use: | imports of goods and services: -30.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.5% |
| GDP - composition, by sector of origin: | industry: 21.5% |
| GDP - composition, by sector of origin: | services: 71% (2013 est.) |
| Agriculture - products: | soybeans, rice, wheat; beef, dairy products; fish; lumber, cellulose |
| Industries: | food processing, electrical machinery, transportation equipment, petroleum products, textiles, chemicals, beverages |
| Industrial production growth rate: | 6.6% (2013 est.) |
| Labor force: | 1.7 million (2013 est.) |
| Labor force - by occupation: | agriculture: 13% |
| Labor force - by occupation: | industry: 14% |
| Labor force - by occupation: | services: 73% (2010 est.) |
| Unemployment rate: | 6.5% (2013 est.) |
| Unemployment rate: | 6% (2012 est.) |
| Population below poverty line: | 18.6% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.9% |
| Household income or consumption by percentage share: | highest 10%: 34.4% (2010 est.) |
| Distribution of family income - Gini index: | 45.3 (2010) |
| Distribution of family income - Gini index: | 44.8 (1999) |
| Budget: | revenues: $17.14 billion |
| Budget: | expenditures: $18.62 billion (2013 est.) |
