| Economy | URUGUAY |
| --- | --- |
| Economy - overview: | Uruguay has a free market economy characterized by an export-oriented agricultural sector, a well-educated work force, and high levels of social spending. Following financial difficulties in the late 1990s and early 2000s, Uruguay's economic growth averaged 8% annually during the period 2004-08. The 2008-09 global financial crisis put a brake on Uruguay's vigorous growth, which decelerated to 2.6% in 2009. Nevertheless, the country managed to avoid a recession and keep positive growth rates, mainly through higher public expenditure and investment; GDP growth reached 8.9% in 2010 but slowed in 2012-13 as a result of a renewed slowdown in the global economy and in Uruguay's main trade partners and Common Market of the South (Mercosur) counterparts, Argentina and Brazil. Uruguay has sought to expand trade within Mercosur and with non-Mercosur members, and President VAZQUEZ has said he will maintain his predecessor&rsquo;s mix of pro-market policies and a strong social safety net. |
| GDP (purchasing power parity): | $69.98 billion (2014 est.) |
| GDP (purchasing power parity): | $67.73 billion (2013 est.) |
| GDP (purchasing power parity): | $64.88 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $55.14 billion (2014 est.) |
| GDP - real growth rate: | 3.3% (2014 est.) |
| GDP - real growth rate: | 4.4% (2013 est.) |
| GDP - real growth rate: | 3.7% (2012 est.) |
| GDP - per capita (PPP): | $20,600 (2014 est.) |
| GDP - per capita (PPP): | $19,900 (2013 est.) |
| GDP - per capita (PPP): | $19,100 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 17.3% of GDP (2014 est.) |
| Gross national saving: | 18.3% of GDP (2013 est.) |
| Gross national saving: | 18.2% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 66.1% |
| GDP - composition, by end use: | government consumption: 14% |
| GDP - composition, by end use: | investment in fixed capital: 22.9% |
| GDP - composition, by end use: | investment in inventories: 0.7% |
| GDP - composition, by end use: | exports of goods and services: 24.2% |
| GDP - composition, by end use: | imports of goods and services: -28% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.5% |
| GDP - composition, by sector of origin: | industry: 20.4% |
| GDP - composition, by sector of origin: | services: 72.1% (2014 est.) |
| Agriculture - products: | soybeans, rice, wheat; beef, dairy products; fish; lumber, cellulose |
