| Economy | Sweden |
| --- | --- |
| Economic overview: | Swedenâ€™s small, open, and competitive economy has been thriving and Sweden has achieved an enviable standard of living with its combination of free-market capitalism and extensive welfare benefits. Sweden remains outside the euro zone largely out of concern that joining the European Economic and Monetary Union would diminish the countryâ€™s sovereignty over its welfare system. |
| Economic overview: | Â  |
| Economic overview: | Timber, hydropower, and iron ore constitute the resource base of a manufacturing economy that relies heavily on foreign trade. Exports, including engines and other machines, motor vehicles, and telecommunications equipment, account for more than 44% of GDP. Sweden enjoys a current account surplus of about 5% of GDP, which is one of the highest margins in Europe. |
| Economic overview: | Â  |
| Economic overview: | GDP grew an estimated 3.3% in 2016 and 2017 driven largely by investment in the construction sector. Swedish economists expect economic growth to ease slightly in the coming years as this investment subsides. Global economic growth boosted exports of Swedish manufactures further, helping drive domestic economic growth in 2017. The Central Bank is keeping an eye on deflationary pressures and bank observers expect it to maintain an expansionary monetary policy in 2018. Swedish prices and wages have grown only slightly over the past few years, helping to support the countryâ€™s competitiveness. |
| Economic overview: | Â  |
| Economic overview: | In the short and medium term, Swedenâ€™s economic challenges include providing affordable housing and successfully integrating migrants into the labor market. |
| GDP real growth rate: | 1.29% (2019 est.) |
| GDP real growth rate: | 2.06% (2018 est.) |
| GDP real growth rate: | 2.82% (2017 est.) |
| Inflation rate (consumer prices): | 1.7% (2019 est.) |
| Inflation rate (consumer prices): | 1.9% (2018 est.) |
| Inflation rate (consumer prices): | 1.7% (2017 est.) |
| Credit ratings: | Fitch rating: AAA (2004) |
| Credit ratings: | Moody's rating: Aaa (2002) |
| Credit ratings: | Standard & Poors rating: AAA (2004) |
| GDP (purchasing power parity) - real: | $478.68 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $472.245 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $462.847 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $531.35 billion (2019 est.) |
| GDP - per capita (PPP): | $59,699 (2019 est.) |
| GDP - per capita (PPP): | $59,279 (2018 est.) |
| GDP - per capita (PPP): | $58,491 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 28.9% of GDP (2017 est.) |
| Gross national saving: | 28.8% of GDP (2016 est.) |
| Gross national saving: | 28.8% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 33% (2017 est.) |
| GDP - composition, by sector of origin: | services: 65.4% (2017 est.) |
| GDP - composition, by end use: | household consumption: 44.1% (2017 est.) |
| GDP - composition, by end use: | government consumption: 26% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 24.9% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.8% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 45.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -41.1% (2017 est.) |
| Ease of Doing Business Index scores: | 98.0 (2020) |
| Agriculture - products: | barley, wheat, sugar beets; meat, milk |
| Industries: | iron and steel, precision equipment (bearings, radio and telephone parts, armaments), wood pulp and paper products, processed foods, motor vehicles |
| Industrial production growth rate: | 4.1% (2017 est.) |
| Labor force: | 5.029 million (2020 est.) |
| Labor force - by occupation: | agriculture: 2% |
| Labor force - by occupation: | industry: 12% |
| Labor force - by occupation: | services: 86% (2014 est.) |
| Unemployment rate: | 6.78% (2019 est.) |
| Unemployment rate: | 6.33% (2018 est.) |
