| Economy | Sweden |
| --- | --- |
| Economy - overview: | Swedenâ€™s small, open, and competitive economy has been thriving and Sweden has achieved an enviable standard of living with its combination of free-market capitalism and extensive welfare benefits. Sweden remains outside the euro zone largely out of concern that joining the European Economic and Monetary Union would diminish the countryâ€™s sovereignty over its welfare system. |
| Economy - overview: | Â  |
| Economy - overview: | Timber, hydropower, and iron ore constitute the resource base of a manufacturing economy that relies heavily on foreign trade. Exports, including engines and other machines, motor vehicles, and telecommunications equipment, account for more than 44% of GDP. Sweden enjoys a current account surplus of about 5% of GDP, which is one of the highest margins in Europe. |
| Economy - overview: | Â  |
| Economy - overview: | GDP grew an estimated 3.3% in 2016 and 2017 driven largely by investment in the construction sector. Swedish economists expect economic growth to ease slightly in the coming years as this investment subsides. Global economic growth boosted exports of Swedish manufactures further, helping drive domestic economic growth in 2017. The Central Bank is keeping an eye on deflationary pressures and bank observers expect it to maintain an expansionary monetary policy in 2018. Swedish prices and wages have grown only slightly over the past few years, helping to support the countryâ€™s competitiveness. |
| Economy - overview: | Â  |
| Economy - overview: | In the short and medium term, Swedenâ€™s economic challenges include providing affordable housing and successfully integrating migrants into the labor market. |
| GDP (purchasing power parity): | $518 billion (2017 est.) |
| GDP (purchasing power parity): | $507.3 billion (2016 est.) |
| GDP (purchasing power parity): | $494 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $535.6 billion (2017 est.) |
| GDP - real growth rate: | 2.1% (2017 est.) |
| GDP - real growth rate: | 2.7% (2016 est.) |
| GDP - real growth rate: | 4.5% (2015 est.) |
| GDP - per capita (PPP): | $51,200 (2017 est.) |
| GDP - per capita (PPP): | $50,800 (2016 est.) |
| GDP - per capita (PPP): | $50,100 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 28.9% of GDP (2017 est.) |
| Gross national saving: | 28.8% of GDP (2016 est.) |
| Gross national saving: | 28.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 44.1% (2017 est.) |
| GDP - composition, by end use: | government consumption: 26% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 24.9% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.8% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 45.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -41.1% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 33% (2017 est.) |
