| Economy | MALAYSIA |
| --- | --- |
| Economy - overview: | Malaysia, an upper middle-income country, has transformed itself since the 1970s from a producer of raw materials into a multi-sector economy. Under current Prime Minister NAJIB, Malaysia is attempting to achieve high-income status by 2020 and to move further up the value-added production chain by attracting investments in high technology, knowledge-based industries and services. NAJIB's Economic Transformation Program is a series of projects and policy measures intended to accelerate the country's economic growth. The government has also taken steps to liberalize some services sub-sectors. Malaysia is vulnerable to a fall in world commodity prices or a general slowdown in global economic activity. |
| Economy - overview: | The NAJIB administration is continuing efforts to boost domestic demand and reduce the economy's dependence on exports. Domestic demand continues to anchor economic growth, supported mainly by private consumption, which accounts for 53% of GDP. Nevertheless, exports - particularly of electronics, oil and gas, and palm oil - remain a significant driver of the economy. In 2015, gross exports of goods and services were equivalent to 73% of GDP. The oil and gas sector supplied about 22% of government revenue in 2015, down significantly from prior years amid a decline in commodity prices and diversification of government revenues. Malaysia has embarked on a fiscal reform program aimed at achieving a balanced budget by 2020, including rationalization of subsidies and the 2015 introduction of a 6% value added tax. Sustained low commodity prices throughout the period not only strained government finances, but also shrunk Malaysia’s current account surplus and weighed heavily on the Malaysian ringgit, which was among the region’s worst performing currencies during 2015. The ringgit rebounded in early 2016, but hit new lows following the US presidential election amid a broader selloff of emerging market assets. |
| Economy - overview: | Bank Negara Malaysia (the central bank) maintains adequate foreign exchange reserves; a well-developed regulatory regime has limited Malaysia's exposure to riskier financial instruments, although it remains vulnerable to volatile global capital flows. In order to increase Malaysia’s competitiveness, Prime Minister NAJIB raised possible revisions to the special economic and social preferences accorded to ethnic Malays under the New Economic Policy of 1970, but retreated in 2013 after he encountered significant opposition from Malay nationalists and other vested interests. In September 2013 NAJIB launched the new Bumiputra Economic Empowerment Program, policies that favor and advance the economic condition of ethnic Malays. |
| Economy - overview: | Malaysia signed the 12-nation Trans-Pacific Partnership (TPP) free trade agreement in February 2016, although the future of the TPP remains unclear following the US withdrawal from the agreement. Along with nine other ASEAN members, Malaysia established the ASEAN Economic Community in 2015, which aims to advance regional economic integration. |
| GDP (purchasing power parity): | $863.3 billion (2016 est.) |
| GDP (purchasing power parity): | $818 billion (2015 est.) |
| GDP (purchasing power parity): | $770.4 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $296.5 billion (2016 est.) |
| GDP - real growth rate: | 4.2% (2016 est.) |
| GDP - real growth rate: | 5% (2015 est.) |
| GDP - real growth rate: | 6% (2014 est.) |
| GDP - per capita (PPP): | $27,300 (2016 est.) |
| GDP - per capita (PPP): | $26,600 (2015 est.) |
| GDP - per capita (PPP): | $25,700 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 28.2% of GDP (2016 est.) |
| Gross national saving: | 28.2% of GDP (2015 est.) |
| Gross national saving: | 29.4% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 54.9% |
| GDP - composition, by end use: | government consumption: 12.6% |
| GDP - composition, by end use: | investment in fixed capital: 25.8% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 67.7% |
| GDP - composition, by end use: | imports of goods and services: -61% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.7% |
| GDP - composition, by sector of origin: | industry: 37% |
| GDP - composition, by sector of origin: | services: 54.4% (2016 est.) |
| Agriculture - products: | Peninsular Malaysia - palm oil, rubber, cocoa, rice; Sabah - palm oil, subsistence crops; rubber, timber; Sarawak - palm oil, rubber, timber; pepper |
| Industries: | Peninsular Malaysia - rubber and oil palm processing and manufacturing, petroleum and natural gas, light manufacturing, pharmaceuticals, medical technology, electronics and semiconductors, timber processing; Sabah - logging, petroleum and natural gas production; Sarawak - agriculture processing, petroleum and natural gas production, logging |
| Industrial production growth rate: | 4.5% (2016 est.) |
| Labor force: | 14.7 million (2016 est.) |
| Labor force - by occupation: | agriculture: 11% |
| Labor force - by occupation: | industry: 36% |
| Labor force - by occupation: | services: 53% (2012 est.) |
| Unemployment rate: | 3.5% (2016 est.) |
| Unemployment rate: | 3.2% (2015 est.) |
| Population below poverty line: | 3.8% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 34.7% (2009 est.) |
| Distribution of family income - Gini index: | 46.2 (2009) |
| Distribution of family income - Gini index: | 49.2 (1997) |
| Budget: | revenues: $51.21 billion |
| Budget: | expenditures: $60.46 billion (2016 est.) |
| Taxes and other revenues: | 17.3% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -3.1% of GDP (2016 est.) |
| Public debt: | 52.7% of GDP (2016 est.) |
| Public debt: | 54.5% of GDP (2015 est.) |
| Public debt: | note: this figure is based on the amount of federal government debt, RM501.6 billion ($167.2 billion) in 2012; this includes Malaysian Treasury bills and other government securities, as well as loans raised externally and bonds and notes issued overseas; this figure excludes debt issued by non-financial public enterprises and guaranteed by the federal government, which was an additional $47.7 billion in 2012 |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.1% (2016 est.) |
| Inflation rate (consumer prices): | 2.1% (2015 est.) |
| Inflation rate (consumer prices): | note: approximately 30% of goods are price-controlled |
| Central bank discount rate: | 3% (31 December 2011) |
| Central bank discount rate: | 2.83% (31 December 2010) |
| Commercial bank prime lending rate: | 4.49% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 4.57% (31 December 2015 est.) |
| Stock of narrow money: | $84.9 billion (31 December 2016 est.) |
| Stock of narrow money: | $83.98 billion (31 December 2015 est.) |
| Stock of broad money: | $365.1 billion (31 December 2016 est.) |
| Stock of broad money: | $370.1 billion (31 December 2015 est.) |
| Stock of domestic credit: | $398.3 billion (31 December 2016 est.) |
| Stock of domestic credit: | $390.4 billion (31 December 2015 est.) |
