| Economy | Jamaica |
| --- | --- |
| Economy - overview: | The Jamaican economy is heavily dependent on services, which accounted for more than 60% of GDP at the end of 2011. The country continues to derive most of its foreign exchange from tourism, remittances, and bauxite/alumina. Remittances account for nearly 15% of GDP and exports of bauxite and alumina make up roughly 5%. The bauxite/alumina sector was most affected by the global downturn while the tourism industry was resilient. Tourism revenues account for roughly 5% of GDP in 2011. Jamaica's economy faces many challenges to growth: high crime and corruption, large-scale unemployment and underemployment, and a debt-to-GDP ratio of nearly 130%. Jamaica's onerous public debt burden is the result of government bailouts to ailing sectors of the economy, most notably to the financial sector. In early 2010, the Jamaican Government created the Jamaica Debt Exchange in order to retire high-priced domestic bonds and significantly reduce annual debt servicing. Despite the improvement, debt servicing costs still hinder the government''s ability to spend on infrastructure and social programs, particularly as job losses rise in a shrinking economy. Jamaica was hard hit by the effects of the global economic crisis, experiencing economic contractions from 2008-10 and growth remains low. The SIMPSON-MILLER administration faces the difficult prospect of having to achieve fiscal discipline in order to maintain debt payments, while simultaneously attacking a serious crime problem that is hampering economic growth. High unemployment exacerbates the crime problem, including gang violence that is fueled by the drug trade. As of late 2012, the SIMPSON-MILLER government was working to negotiate a new IMF Stand-by agreement to gain access to additional funds. |
| GDP (purchasing power parity): | $24.69 billion (2012 est.) |
| GDP (purchasing power parity): | $24.81 billion (2011 est.) |
| GDP (purchasing power parity): | $24.46 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $14.64 billion (2012 est.) |
| GDP - real growth rate: | -0.5% (2012 est.) |
| GDP - real growth rate: | 1.4% (2011 est.) |
| GDP - real growth rate: | -1.4% (2010 est.) |
| GDP - per capita (PPP): | $8,900 (2012 est.) |
| GDP - per capita (PPP): | $9,000 (2011 est.) |
| GDP - per capita (PPP): | $8,900 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 8.7% of GDP (2012 est.) |
