| Economy | JORDAN |
| --- | --- |
| Economy - overview: | Jordan's economy is among the smallest in the Middle East, with insufficient supplies of water, oil, and other natural resources, underlying the government's heavy reliance on foreign assistance. Other economic challenges for the government include chronic high rates of poverty, unemployment and underemployment, budget and current account deficits, and government debt. |
| Economy - overview: | King ABDALLAH, during the first decade of the 2000s, implemented significant economic reforms, such as expanding foreign trade and privatizing state-owned companies that attracted foreign investment and contributed to average annual economic growth of 8% for 2004 through 2008. The global economic slowdown and regional turmoil contributed to slower growth from 2010 to 2014 - with growth averaging 2.8% per year - and hurt export-oriented sectors, construction, and tourism. Through 2014, Jordan's finances were strained by a series of natural gas pipeline attacks in Egypt, disrupting natural gas exports to Jordan, and led Jordan to rely on more expensive diesel imports, primarily from Saudi Arabia, to generate electricity. |
| Economy - overview: | To diversify its energy mix, Jordan has secured several contracts for liquefied natural gas and is currently exploring nuclear power generation, exploitation of abundant oil shale reserves and renewable technologies, as well as the import of Israeli offshore gas. In August 2015, Jordan completed a $2.1 billion, three-year IMF Stand-By Arrangement, which the government had entered to help correct budgetary and balance of payments imbalances. Jordan plans to expand on its fiscal reform measures enacted over the previous few years with a follow-on IMF agreement in 2016 to boost government revenues, reduce the budget deficit, and manage its burgeoning debt, brought on in part by an influx of over 650,000 Syrian refugees since 2011, which put additional pressure on expenditures. |
| GDP (purchasing power parity): | $82.73 billion (2015 est.) |
| GDP (purchasing power parity): | $80.71 billion (2014 est.) |
| GDP (purchasing power parity): | $78.28 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $37.62 billion (2015 est.) |
| GDP - real growth rate: | 2.5% (2015 est.) |
| GDP - real growth rate: | 3.1% (2014 est.) |
| GDP - real growth rate: | 2.8% (2013 est.) |
| GDP - per capita (PPP): | $12,100 (2015 est.) |
| GDP - per capita (PPP): | $12,100 (2014 est.) |
| GDP - per capita (PPP): | $12,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 15.8% of GDP (2015 est.) |
| Gross national saving: | 18.3% of GDP (2014 est.) |
| Gross national saving: | 16.8% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 82% |
| GDP - composition, by end use: | government consumption: 19.8% |
| GDP - composition, by end use: | investment in fixed capital: 22.5% |
| GDP - composition, by end use: | investment in inventories: 2.3% |
| GDP - composition, by end use: | exports of goods and services: 35.6% |
| GDP - composition, by end use: | imports of goods and services: -62.2% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.2% |
| GDP - composition, by sector of origin: | industry: 29.6% |
| GDP - composition, by sector of origin: | services: 66.2% (2015 est.) |
| Agriculture - products: | citrus, tomatoes, cucumbers, olives, strawberries, stone fruits; sheep, poultry, dairy |
| Industries: | tourism, information technology, clothing, fertilizers, potash, phosphate mining, pharmaceuticals, petroleum refining, cement, inorganic chemicals, light manufacturing |
| Industrial production growth rate: | 2.2% (2015 est.) |
| Labor force: | 2.055 million (2015 est.) |
| Labor force - by occupation: | agriculture: 2% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 78% (2013 est.) |
| Unemployment rate: | 13.1% (2015 est.) |
| Unemployment rate: | 11.9% (2014 est.) |
| Unemployment rate: | note: official rate; unofficial rate is approximately 30% |
| Population below poverty line: | 14.2% (2002 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 28.7% (2010 est.) |
| Distribution of family income - Gini index: | 39.7 (2007) |
| Distribution of family income - Gini index: | 36.4 (1997) |
| Budget: | revenues: $8.324 billion |
| Budget: | expenditures: $10.88 billion (2015 est.) |
