| Economy | Jordan |
| --- | --- |
| Economic overview: | Jordan's economy is among the smallest in the Middle East, with insufficient supplies of water, oil, and other natural resources, underlying the government's heavy reliance on foreign assistance. Other economic challenges for the government include chronic high rates of unemployment and underemployment, budget and current account deficits, and government debt. |
| Economic overview: | King ABDALLAH, during the first decade of the 2000s, implemented significant economic reforms, such as expanding foreign trade and privatizing state-owned companies that attracted foreign investment and contributed to average annual economic growth of 8% for 2004 through 2008. The global economic slowdown and regional turmoil contributed to slower growth from 2010 to 2017 - with growth averaging about 2.5% per year - and hurt export-oriented sectors, construction/real estate, and tourism. Since the onset of the civil war in Syria and resulting refugee crisis, one of Jordanâ€™s most pressing socioeconomic challenges has been managing the influx of approximately 660,000 UN-registered refugees, more than 80% of whom live in Jordanâ€™s urban areas. Jordanâ€™s own official census estimated the refugee number at 1.3 million Syrians as of early 2016. |
| Economic overview: | Jordan is nearly completely dependent on imported energyâ€”mostly natural gasâ€”and energy consistently makes up 25-30% of Jordanâ€™s imports. To diversify its energy mix, Jordan has secured several contracts for liquefied and pipeline natural gas, developed several major renewables projects, and is currently exploring nuclear power generation and exploitation of abundant oil shale reserves. In August 2016, Jordan and the IMF agreed to a $723 million Extended Fund Facility that aims to build on the three-year, $2.1 billion IMF program that ended in August 2015 with the goal of helping Jordan correct budgetary and balance of payments imbalances. |
| GDP real growth rate: | 2% (2019 est.) |
| GDP real growth rate: | 1.94% (2018 est.) |
| GDP real growth rate: | 2.12% (2017 est.) |
| Inflation rate (consumer prices): | 0.3% (2019 est.) |
| Inflation rate (consumer prices): | 4.4% (2018 est.) |
| Inflation rate (consumer prices): | 3.3% (2017 est.) |
| Credit ratings: | Fitch rating: BB- (2019) |
| Credit ratings: | Moody's rating: B1 (2013) |
| Credit ratings: | Standard & Poors rating: B+ (2017) |
| GDP (purchasing power parity) - real: | $89 billion (2017 est.) |
| GDP (purchasing power parity) - real: | $58.215 billion (2017 est.) |
| GDP (purchasing power parity) - real: | $87.28 billion (2016 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2017 dollars |
| GDP (official exchange rate): | $44.568 billion (2019 est.) |
| GDP - per capita (PPP): | $3,291 (2019 est.) |
| GDP - per capita (PPP): | $3,271 (2018 est.) |
| GDP - per capita (PPP): | $3,268 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 9.1% of GDP (2017 est.) |
| Gross national saving: | 9.3% of GDP (2016 est.) |
| Gross national saving: | 10.2% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.5% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 28.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 66.6% (2017 est.) |
| GDP - composition, by end use: | household consumption: 80.5% (2017 est.) |
| GDP - composition, by end use: | government consumption: 19.8% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 22.8% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 34.2% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -58% (2017 est.) |
