| Economy | JORDAN |
| --- | --- |
| Economy - overview: | Jordan's economy is among the smallest in the Middle East, with insufficient supplies of water, oil, and other natural resources underlying the government's heavy reliance on foreign assistance. Other economic challenges for the government include chronic high rates of poverty, unemployment, inflation, and a large budget deficit and resulting government debt. King ABDALLAH, during the first decade of the 2000s, implemented significant economic reforms, such as opening up foreign trade and privatizing state-owned companies, that attracted foreign investment and contributed to average annual economic growth of 8% for 2004 through 2008. The global economic slowdown and regional turmoil since, however, reduced the average annual growth rate to 2.6% for the 2010-2013 period and hurt export-oriented sectors, construction, and tourism. Jordan's finances have been strained by a series of natural gas pipeline attacks in Egypt, causing Jordan to substitute more expensive diesel imports, primarily from Saudi Arabia, to generate electricity. To diversify its energy mix, Jordan is currently exploring nuclear power generation, exploitation of abundant oil shale reserves and renewable technologies, as well as the import of Israeli offshore gas. In August 2012, to correct budgetary and balance of payments imbalances, Jordan entered into a $2.1 billion, three year International Monetary Fund Stand-By Arrangement. In 2014, fiscal reform measures enacted in the previous few years continued to boost government revenues and reduced the budget deficit even as an influx of over 620,000 Syrian refugees since 2011 put additional pressure on expenditures. |
| GDP (purchasing power parity): | $79.62 billion (2014 est.) |
| GDP (purchasing power parity): | $77.22 billion (2013 est.) |
| GDP (purchasing power parity): | $75.1 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $35.77 billion (2014 est.) |
| GDP - real growth rate: | 3.1% (2014 est.) |
| GDP - real growth rate: | 2.8% (2013 est.) |
| GDP - real growth rate: | 2.7% (2012 est.) |
| GDP - per capita (PPP): | $11,900 (2014 est.) |
| GDP - per capita (PPP): | $11,600 (2013 est.) |
| GDP - per capita (PPP): | $11,300 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 14.3% of GDP (2014 est.) |
| Gross national saving: | 10.5% of GDP (2013 est.) |
| Gross national saving: | 6.5% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 81.5% |
| GDP - composition, by end use: | government consumption: 23.6% |
| GDP - composition, by end use: | investment in fixed capital: 28.5% |
| GDP - composition, by end use: | investment in inventories: 1.8% |
| GDP - composition, by end use: | exports of goods and services: 41.6% |
| GDP - composition, by end use: | imports of goods and services: -77% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.2% |
| GDP - composition, by sector of origin: | industry: 29.3% |
| GDP - composition, by sector of origin: | services: 67.4% (2014 est.) |
| Agriculture - products: | citrus, tomatoes, cucumbers, olives, strawberries, stone fruits; sheep, poultry, dairy |
| Industries: | tourism, information technology, clothing, fertilizers, potash, phosphate mining, pharmaceuticals, petroleum refining, cement, inorganic chemicals, light manufacturing |
| Industrial production growth rate: | 2.4% (2014 est.) |
| Labor force: | 1.959 million (2014 est.) |
| Labor force - by occupation: | agriculture: 2% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 78% (2013 est.) |
| Unemployment rate: | 11.9% (2014 est.) |
| Unemployment rate: | 12.6% (2013 est.) |
| Unemployment rate: | note: official rate; unofficial rate is approximately 30% |
| Population below poverty line: | 14.2% (2002 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 28.7% (2010 est.) |
| Distribution of family income - Gini index: | 39.7 (2007) |
| Distribution of family income - Gini index: | 36.4 (1997) |
| Budget: | revenues: $9.845 billion |
| Budget: | expenditures: $11.42 billion (2014 est.) |
| Taxes and other revenues: | 26.9% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -4.3% of GDP (2014 est.) |
| Public debt: | 90% of GDP (2014 est.) |
| Public debt: | 86.8% of GDP (2013 est.) |
| Public debt: | note: data cover central government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.9% (2014 est.) |
| Inflation rate (consumer prices): | 5.6% (2013 est.) |
| Central bank discount rate: | 0.3% (31 December 2010) |
| Central bank discount rate: | 4.75% (31 December 2009) |
| Commercial bank prime lending rate: | 8.74% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 8.85% (31 December 2013 est.) |
| Stock of narrow money: | $13.52 billion (31 December 2014 est.) |
| Stock of narrow money: | $11.86 billion (31 December 2013 est.) |
| Stock of broad money: | $42.26 billion (31 December 2014 est.) |
| Stock of broad money: | $38.58 billion (31 December 2013 est.) |
| Stock of domestic credit: | $40.72 billion (31 December 2014 est.) |
| Stock of domestic credit: | $38.08 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $27 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $27.18 billion (31 December 2011) |
| Market value of publicly traded shares: | $30.86 billion (31 December 2010 est.) |
| Current account balance: | -$2.512 billion (2014 est.) |
| Current account balance: | -$3.452 billion (2013 est.) |
| Exports: | $8.556 billion (2014 est.) |
| Exports: | $7.921 billion (2013 est.) |
| Exports - commodities: | clothing, fertilizers, potash, phosphates, vegetables, pharmaceuticals |
| Exports - partners: | US 15.8%, Iraq 15.3%, Saudi Arabia 12.4%, India 7.8% (2014) |
| Imports: | $22.8 billion (2014 est.) |
| Imports: | $22.1 billion (2013 est.) |
| Imports - commodities: | crude oil, refined petroleum products, machinery, transport equipment, iron, cereals |
| Imports - partners: | Saudi Arabia 19.6%, China 10.5%, US 5.8%, India 5.5%, UAE 4.8% (2014) |
| Reserves of foreign exchange and gold: | $16.51 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $13.82 billion (31 December 2013 est.) |
| Debt - external: | $26.06 billion (31 December 2014 est.) |
| Debt - external: | $22.61 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $28.65 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $26.67 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $532.9 million (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $524.9 million (31 December 2013 est.) |
| Exchange rates: | Jordanian dinars (JOD) per US dollar - |
| Exchange rates: | 0.709 (2014 est.) |
| Exchange rates: | 0.709 (2013 est.) |
