| Economy | Jordan |
| --- | --- |
| Economy - overview: | Jordan's economy is among the smallest in the Middle East, with insufficient supplies of water, oil, and other natural resources underlying the government's heavy reliance on foreign assistance. Other economic challenges for the government include chronic high rates of poverty, unemployment, inflation, and a large budget deficit. Since assuming the throne in 1999, King ABDALLAH has implemented significant economic reforms, such as opening the trade regime, privatizing state-owned companies, and eliminating some fuel subsidies, which in the last decade spurred economic growth by attracting foreign investment and creating some jobs. The global economic slowdown and regional turmoil, however, have depressed Jordan's GDP growth, impacting export-oriented sectors, construction, and tourism. In 2011 and 2012, the government approved two economic relief packages and a budgetary supplement, meant to improve the living conditions for the middle and poor classes. Jordan's finances have also been strained by a series of natural gas pipeline attacks in Egypt, causing Jordan to substitute more expensive diesel imports, primarily from Saudi Arabia, to generate electricity. Jordan is currently exploring nuclear power generation in addition to the exploitation of abundant oil shale reserves and renewable technologies to forestall energy shortfalls. In 2012, to correct budgetary and balance of payments imbalances, Jordan entered into a $2.1 billion, multiple year International Monetary Fund Stand-By Arrangement. Jordan's financial sector has been relatively isolated from the international financial crisis because of its limited exposure to overseas capital markets. In 2013, Jordan depended heavily on foreign assistance to finance the budget deficit, as the influx of about 600,000 Syrian refugees put additional pressure on expenditures. |
| GDP (purchasing power parity): | $40.02 billion (2013 est.) |
| GDP (purchasing power parity): | $38.76 billion (2012 est.) |
| GDP (purchasing power parity): | $37.71 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $34.08 billion (2013 est.) |
| GDP - real growth rate: | 3.3% (2013 est.) |
| GDP - real growth rate: | 2.8% (2012 est.) |
| GDP - real growth rate: | 2.6% (2011 est.) |
| GDP - per capita (PPP): | $6,100 (2013 est.) |
| GDP - per capita (PPP): | $6,100 (2012 est.) |
| GDP - per capita (PPP): | $6,000 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 29.1% of GDP (2013 est.) |
| Gross national saving: | 24.7% of GDP (2012 est.) |
| Gross national saving: | 28.5% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 73.1% |
| GDP - composition, by end use: | government consumption: 21% |
| GDP - composition, by end use: | investment in fixed capital: 26.2% |
| GDP - composition, by end use: | investment in inventories: 17% |
| GDP - composition, by end use: | exports of goods and services: 44.1% |
| GDP - composition, by end use: | imports of goods and services: -81.4% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.2% |
| GDP - composition, by sector of origin: | industry: 29.9% |
| GDP - composition, by sector of origin: | services: 67% (2013 est.) |
| Agriculture - products: | citrus, tomatoes, cucumbers, olives, strawberries, stone fruits; sheep, poultry, dairy |
| Industries: | clothing, fertilizers, potash, phosphate mining, pharmaceuticals, petroleum refining, cement, inorganic chemicals, light manufacturing, tourism |
| Industrial production growth rate: | 2.8% (2013 est.) |
| Labor force: | 1.898 million (2013 est.) |
| Labor force - by occupation: | agriculture: 2.7% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 77.4% (2007 est.) |
| Unemployment rate: | 14% (2013 est.) |
| Unemployment rate: | 12.5% (2012 est.) |
| Unemployment rate: | note: official rate; unofficial rate is approximately 30% |
| Population below poverty line: | 14.2% (2002) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 28.7% (2010 est.) |
| Distribution of family income - Gini index: | 39.7 (2007) |
| Distribution of family income - Gini index: | 36.4 (1997) |
| Budget: | revenues: $6.868 billion |
| Budget: | expenditures: $10.71 billion (2013 est.) |
| Taxes and other revenues: | 20.2% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -11.3% of GDP (2013 est.) |
| Public debt: | 79.1% of GDP (2013 est.) |
| Public debt: | 75.5% of GDP (2012 est.) |
| Public debt: | note: data cover central government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
