| Economy | Montenegro |
| --- | --- |
| Economy - overview: | Montenegro's economy is transitioning to a market system. Around 90% of Montenegrin state-owned companies have been privatized, including 100% of banking, telecommunications, and oil distribution. Tourism, which accounts for more than 20% of Montenegroâ€™s GDP, brings in three times as many visitors as Montenegroâ€™s total population every year. Several new luxury tourism complexes are in various stages of development along the coast, and a number are being offered in connection with nearby boating and yachting facilities. In addition to tourism, energy and agriculture are considered two distinct pillars of the economy. Only 20% of Montenegroâ€™s hydropower potential is utilized. Montenegro plans to become a net energy exporter, and the construction of an underwater cable to Italy, which will be completed by the end of 2018, will help meet its goal. |
| Economy - overview: | Montenegro uses the euro as its domestic currency, though it is not an official member of the euro zone. In January 2007, Montenegro joined the World Bank and IMF, and in December 2011, the WTO. Montenegro began negotiations to join the EU in 2012, having met the conditions set down by the European Council, which called on Montenegro to take steps to fight corruption and organized crime. |
| Economy - overview: | The government recognizes the need to remove impediments in order to remain competitive and open the economy to foreign investors. Net foreign direct investment in 2017 reached $848 million and investment per capita is one of the highest in Europe, due to a low corporate tax rate. The biggest foreign investors in Montenegro in 2017 were Norway, Russia, Italy, Azerbaijan and Hungary. |
| Economy - overview: | Montenegro is currently planning major overhauls of its road and rail networks, and possible expansions of its air transportation system. In 2014, the Government of Montenegro selected two Chinese companies to construct a 41 km-long section of the countryâ€™s highway system, which will become part of Chinaâ€™s Belt and Road Initiative. Cheaper borrowing costs have stimulated Montenegroâ€™s growing debt, which currently sits at 65.9% of GDP, with a forecast, absent fiscal consolidation, to increase to 80% once the repayment to Chinaâ€™s Ex/Im Bank of a â‚¬800 million highway loan begins in 2019. Montenegro first instituted a value-added tax (VAT) in April 2003, and introduced differentiated VAT rates of 17% and 7% (for tourism) in January 2006. The Montenegrin Government increased the non-tourism Value Added Tax (VAT) rate to 21% as of January 2018, with the goal of reducing its public debt. |
| GDP (purchasing power parity): | $11.08 billion (2017 est.) |
| GDP (purchasing power parity): | $10.63 billion (2016 est.) |
| GDP (purchasing power parity): | $10.32 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $4.784 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 4.3% (2017 est.) |
| GDP - real growth rate: | 2.9% (2016 est.) |
| GDP - real growth rate: | 3.4% (2015 est.) |
| GDP - per capita (PPP): | $17,800 (2017 est.) |
| GDP - per capita (PPP): | $17,100 (2016 est.) |
| GDP - per capita (PPP): | $16,600 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 13.2% of GDP (2017 est.) |
| Gross national saving: | 9.9% of GDP (2016 est.) |
| Gross national saving: | 9.1% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 76.8% (2016 est.) |
| GDP - composition, by end use: | government consumption: 19.6% (2016 est.) |
| GDP - composition, by end use: | investment in fixed capital: 23.2% (2016 est.) |
| GDP - composition, by end use: | investment in inventories: 2.9% (2016 est.) |
