| Economy | Nicaragua |
| --- | --- |
| Economy - overview: | Nicaragua, the poorest country in Central America and the second poorest in the Western Hemisphere, has widespread underemployment and poverty. GDP growth of 4.5% in 2017 was insufficient to make a significant difference. Textiles and agriculture combined account for nearly 50% of Nicaragua's exports. Beef, coffee, and gold are Nicaraguaâ€™s top three export commodities. |
| Economy - overview: | The Dominican Republic-Central America-United States Free Trade Agreement has been in effect since April 2006 and has expanded export opportunities for many Nicaraguan agricultural and manufactured goods. |
| Economy - overview: | In 2013, the government granted a 50-year concession with the option for an additional 50 years to a newly formed Chinese-run company to finance and build an inter-oceanic canal and related projects, at an estimated cost of $50 billion. The canal construction has not started. |
| GDP (purchasing power parity): | $36.4 billion (2017 est.) |
| GDP (purchasing power parity): | $34.71 billion (2016 est.) |
| GDP (purchasing power parity): | $33.17 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $13.81 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 4.9% (2017 est.) |
| GDP - real growth rate: | 4.7% (2016 est.) |
| GDP - real growth rate: | 4.8% (2015 est.) |
| GDP - per capita (PPP): | $5,900 (2017 est.) |
| GDP - per capita (PPP): | $5,600 (2016 est.) |
| GDP - per capita (PPP): | $5,500 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 24% of GDP (2017 est.) |
| Gross national saving: | 23.2% of GDP (2016 est.) |
| Gross national saving: | 23.6% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 69.9% (2017 est.) |
| GDP - composition, by end use: | government consumption: 15.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 28.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 41.2% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -55.4% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 15.5% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 24.4% (2017 est.) |
| GDP - composition, by sector of origin: | services: 60% (2017 est.) |
| Agriculture - products: | coffee, bananas, sugarcane, rice, corn, tobacco, cotton, sesame, soya, beans, beef, veal, pork, poultry, dairy products, shrimp, lobsters, peanuts |
| Industries: | food processing, chemicals, machinery and metal products, knit and woven apparel, petroleum refining and distribution, beverages, footwear, wood, electric wire harness manufacturing, mining |
| Industrial production growth rate: | 3.5% (2017 est.) |
| Labor force: | 3.046 million (2017 est.) |
| Labor force - by occupation: | agriculture: 31% |
| Labor force - by occupation: | industry: 18% |
| Labor force - by occupation: | services: 50% (2011 est.) |
| Unemployment rate: | 6.4% (2017 est.) |
| Unemployment rate: | 6.2% (2016 est.) |
| Unemployment rate: | note: underemployment was 46.5% in 2008 |
| Population below poverty line: | 29.6% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 47.1% (2014) |
| Household income or consumption by percentage share: | highest 10%: 47.1% (2014) |
| Distribution of family income - Gini index: | 47.1 (2014) |
| Distribution of family income - Gini index: | 45.8 (2009) |
| Budget: | revenues: 3.871 billion (2017 est.) |
| Budget: | expenditures: 4.15 billion (2017 est.) |
| Taxes and other revenues: | 28% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2% (of GDP) (2017 est.) |
| Public debt: | 33.3% of GDP (2017 est.) |
| Public debt: | 31.2% of GDP (2016 est.) |
