| Economy | NICARAGUA |
| --- | --- |
| Economy - overview: | Nicaragua, the poorest country in Central America and the second poorest in the Western Hemisphere, has widespread underemployment and poverty. GDP growth of 4.7% in 2016 was insufficient to make a significant difference. Textiles and agriculture combined account for nearly 50% of Nicaragua's exports. Beef, coffee, and gold are Nicaragua’s top three export commodities. |
| Economy - overview: | The Dominican Republic-Central America-United States Free Trade Agreement has been in effect since April 2006 and has expanded export opportunities for many Nicaraguan agricultural and manufactured goods. |
| Economy - overview: | In 2013, the government granted a 50-year concession with the option for an additional 50 years to a newly formed Chinese-run company to finance and build an inter-oceanic canal and related projects, at an estimated cost of $50 billion. The canal construction has not started. |
| GDP (purchasing power parity): | $34.07 billion (2016 est.) |
| GDP (purchasing power parity): | $32.13 billion (2015 est.) |
| GDP (purchasing power parity): | $30.31 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $13.23 billion (2016 est.) |
| GDP - real growth rate: | 4.7% (2016 est.) |
| GDP - real growth rate: | 4.9% (2015 est.) |
| GDP - real growth rate: | 4.8% (2014 est.) |
| GDP - per capita (PPP): | $5,500 (2016 est.) |
| GDP - per capita (PPP): | $5,400 (2015 est.) |
| GDP - per capita (PPP): | $5,200 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 22.7% of GDP (2016 est.) |
| Gross national saving: | 23.6% of GDP (2015 est.) |
| Gross national saving: | 21.8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 71.4% |
| GDP - composition, by end use: | government consumption: 15.3% |
| GDP - composition, by end use: | investment in fixed capital: 29.5% |
| GDP - composition, by end use: | investment in inventories: 1.7% |
| GDP - composition, by end use: | exports of goods and services: 39% |
| GDP - composition, by end use: | imports of goods and services: -57% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.8% |
| GDP - composition, by sector of origin: | industry: 24.2% |
| GDP - composition, by sector of origin: | services: 50.4% (2016 est.) |
| Agriculture - products: | coffee, bananas, sugarcane, rice, corn, tobacco, cotton, sesame, soya, beans, beef, veal, pork, poultry, dairy products, shrimp, lobsters, peanuts |
| Industries: | food processing, chemicals, machinery and metal products, knit and woven apparel, petroleum refining and distribution, beverages, footwear, wood, electric wire harness manufacturing, mining |
| Industrial production growth rate: | 3.4% (2016 est.) |
| Labor force: | 3.013 million (2016 est.) |
| Labor force - by occupation: | agriculture: 31% |
| Labor force - by occupation: | industry: 18% |
| Labor force - by occupation: | services: 50% (2011 est.) |
