| Economy | Burma |
| --- | --- |
| Economy - overview: | Burma is a resource-rich country but still suffers from pervasive government controls, inefficient economic policies, corruption, and rural poverty. Burma is the poorest country in Southeast Asia; approximately 32% of the population lives in poverty. Corruption is prevalent and significant resources in the extractive industries are concentrated in a few hands. The Burmese government has initiated notable economic reforms. In October 2011, 11 private banks were allowed to trade foreign currency. On April 2, 2012, Burma's multiple exchange rates were abolished and the Central Bank of Myanmar established a managed float of the Burmese kyat. In November 2012, President THEIN SEIN signed a new Foreign Investment Law. Despite these reforms, the Burmese government has not yet embarked on broad-based macro-economic reforms or addressed key impediments to economic development such as Burma's opaque revenue collection system. Key benchmarks of economic progress would include steps to ensure the independence of the Central Bank, provide budget allocation for social services, and enact laws to protect intellectual and real property. In recent years, foreign investors have shied away from nearly every sector except for natural gas, power generation, timber, and mining. The exploitation of natural resources does not benefit the population at large. The most productive sectors will continue to be in extractive industries - especially oil and gas, mining, and timber - with the latter two causing significant environmental degradation. Other areas, such as manufacturing, tourism, and services, struggle in the face of poor infrastructure, unpredictable trade policies, undeveloped human resources (the result of neglected health and education systems), endemic corruption, and inadequate access to capital for investment. The US initially imposed sanctions on Burma in response to the 1988 military crackdown and the regime's refusal to honor the democratic opposition National League for Democracy's 1990 landslide election victory under the leadership of AUNG SAN SUU KYI. In 2003, the US moved from broad-based to more targeted sanctions. In July 2012, as a result of reforms undertaken by President THEIN SEIN and his nominally civilian government, the US broadly eased restrictions on new investment in and the export of financial services to Burma. In November 2012, the US eased the import ban on Burmese products to the US with the exception of jadeite and rubies. Although the Burmese government has good economic relations with its neighbors, significant improvements in economic governance, the business climate, and the political situation are needed to promote serious foreign investment. |
| GDP (purchasing power parity): | $102.6 billion (2012 est.) |
| GDP (purchasing power parity): | $96.48 billion (2011 est.) |
| GDP (purchasing power parity): | $91.1 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $54.53 billion (2012 est.) |
| GDP - real growth rate: | 6.4% (2012 est.) |
| GDP - real growth rate: | 5.9% (2011 est.) |
| GDP - real growth rate: | 5.3% (2010 est.) |
| GDP - per capita (PPP): | $1,600 (2012 est.) |
| GDP - per capita (PPP): | $1,500 (2011 est.) |
| GDP - per capita (PPP): | $1,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 12.9% of GDP (2012 est.) |
| Gross national saving: | 13.7% of GDP (2011 est.) |
| Gross national saving: | 20% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 80.8% |
| GDP - composition, by end use: | government consumption: 3.8% |
| GDP - composition, by end use: | investment in fixed capital: 16.6% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
