| Economy | BURMA |
| --- | --- |
| Economy - overview: | Since the transition to a civilian government in 2011, Burma has begun an economic overhaul aimed at attracting foreign investment and reintegrating into the global economy. Economic reforms have included establishing a managed float of the Burmese kyat in 2012, re-writing the Foreign Investment Law in 2012 to allow more foreign investment participation, granting the Central Bank operational independence in July 2013, enacting a new Anti-corruption Law in September 2013, and granting licenses to nine foreign banks in 2014 and four more foreign banks in 2016. |
| Economy - overview: | The government’s commitment to reform, and the subsequent easing of most Western sanctions, led to accelerated growth in 2013 and 2014. In 2015, growth slowed because of political uncertainty in an election year, summer floods, and external factors, including China’s slowdown and lower commodity prices. Burma’s abundant natural resources, young labor force, and proximity to Asia’s dynamic economies have attracted foreign investment in the energy sector, garment industry, information technology, and food and beverages. Pledged foreign direct investment grew from $4.1 billion in FY 2013 to $8.1 billion in FY 2014. |
| Economy - overview: | Despite these improvements, living standards have not improved for the majority of the people residing in rural areas. Burma remains one of the poorest countries in Asia – approximately 26% of the country’s 51 million people live in poverty. The previous government’s isolationist policies and economic mismanagement have left Burma with poor infrastructure, endemic corruption, underdeveloped human resources, and inadequate access to capital, which will require a major commitment to reverse. The Burmese government has been slow to address impediments to economic development such as insecure land rights, a restrictive trade licensing system, an opaque revenue collection system, and an antiquated banking system. The newly elected government, led by AUNG SAN SUU KYI, will likely focus on accelerating agricultural productivity and land reforms, modernizing and opening the financial sector, and improving fiscal management. |
| GDP (purchasing power parity): | $283.5 billion (2015 est.) |
| GDP (purchasing power parity): | $264.9 billion (2014 est.) |
| GDP (purchasing power parity): | $243.7 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $66.98 billion (2015 est.) |
| GDP - real growth rate: | 7% (2015 est.) |
| GDP - real growth rate: | 8.7% (2014 est.) |
| GDP - real growth rate: | 8.4% (2013 est.) |
| GDP - per capita (PPP): | $5,500 (2015 est.) |
| GDP - per capita (PPP): | $5,200 (2014 est.) |
| GDP - per capita (PPP): | $4,800 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 33.2% of GDP (2015 est.) |
| Gross national saving: | 31.3% of GDP (2014 est.) |
| Gross national saving: | 29.2% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 59.9% |
| GDP - composition, by end use: | government consumption: 6.1% |
| GDP - composition, by end use: | investment in fixed capital: 36.1% |
| GDP - composition, by end use: | investment in inventories: 0.3% |
| GDP - composition, by end use: | exports of goods and services: 23.7% |
| GDP - composition, by end use: | imports of goods and services: -26.1% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 27.4% |
| GDP - composition, by sector of origin: | industry: 26.5% |
| GDP - composition, by sector of origin: | services: 46% (2015 est.) |
| Agriculture - products: | rice, pulses, beans, sesame, groundnuts; sugarcane; fish and fish products; hardwood |
| Industries: | agricultural processing; wood and wood products; copper, tin, tungsten, iron; cement, construction materials; pharmaceuticals; fertilizer; oil and natural gas; garments; jade and gems |
| Industrial production growth rate: | 13.7% (2015 est.) |
| Labor force: | 36.18 million (2015 est.) |
| Labor force - by occupation: | agriculture: 70% |
| Labor force - by occupation: | industry: 7% |
| Labor force - by occupation: | services: 23% (2001) |
| Unemployment rate: | 5% (2015 est.) |
| Unemployment rate: | 5.1% (2014 est.) |
| Population below poverty line: | 32.7% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 32.4% (1998) |
| Budget: | revenues: $7.796 billion |
| Budget: | expenditures: $9.702 billion (2015 est.) |
| Taxes and other revenues: | 11.6% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.8% of GDP (2015 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 10.8% (2015 est.) |
| Inflation rate (consumer prices): | 5.5% (2014 est.) |
| Central bank discount rate: | 9.95% (31 December 2010) |
| Central bank discount rate: | 12% (31 December 2009) |
| Commercial bank prime lending rate: | 13% (31 December 2015 est.) |
