| Economy | Burma |
| --- | --- |
| Economic overview: | Since Burma began the transition to a civilian-led government in 2011, the country initiated economic reforms aimed at attracting foreign investment and reintegrating into the global economy. Burma established a managed float of the Burmese kyat in 2012, granted the Central Bank operational independence in July 2013, enacted a new anti-corruption law in September 2013, and granted licenses to 13 foreign banks in 2014-16. State Counsellor AUNG SAN SUU KYI and the ruling National League for Democracy, who took power in March 2016, have sought to improve Burmaâ€™s investment climate following the US sanctions lift in October 2016 and reinstatement of Generalized System of Preferences trade benefits in November 2016. In October 2016, Burma passed a foreign investment law that consolidates investment regulations and eases rules on foreign ownership of businesses. |
| Economic overview: | Burmaâ€™s economic growth rate recovered from a low growth under 6% in 2011 but has been volatile between 6% and 8% between 2014 and 2018. Burmaâ€™s abundant natural resources and young labor force have the potential to attract foreign investment in the energy, garment, information technology, and food and beverage sectors. The government is focusing on accelerating agricultural productivity and land reforms, modernizing and opening the financial sector, and developing transportation and electricity infrastructure. The government has also taken steps to improve transparency in the mining and oil sectors through publication of reports under the Extractive Industries Transparency Initiative (EITI) in 2016 and 2018. |
| Economic overview: | Despite these improvements, living standards have not improved for the majority of the people residing in rural areas. Burma remains one of the poorest countries in Asia â€“ approximately 26% of the countryâ€™s 51 million people live in poverty. The isolationist policies and economic mismanagement of previous governments have left Burma with poor infrastructure, endemic corruption, underdeveloped human resources, and inadequate access to capital, which will require a major commitment to reverse. The Burmese Government has been slow to address impediments to economic development such as unclear land rights, a restrictive trade licensing system, an opaque revenue collection system, and an antiquated banking system. |
| GDP real growth rate: | 6.8% (2017 est.) |
| GDP real growth rate: | 5.9% (2016 est.) |
| GDP real growth rate: | 7% (2015 est.) |
| Inflation rate (consumer prices): | 8.8% (2019 est.) |
| Inflation rate (consumer prices): | 6.8% (2018 est.) |
| Inflation rate (consumer prices): | 4.6% (2017 est.) |
| GDP (purchasing power parity) - real: | $287.95 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $279.868 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $262.17 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $76.606 billion (2019 est.) |
| GDP - per capita (PPP): | $6,300 (2017 est.) |
| GDP - per capita (PPP): | $5,900 (2016 est.) |
| GDP - per capita (PPP): | $5,600 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 17.7% of GDP (2017 est.) |
| Gross national saving: | 17.6% of GDP (2016 est.) |
| Gross national saving: | 18.1% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 24.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 35.6% (2017 est.) |
| GDP - composition, by sector of origin: | services: 40.3% (2017 est.) |
| GDP - composition, by end use: | household consumption: 59.2% (2017 est.) |
| GDP - composition, by end use: | government consumption: 13.8% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 33.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.5% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 21.4% (2017 est.) |
