| Economy | ARMENIA |
| --- | --- |
| Economy - overview: | Under the old Soviet central planning system, Armenia developed a modern industrial sector, supplying machine tools, textiles, and other manufactured goods to sister republics, in exchange for raw materials and energy. Armenia has since switched to small-scale agriculture and away from the large agroindustrial complexes of the Soviet era. Armenia has only two open trade borders - Iran and Georgia - because its borders with Azerbaijan and Turkey have been closed since 1991 and 1993, respectively, as a result of Armenia's ongoing conflict with Azerbaijan over the separatist Nagorno-Karabakh region. |
| Economy - overview: | Armenia joined the WTO in January 2003. The government has made some improvements in tax and customs administration in recent years, but anti-corruption measures have been ineffective. Armenia will need to pursue additional economic reforms and strengthen the rule of law in order to regain economic growth and improve economic competitiveness and employment opportunities, especially given its economic isolation from two of its nearest neighbors, Turkey and Azerbaijan. |
| Economy - overview: | Armenia's geographic isolation, a narrow export base, and pervasive monopolies in important business sectors have made it particularly vulnerable to the sharp deterioration in the global economy and the economic downturn in Russia. Armenia is particularly dependent on Russian commercial and governmental support and most key Armenian infrastructure is Russian-owned and/or managed, especially in the energy sector, including electricity and natural gas. Remittances from expatriates working in Russia are equivalent to about 20% of GDP and partly offset the country's severe trade imbalance. Armenia joined Russia in the Eurasian Economic Union upon the bloc's launch in January 2015, even though the ruble's sharp depreciation in December 2014 led to currency instability, inflation, and a significant decrease in exports from Armenia to Russia. |
| GDP (purchasing power parity): | $25.32 billion (2015 est.) |
| GDP (purchasing power parity): | $24.58 billion (2014 est.) |
| GDP (purchasing power parity): | $23.75 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $10.57 billion (2015 est.) |
| GDP - real growth rate: | 3% (2015 est.) |
| GDP - real growth rate: | 3.5% (2014 est.) |
| GDP - real growth rate: | 3.3% (2013 est.) |
| GDP - per capita (PPP): | $8,500 (2015 est.) |
| GDP - per capita (PPP): | $8,200 (2014 est.) |
| GDP - per capita (PPP): | $8,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 18.1% of GDP (2015 est.) |
| Gross national saving: | 13.6% of GDP (2014 est.) |
| Gross national saving: | 14.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 77.7% |
| GDP - composition, by end use: | government consumption: 13.1% |
| GDP - composition, by end use: | investment in fixed capital: 20.8% |
