| Economy | Malawi |
| --- | --- |
| Economy - overview: | Landlocked Malawi ranks among the world's least developed countries. The countryâ€™s economic performance has historically been constrained by policy inconsistency, macroeconomic instability, poor infrastructure, rampant corruption, high population growth, and poor health and education outcomes that limit labor productivity. The economy is predominately agricultural with about 80% of the population living in rural areas. Agriculture accounts for about one-third of GDP and 80% of export revenues. The performance of the tobacco sector is key to short-term growth as tobacco accounts for more than half of exports, although Malawi is looking to diversify away from tobacco to other cash crops. |
| Economy - overview: | The economy depends on substantial inflows of economic assistance from the IMF, the World Bank, and individual donor nations. Donors halted direct budget support from 2013 to 2016 because of concerns about corruption and fiscal carelessness, but the World Bank resumed budget support in May 2017. In 2006, Malawi was approved for relief under the Heavily Indebted Poor Countries (HIPC) program but recent increases in domestic borrowing mean that debt servicing in 2016 exceeded the levels prior to HIPC debt relief. |
| Economy - overview: | Heavily dependent on rain-fed agriculture, with corn being the staple crop, Malawiâ€™s economy was hit hard by the El Nino-driven drought in 2015 and 2016, and now faces threat from the fall armyworm. The drought also slowed economic activity, led to two consecutive years of declining economic growth, and contributed to high inflation rates. Depressed food prices over 2017 led to a significant drop in inflation (from an average of 21.7% in 2016 to 12.3% in 2017), with a similar drop in interest rates. |
| GDP (purchasing power parity): | $22.42 billion (2017 est.) |
| GDP (purchasing power parity): | $21.56 billion (2016 est.) |
| GDP (purchasing power parity): | $21.08 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $6.24 billion (2017 est.) |
| GDP - real growth rate: | 4% (2017 est.) |
| GDP - real growth rate: | 2.3% (2016 est.) |
| GDP - real growth rate: | 3% (2015 est.) |
| GDP - per capita (PPP): | $1,200 (2017 est.) |
| GDP - per capita (PPP): | $1,200 (2016 est.) |
| GDP - per capita (PPP): | $1,200 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 3.9% of GDP (2017 est.) |
| Gross national saving: | -2.8% of GDP (2016 est.) |
| Gross national saving: | 2.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 84.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 16.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 15.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 27.9% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -43.8% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 28.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 15.4% (2017 est.) |
| GDP - composition, by sector of origin: | services: 56% (2017 est.) |
| Agriculture - products: | tobacco, sugarcane, tea, corn, potatoes, sweet potatoes, cassava (manioc, tapioca), sorghum, pulses, cotton, groundnuts, macadamia nuts, coffee; cattle, goats |
| Industries: | tobacco, tea, sugar, sawmill products, cement, consumer goods |
| Industrial production growth rate: | 1.2% (2017 est.) |
| Labor force: | 7 million (2013 est.) |
| Labor force - by occupation: | agriculture: 76.9% |
| Labor force - by occupation: | industry: 4.1% |
| Labor force - by occupation: | services: 19% (2013 est.) |
| Unemployment rate: | 20.4% (2013 est.) |
| Population below poverty line: | 50.7% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.2% |
| Household income or consumption by percentage share: | highest 10%: 37.5% (2010 est.) |
| Distribution of family income - Gini index: | 46.1 (2010) |
| Distribution of family income - Gini index: | 39 (2004) |
| Budget: | revenues: 1.356 billion (2017 est.) |
| Budget: | expenditures: 1.567 billion (2017 est.) |
| Taxes and other revenues: | 21.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.4% (of GDP) (2017 est.) |
| Public debt: | 59.2% of GDP (2017 est.) |
| Public debt: | 60.3% of GDP (2016 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 12.2% (2017 est.) |
| Inflation rate (consumer prices): | 21.7% (2016 est.) |
| Central bank discount rate: | 16% (31 December 2017 est.) |
| Central bank discount rate: | 24% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 38.1% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 44.11% (31 December 2016 est.) |
| Stock of narrow money: | $632.4 million (31 December 2017 est.) |
| Stock of narrow money: | $534 million (31 December 2016 est.) |
| Stock of broad money: | $632.4 million (31 December 2017 est.) |
| Stock of broad money: | $534 million (31 December 2016 est.) |
| Stock of domestic credit: | $1.161 billion (31 December 2017 est.) |
| Stock of domestic credit: | $1.049 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $18.97 million (31 December 2017 est.) |
| Market value of publicly traded shares: | $8.643 million (31 December 2016 est.) |
