| Economy | European Union |
| --- | --- |
| Economic overview: | The 27 member states that make up the EU have adopted an internal single market with free movement of goods, services, capital, and labor. The EU, which is also a customs union, aims to bolster Europe's trade position and its political and economic weight in international affairs. |
| Economic overview: | Â  |
| Economic overview: | Despite great differences in per capita income among member states (from $28,000 to $109,000) and in national attitudes toward issues like inflation, debt, and foreign trade, the EU has achieved a high degree of coordination of monetary and fiscal policies. A common currency â€“ the euro â€“ circulates among 19 of the member states that make up the European Economic and Monetary Union (EMU). Eleven member states introduced the euro as their common currency on 1 January 1999 (Greece did so two years later). Since 2004, 13 states acceded to the EU. Of the 13, Slovenia (2007), Cyprus and Malta (2008), Slovakia (2009), Estonia (2011), Latvia (2014), and Lithuania (2015) have adopted the euro; seven other member states - excluding Denmark, which has a formal opt-out - are required by EU treaties to adopt the common currency upon meeting fiscal and monetary convergence criteria. |
| Economic overview: | Â  |
| Economic overview: | The EU economy posted moderate GDP growth for 2014 through 2017, capping five years of sustained growth since the 2008-09 global economic crisis and the ensuing sovereign debt crisis in the euro zone in 2011. However, the blocâ€™s recovery was uneven. Some EU member states (Czechia, Ireland, Malta, Romania, Sweden, and Spain) recorded strong growth, others (Italy) experienced modest expansion, and Greece finally ended its EU rescue program in August 2018. Overall, the EUâ€™s recovery was buoyed by lower commodities prices and accommodative monetary policy, which lowered interest rates and stimulated demand. The euro zone, which makes up about 70% of the total EU economy, performed well, achieving a growth rate not seen in a decade. In October 2017 the European Central Bank (ECB) announced it would extend its bond-buying program through September 2018, and possibly beyond that date, to keep the euro zone recovery on track. The ECBâ€™s efforts to spur more lending and investment through its asset-buying program, negative interest rates, and long-term loan refinancing programs have not yet raised inflation in line with the ECBâ€™s statutory target of just under 2%. |
| Economic overview: | Â  |
| Economic overview: | Despite its performance, high unemployment in some member states, high levels of public and private debt, muted productivity, an incomplete single market in services, and an aging population remain sources of potential drag on the EUâ€™s future growth. Moreover, the EU economy remains vulnerable to a slowdown of global trade and bouts of political and financial turmoil. In June 2016, the UK voted to withdraw from the EU, the first member country ever to attempt to secede. Continued uncertainty about the implications of the UKâ€™s exit from the EU (concluded January 2020) could hurt consumer and investor confidence and dampen EU growth, particularly if trade and cross-border investment significantly declines. Political disagreements between EU member states on reforms to fiscal and economic policy also may impair the EUâ€™s ability to bolster its crisis-prevention and resolution mechanisms. International investorsâ€™ fears of a broad dissolution of the single currency area have largely dissipated, but these concerns could resurface if elected leaders implement policies that contravene euro-zone budget or banking rules. State interventions in ailing banks, including rescue of banks in Italy and resolution of banks in Spain, have eased financial vulnerabilities in the European banking sector even though some banks are struggling with low profitability and a large stock of bad loans, fragilities that could precipitate localized crises. Externally, the EU has continued to pursue comprehensive free trade agreements to expand EU external market share, particularly with Asian countries; EU and Japanese leaders reached a political-level agreement on a free trade agreement in July 2017, and agreement with Mexico in April 2018 on updates to an existing free trade agreement. |
| GDP real growth rate: | 2.3% (2017 est.) |
| GDP real growth rate: | 2% (2016 est.) |
| GDP real growth rate: | 2.3% (2015 est.) |
| Inflation rate (consumer prices): | 1.1% (2019 est.) |
| Inflation rate (consumer prices): | 1.7% (2018 est.) |
| Inflation rate (consumer prices): | 1.5% (2017 est.) |
| Credit ratings: | Fitch rating: AAA (2010) |
| Credit ratings: | Moody's rating: Aaa (2014) |
| Credit ratings: | Standard & Poors rating: AA (2016) |
| GDP (purchasing power parity) - real: | note: data are in 2017 dollars |
| GDP (official exchange rate): | $17.11 trillion (2017 est.) |
| GDP - per capita (PPP): | $40,900 (2017 est.) |
| GDP - per capita (PPP): | $39,400 (2016 est.) |
| GDP - per capita (PPP): | $38,200 (2015 est.) |
