| Economy | West Bank |
| --- | --- |
| Economy - overview: | In 2017, the economic outlook in the West Bank - the larger of the two areas comprising the Palestinian Territories â€“ remained fragile, as security concerns and political friction slowed economic growth. Unemployment in the West Bank remained high at 19.0% in the third quarter of 2017, only slightly better than 19.6% at the same point the previous year, while the labor force participation rate remained flat, year-on-year. |
| Economy - overview: | Longstanding Israeli restrictions on imports, exports, and movement of goods and people continue to disrupt labor and trade flows and the territoryâ€™s industrial capacity, and constrain private sector development. The PAâ€™s budget benefited from an effort to improve tax collection, coupled with lower spending in 2017, but the PA for the foreseeable future will continue to rely heavily on donor aid for its budgetary needs and infrastructure development. |
| GDP (purchasing power parity): | $21.22 billion (2014 est.) |
| GDP (purchasing power parity): | $20.15 billion (2013 est.) |
| GDP (purchasing power parity): | $19.95 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars; includes Gaza Strip |
| GDP (official exchange rate): | $9.828 billion (2014 est.) (2014 est.) |
| GDP (official exchange rate): | note: excludes Gaza Strip |
| GDP - real growth rate: | 5.3% (2014 est.) |
| GDP - real growth rate: | 1% (2013 est.) |
| GDP - real growth rate: | 6% (2012 est.) |
| GDP - real growth rate: | note: excludes Gaza Strip |
| GDP - per capita (PPP): | $4,300 (2014 est.) |
| GDP - per capita (PPP): | $4,400 (2013 est.) |
| GDP - per capita (PPP): | $4,600 (2012 est.) |
| GDP - per capita (PPP): | note: includes Gaza Strip |
| Gross national saving: | 7.8% of GDP (2014 est.) |
| Gross national saving: | 9.5% of GDP (2013 est.) |
| Gross national saving: | 5% of GDP (2012 est.) |
| Gross national saving: | note: includes Gaza Strip |
| GDP - composition, by end use: | household consumption: 91.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 26.7% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 23% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 20% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -61% (2017 est.) |
| GDP - composition, by end use: | note: excludes Gaza Strip |
| GDP - composition, by sector of origin: | agriculture: 2.9% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 19.5% (2017 est.) |
| GDP - composition, by sector of origin: | services: 77.6% (2017 est.) |
| GDP - composition, by sector of origin: | note: excludes Gaza Strip |
| Agriculture - products: | olives, citrus fruit, vegetables; beef, dairy products |
| Industries: | small-scale manufacturing, quarrying, textiles, soap, olive-wood carvings, and mother-of-pearl souvenirs |
| Industrial production growth rate: | 2.2% (2017 est.) |
| Industrial production growth rate: | note: includes Gaza Strip |
| Labor force: | 1.24 million (2017 est.) |
| Labor force: | note: excludes Gaza Strip |
| Labor force - by occupation: | agriculture: 11.5% |
| Labor force - by occupation: | industry: 34.4% |
| Labor force - by occupation: | services: 54.1% (2013 est.) |
| Labor force - by occupation: | note: excludes Gaza Strip |
| Unemployment rate: | 27.9% (2017 est.) |
| Unemployment rate: | 27% (2016 est.) |
| Unemployment rate: | note: excludes Gaza Strip |
| Population below poverty line: | 18% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 28.2% (2009 est.) |
| Household income or consumption by percentage share: | highest 10%: 28.2% (2009 est.) |
| Household income or consumption by percentage share: | note: includes Gaza Strip |
