| Economy | BRAZIL |
| --- | --- |
| Economy - overview: | Brazil is the eighth-largest economy in the world, but is recovering from a recession in 2015 and 2016 that ranks as the worst in the country’s history. Falling commodity prices reduced export revenues and investment, which weakened the Brazilian real and cut tax revenues. The weaker real made existing public debt, which was largely denominated in foreign currency, more expensive. Lower tax revenues strained the government budget. |
| Economy - overview: | Economic reforms proposed in 2016 aim to slow the growth of government spending and reduce barriers to foreign investment. Government spending growth helped to push public debt to 70% of GDP at the end of 2016 up from 50% in 2012. Policies to strengthen Brazil’s workforce and industrial sector, such as local content requirements, may have boosted employment at the expense of investment. |
| Economy - overview: | Former President Dilma ROUSSEFF was impeached and convicted in August 2016 for moving funds among government budgets; the economy has also been affected by multiple corruption scandals involving private companies and government officials. Sanctions against the firms involved — some of the largest in Brazil — has limited their business opportunities, producing a ripple effect on associated businesses and contractors. In addition, investment in these companies has declined because of the scandals. |
| Economy - overview: | Brazil is a member of the Common Market of the South (Mercosur), a trade bloc including Argentina, Paraguay, Uruguay, and Venezuela. After the Asian and Russian financial crises, Mercosur adopted a protectionist stance to guard against exposure to the volatility of foreign markets. Brazil and its Mercosur partners have pledged to open the bloc to more trade and investment, but changes require approval of all five members, which makes policy adjustments too difficult to enact. |
| GDP (purchasing power parity): | $3.141 trillion (2016 est.) |
| GDP (purchasing power parity): | $3.217 trillion (2015 est.) |
| GDP (purchasing power parity): | $3.307 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $1.799 trillion (2016 est.) |
| GDP - real growth rate: | -3.6% (2016 est.) |
| GDP - real growth rate: | -3.8% (2015 est.) |
| GDP - real growth rate: | 0.5% (2014 est.) |
| GDP - per capita (PPP): | $15,200 (2016 est.) |
| GDP - per capita (PPP): | $15,900 (2015 est.) |
| GDP - per capita (PPP): | $16,700 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 16.2% of GDP (2016 est.) |
| Gross national saving: | 15.8% of GDP (2015 est.) |
| Gross national saving: | 16.8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 64% |
| GDP - composition, by end use: | government consumption: 20.2% |
| GDP - composition, by end use: | investment in fixed capital: 16.4% |
| GDP - composition, by end use: | investment in inventories: -0.9% |
| GDP - composition, by end use: | exports of goods and services: 12.5% |
| GDP - composition, by end use: | imports of goods and services: -12.1% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.8% |
| GDP - composition, by sector of origin: | industry: 20.9% |
| GDP - composition, by sector of origin: | services: 73.3% |
| GDP - composition, by sector of origin: | (2016 est.) |
| Agriculture - products: | coffee, soybeans, wheat, rice, corn, sugarcane, cocoa, citrus; beef |
| Industries: | textiles, shoes, chemicals, cement, lumber, iron ore, tin, steel, aircraft, motor vehicles and parts, other machinery and equipment |
| Industrial production growth rate: | -3.8% (2016 est.) |
| Labor force: | 110.4 million (2016 est.) |
| Labor force - by occupation: | agriculture: 10% |
| Labor force - by occupation: | industry: 39.8% |
| Labor force - by occupation: | services: 50.2% |
| Labor force - by occupation: | (2016 est.) |
| Unemployment rate: | 11.3% (2016 est.) |
| Unemployment rate: | 9% (2015 est.) |
| Population below poverty line: | 3.7% |
| Population below poverty line: | note: approximately 4% of the population are below the "extreme" poverty line (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.2% |
| Household income or consumption by percentage share: | highest 10%: 41.6% (2014 est.) |
| Distribution of family income - Gini index: | 49.7 (2014) |
| Distribution of family income - Gini index: | 55.3 (2001) |
| Budget: | revenues: $646.4 billion |
| Budget: | expenditures: $664.4 billion (2016 est.) |
| Taxes and other revenues: | 35.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -1% of GDP (2016 est.) |
| Public debt: | 69.9% of GDP (2016 est.) |
| Public debt: | 65.5% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8.7% (2016 est.) |
| Inflation rate (consumer prices): | 9% (2015 est.) |
| Central bank discount rate: | 13.75% (31 December 2016 est.) |
| Central bank discount rate: | 14.25% (31 December 2015) |
| Commercial bank prime lending rate: | 52.1% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 43.96% (31 December 2015 est.) |
| Stock of narrow money: | $106.7 billion (31 December 2016 est.) |
| Stock of narrow money: | $85.64 billion (31 December 2015 est.) |
| Stock of broad money: | $727.7 billion (31 December 2016 est.) |
| Stock of broad money: | $585.4 billion (31 December 2015 est.) |
| Stock of domestic credit: | $2.138 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $1.644 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $490.5 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $843.9 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.02 trillion (31 December 2013 est.) |
| Current account balance: | $-23.53 billion (2016 est.) |
| Current account balance: | $-59.43 billion (2015 est.) |
| Exports: | $184.5 billion (2016 est.) |
| Exports: | $190.1 billion (2015 est.) |
| Exports - commodities: | transport equipment, iron ore, soybeans, footwear, coffee, automobiles |
| Exports - partners: | China 19%, US 12.6%, Argentina 7.3%, Netherlands 5.6% (2016) |
| Imports: | $139.4 billion (2016 est.) |
