| Economy | BRAZIL |
| --- | --- |
| Economy - overview: | Characterized by large and well-developed agricultural, mining, manufacturing, and service sectors, and a rapidly expanding middle class, Brazil's economy outweighs that of all other South American countries, and Brazil is expanding its presence in world markets. Since 2003, Brazil has steadily improved its macroeconomic stability, building up foreign reserves, and reducing its debt profile by shifting its debt burden toward real denominated and domestically held instruments. Since 2008, Brazil became a net external creditor and all three of the major ratings agencies awarded investment grade status to its debt. |
| Economy - overview: | After strong growth in 2007 and 2008, the onset of the global financial crisis hit Brazil in 2008. Brazil experienced two quarters of recession, as global demand for Brazil's commodity-based exports dwindled and external credit dried up. However, Brazil was one of the first emerging markets to begin a recovery. In 2010, consumer and investor confidence revived and GDP growth reached 7.5%, the highest growth rate in the past 25 years. GDP growth has slowed since 2011, due to several factors, including overdependence on exports of raw commodities, low productivity, high operational costs, persistently high inflation, and low levels of investment. After reaching historic lows of 4.8% in 2014, the unemployment rate remains low, but is rising. Brazil's traditionally high level of income inequality has declined for the last 15 years. |
| Economy - overview: | Brazil’s fiscal and current account balances have eroded during the past four years as the government attempted to boost economic growth through targeted tax cuts for industry and incentives to spur household consumption. After winning reelection in October 2014 by a historically narrow margin, President Dilma ROUSSEFF appointed a new economic team led by Finance Minister Joaquim LEVY, who introduced a fiscal austerity package intended to restore the primary account surplus (before interest expenditures are included) to 1.2% of GDP and preserve the country's investment-grade sovereign credit rating. LEVY encountered political headwinds and an economy facing more challenges than he anticipated. The target for the primary account surplus fell to a deficit of 2%, and two of the three main credit rating agencies downgraded Brazil to “junk” status. |
| Economy - overview: | Brazil seeks to strengthen its workforce and its economy over the long run by imposing local content and technology transfer requirements on foreign businesses, by investing in education through social programs such as Bolsa Familia and the Brazil Science Mobility Program, and by investing in research in the areas of space, nanotechnology, healthcare, and energy. |
| GDP (purchasing power parity): | $3.192 trillion (2015 est.) |
| GDP (purchasing power parity): | $3.32 trillion (2014 est.) |
| GDP (purchasing power parity): | $3.317 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $1.773 trillion (2015 est.) |
| GDP - real growth rate: | -3.8% (2015 est.) |
| GDP - real growth rate: | 0.1% (2014 est.) |
| GDP - real growth rate: | 3% (2013 est.) |
| GDP - per capita (PPP): | $15,600 (2015 est.) |
| GDP - per capita (PPP): | $16,400 (2014 est.) |
| GDP - per capita (PPP): | $16,500 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 14.4% of GDP (2015 est.) |
| Gross national saving: | 16.6% of GDP (2014 est.) |
| Gross national saving: | 18.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 63.4% |
| GDP - composition, by end use: | government consumption: 20.2% |
| GDP - composition, by end use: | investment in fixed capital: 18.2% |
| GDP - composition, by end use: | investment in inventories: -0.5% |
| GDP - composition, by end use: | exports of goods and services: 13% |
| GDP - composition, by end use: | imports of goods and services: -14.3% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.9% |
| GDP - composition, by sector of origin: | industry: 22.2% |
| GDP - composition, by sector of origin: | services: 71.9% |
| GDP - composition, by sector of origin: | (2015 est.) |
| Agriculture - products: | coffee, soybeans, wheat, rice, corn, sugarcane, cocoa, citrus; beef |
| Industries: | textiles, shoes, chemicals, cement, lumber, iron ore, tin, steel, aircraft, motor vehicles and parts, other machinery and equipment |
| Industrial production growth rate: | -6.2% (2015 est.) |
| Labor force: | 109.2 million (2015 est.) |
| Labor force - by occupation: | agriculture: 15.7% |
| Labor force - by occupation: | industry: 13.3% |
| Labor force - by occupation: | services: 71% |
| Labor force - by occupation: | (2011 est.) |
| Unemployment rate: | 9% (2015 est.) |
| Unemployment rate: | 6.5% (2014 est.) |
| Population below poverty line: | 21.4% |
| Population below poverty line: | note: approximately 4% of the population are below the "extreme" poverty line (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 0.8% |
| Household income or consumption by percentage share: | highest 10%: 42.9% (2009 est.) |
| Distribution of family income - Gini index: | 51.9 (2012) |
| Distribution of family income - Gini index: | 55.3 (2001) |
| Budget: | revenues: $638 billion |
| Budget: | expenditures: $673.4 billion (2015 est.) |
| Taxes and other revenues: | 36% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2% of GDP (2015 est.) |
| Public debt: | 66.5% of GDP (2015 est.) |
| Public debt: | 57.2% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 9% (2015 est.) |
| Inflation rate (consumer prices): | 6.3% (2014 est.) |
| Central bank discount rate: | 10% (31 December 2013) |
| Central bank discount rate: | 11% (31 December 2011) |
| Commercial bank prime lending rate: | 43.96% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 32.01% (31 December 2014 est.) |
| Stock of narrow money: | $85.64 billion (31 December 2015 est.) |
| Stock of narrow money: | $132.4 billion (31 December 2014 est.) |
| Stock of broad money: | $928.9 billion (31 December 2014 est.) |
| Stock of broad money: | $835.3 billion (31 December 2013 est.) |
