| Economy | Brazil |
| --- | --- |
| Economy - overview: | Characterized by large and well-developed agricultural, mining, manufacturing, and service sectors, Brazil's economy outweighs that of all other South American countries, and Brazil is expanding its presence in world markets. Since 2003, Brazil has steadily improved its macroeconomic stability, building up foreign reserves, and reducing its debt profile by shifting its debt burden toward real denominated and domestically held instruments. In 2008, Brazil became a net external creditor and two ratings agencies awarded investment grade status to its debt. After strong growth in 2007 and 2008, the onset of the global financial crisis hit Brazil in 2008. Brazil experienced two quarters of recession, as global demand for Brazil's commodity-based exports dwindled and external credit dried up. However, Brazil was one of the first emerging markets to begin a recovery. In 2010, consumer and investor confidence revived and GDP growth reached 7.5%, the highest growth rate in the past 25 years. Rising inflation led the authorities to take measures to cool the economy; these actions and the deteriorating international economic situation slowed growth to 2.7% in 2011, and 1.3% in 2012. Unemployment is at historic lows and Brazil's traditionally high level of income inequality has declined for each of the last 14 years. Brazil's historically high interest rates have made it an attractive destination for foreign investors. Large capital inflows over the past several years have contributed to the appreciation of the currency, hurting the competitiveness of Brazilian manufacturing and leading the government to intervene in foreign exchange markets and raise taxes on some foreign capital inflows. President Dilma ROUSSEFF has retained the previous administration's commitment to inflation targeting by the central bank, a floating exchange rate, and fiscal restraint. In an effort to boost growth, in 2012 the administration implemented a somewhat more expansionary monetary policy that has failed to stimulate much growth. |
| GDP (purchasing power parity): | $2.33 trillion (2012 est.) |
| GDP (purchasing power parity): | $2.31 trillion (2011 est.) |
| GDP (purchasing power parity): | $2.249 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $2.223 trillion (2012 est.) |
| GDP - real growth rate: | 0.9% (2012 est.) |
| GDP - real growth rate: | 2.7% (2011 est.) |
| GDP - real growth rate: | 7.5% (2010 est.) |
| GDP - per capita (PPP): | $11,700 (2012 est.) |
| GDP - per capita (PPP): | $11,700 (2011 est.) |
| GDP - per capita (PPP): | $11,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 15.2% of GDP (2012 est.) |
| Gross national saving: | 17.6% of GDP (2011 est.) |
| Gross national saving: | 18% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 62.3% |
| GDP - composition, by end use: | government consumption: 21.5% |
| GDP - composition, by end use: | investment in fixed capital: 18.1% |
| GDP - composition, by end use: | investment in inventories: -0.5% |
| GDP - composition, by end use: | exports of goods and services: 12.6% |
| GDP - composition, by end use: | imports of goods and services: -14% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.2% |
| GDP - composition, by sector of origin: | industry: 26.3% |
| GDP - composition, by sector of origin: | services: 68.5% |
| GDP - composition, by sector of origin: | (2012 est.) |
| Agriculture - products: | coffee, soybeans, wheat, rice, corn, sugarcane, cocoa, citrus; beef |
| Industries: | textiles, shoes, chemicals, cement, lumber, iron ore, tin, steel, aircraft, motor vehicles and parts, other machinery and equipment |
| Industrial production growth rate: | -0.8% (2012 est.) |
| Labor force: | 105.7 million (2012 est.) |
| Labor force - by occupation: | agriculture: 15.7% |
| Labor force - by occupation: | industry: 13.3% |
| Labor force - by occupation: | services: 71% |
| Labor force - by occupation: | (2011 est.) |
| Unemployment rate: | 5.5% (2012 est.) |
| Unemployment rate: | 6% (2011 est.) |
| Population below poverty line: | 21.4% |
| Population below poverty line: | note: official Brazilian data show 4.2% of the population being below the "extreme" poverty line in 2011 (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 0.8% |
| Household income or consumption by percentage share: | highest 10%: 42.9% (2009 est.) |
| Distribution of family income - Gini index: | 51.9 (2012) |
| Distribution of family income - Gini index: | 55.3 (2001) |
| Budget: | revenues: $875.5 billion |
| Budget: | expenditures: $822.1 billion (2012 est.) |
| Taxes and other revenues: | 39.4% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 2.4% of GDP (2012 est.) |
| Public debt: | 58.8% of GDP (2012 est.) |
| Public debt: | 54.2% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.4% (2012 est.) |
| Inflation rate (consumer prices): | 6.6% (2011 est.) |
| Central bank discount rate: | 7.25% (31 December 2012 est.) |
| Central bank discount rate: | 11% (31 December 2011 est.) |
| Commercial bank prime lending rate: | 36.64% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 43.88% (31 December 2011 est.) |
| Stock of narrow money: | $159.1 billion (31 December 2012 est.) |
| Stock of narrow money: | $152.1 billion (31 December 2011 est.) |
| Stock of broad money: | $1.878 trillion (30 November 2011 est.) |
| Stock of broad money: | $1.826 trillion (31 December 2010 est.) |
| Stock of domestic credit: | $2.381 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $2.22 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.229 trillion (31 December 2011) |
| Market value of publicly traded shares: | $1.546 trillion (31 December 2010) |
| Market value of publicly traded shares: | $1.167 trillion (31 December 2009) |
| Current account balance: | $-54.23 billion (2012 est.) |
| Current account balance: | $-52.47 billion (2011 est.) |
| Exports: | $242.6 billion (2012 est.) |
| Exports: | $256 billion (2011 est.) |
| Exports - commodities: | transport equipment, iron ore, soybeans, footwear, coffee, autos |
| Exports - partners: | China 17%, US 11.1%, Argentina 7.4%, Netherlands 6.2% (2012) |
