| Economy | ZIMBABWE |
| --- | --- |
| Economy - overview: | Zimbabwe's economy depends heavily on its mining and agriculture sectors. Following a decade of contraction from 1998 to 2008, the economy recorded real growth of more than 10% per year from 2010-13, before slowing to roughly 3% in 2014 due to poor harvests, low diamond revenues, and decreased investment. Infrastructure and regulatory deficiencies, a poor investment climate, a large public and external debt burden, and extremely high government wage expenses impede the country&rsquo;s economic performance. Until early 2009, the Reserve Bank of Zimbabwe (RBZ) routinely printed money to fund the budget deficit, causing hyperinflation. Dollarization in early 2009 - which allowed currencies such as the Botswana pula, the South Africa rand, and the US dollar to be used locally - ended hyperinflation and reduced inflation below 10% per year, but exposed structural weaknesses that inhibit broad-based growth. The RBZ introduced bond coins denominated in 1, 5, 10, and 25 cent increments on a par with the US dollar in December 2014, more than five years after the Zimbabwe dollar was taken out of circulation. In January 2015, as part of the government&rsquo;s effort to boost trade and attract foreign investment, the RBZ announced that the Chinese renmimbi, Indian rupee, Australian dollar, and Japanese yen would be accepted as legal tender in Zimbabwe. Zimbabwe&rsquo;s government entered a second Staff Monitored Program with the International Monetary Fund in 2014 and undertook other measures to reengage with international financial institutions. Foreign and domestic investment continues to be hindered by the lack of clarity regarding the government&rsquo;s Indigenization and Economic Empowerment Act. |
| GDP (purchasing power parity): | $27.13 billion (2014 est.) |
| GDP (purchasing power parity): | $26.3 billion (2013 est.) |
| GDP (purchasing power parity): | $25.17 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $13.67 billion (2014 est.) |
| GDP - real growth rate: | 3.2% (2014 est.) |
| GDP - real growth rate: | 4.5% (2013 est.) |
| GDP - real growth rate: | 10.6% (2012 est.) |
| GDP - per capita (PPP): | $2,000 (2014 est.) |
| GDP - per capita (PPP): | $2,000 (2013 est.) |
| GDP - per capita (PPP): | $1,900 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | -9% of GDP (2014 est.) |
| Gross national saving: | -12.5% of GDP (2013 est.) |
| Gross national saving: | -11% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 68.7% |
| GDP - composition, by end use: | government consumption: 31.4% |
| GDP - composition, by end use: | investment in fixed capital: 22.4% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 68.5% |
| GDP - composition, by end use: | imports of goods and services: -90.9% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.1% |
| GDP - composition, by sector of origin: | industry: 25.7% |
| GDP - composition, by sector of origin: | services: 54.2% (2014 est.) |
| Agriculture - products: | tobacco, corn, cotton, wheat, coffee, sugarcane, peanuts; sheep, goats, pigs |
| Industries: | mining (coal, gold, platinum, copper, nickel, tin, diamonds, clay, numerous metallic and nonmetallic ores), steel; wood products, cement, chemicals, fertilizer, clothing and footwear, foodstuffs, beverages |
| Industrial production growth rate: | 4.1% (2014 est.) |
| Labor force: | 5.634 million (2014 est.) |
| Labor force - by occupation: | agriculture: 66% |
| Labor force - by occupation: | industry: 10% |
| Labor force - by occupation: | services: 24% (1996) |
| Unemployment rate: | 95% (2009 est.) |
| Unemployment rate: | 80% (2005 est.) |
