| Economy | Zimbabwe |
| --- | --- |
| Economy - overview: | Zimbabwe's economy is growing despite continuing political uncertainty. Following a decade of contraction from 1998 to 2008, Zimbabwe's economy recorded real growth of more than 9% per year in 2010-11, before slowing to 5% in 2012, due in part to a poor harvest and low diamond revenues. However, the government of Zimbabwe still faces a number of difficult economic problems, including infrastructure and regulatory deficiencies, ongoing indigenization pressure, policy uncertainty, a large external debt burden, and insufficient formal employment. Zimbabwe''s 1998-2002 involvement in the war in the Democratic Republic of the Congo drained hundreds of millions of dollars from the economy. The government''s subsequent land reform program, characterized by chaos and violence, badly damaged the commercial farming sector, the traditional source of exports and foreign exchange and the provider of 400,000 jobs, turning Zimbabwe into a net importer of food products. Until early 2009, the Reserve Bank of Zimbabwe routinely printed money to fund the budget deficit, causing hyperinflation. Dollarization in early 2009 - which allowed currencies such as the Botswana pula, the South Africa rand, and the US dollar to be used locally - ended hyperinflation and reduced inflation to about 10%, but exposed structural weaknesses that continue to inhibit broad-based growth. |
| GDP (purchasing power parity): | $7.167 billion (2012 est.) |
| GDP (purchasing power parity): | $6.863 billion (2011 est.) |
| GDP (purchasing power parity): | $6.208 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $9.669 billion |
| GDP (official exchange rate): | note: in 2009, the Zimbabwean dollar was taken out of circulation, making Zimbabwe's GDP at the official exchange rate a highly inaccurate statistic (2012 est.) |
| GDP - real growth rate: | 4.4% (2012 est.) |
| GDP - real growth rate: | 10.6% (2011 est.) |
| GDP - real growth rate: | 9.6% (2010 est.) |
| GDP - per capita (PPP): | $600 (2012 est.) |
| GDP - per capita (PPP): | $500 (2011 est.) |
| GDP - per capita (PPP): | $500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition, by end use: | household consumption: 68% |
| GDP - composition, by end use: | government consumption: 29.4% |
| GDP - composition, by end use: | investment in fixed capital: 21.9% |
| GDP - composition, by end use: | exports of goods and services: 67.9% |
| GDP - composition, by end use: | imports of goods and services: -87.1% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.3% |
| GDP - composition, by sector of origin: | industry: 25.1% |
| GDP - composition, by sector of origin: | services: 54.6% (2012 est.) |
| Agriculture - products: | corn, cotton, tobacco, wheat, coffee, sugarcane, peanuts; sheep, goats, pigs |
| Industries: | mining (coal, gold, platinum, copper, nickel, tin, diamonds, clay, numerous metallic and nonmetallic ores), steel; wood products, cement, chemicals, fertilizer, clothing and footwear, foodstuffs, beverages |
| Industrial production growth rate: | 4.5% (2012 est.) |
| Labor force: | 3.931 million (2012 est.) |
| Labor force - by occupation: | agriculture: 66% |
| Labor force - by occupation: | industry: 10% |
| Labor force - by occupation: | services: 24% (1996) |
| Unemployment rate: | 95% (2009 est.) |
| Unemployment rate: | 80% (2005 est.) |
| Unemployment rate: | note: figures reflect underemployment; true unemployment is unknown and, under current economic conditions, unknowable |
| Population below poverty line: | 68% (2004) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 40.4% (1995) |
| Distribution of family income - Gini index: | 50.1 (2006) |
| Distribution of family income - Gini index: | 50.1 (1995) |
| Budget: | revenues: $985 million |
| Budget: | expenditures: $1.095 billion |
| Taxes and other revenues: | NA% of GDP |
| Budget surplus (+) or deficit (-): | NA% of GDP |
| Public debt: | 244.2% of GDP (2012 est.) |
| Public debt: | 180.6% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8.2% (2012 est.) |
| Inflation rate (consumer prices): | 5.4% (2011 est.) |
| Central bank discount rate: | 7.17% (31 December 2010 est.) |
| Central bank discount rate: | 975% (31 December 2007) |
| Commercial bank prime lending rate: | 30% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 34% (31 December 2011 est.) |
