| Economy | Morocco |
| --- | --- |
| Economy - overview: | Morocco has capitalized on its proximity to Europe and relatively low labor costs to build a diverse, open, market-oriented economy. In the 1980s Morocco was a heavily indebted country before pursuing austerity measures and pro-market reforms, overseen by the IMF. Since taking the throne in 1999, King MOHAMMED VI has presided over a stable economy marked by steady growth, low inflation, and gradually falling unemployment, although a poor harvest and economic difficulties in Europe contributed to an economic slowdown in 2012. Industrial development strategies and infrastructure improvements - most visibly illustrated by a new port and free trade zone near Tangier - are improving Morocco's competitiveness. Morocco also seeks to expand its renewable energy capacity with a goal of making renewable 40% of electricity output by 2020. Key sectors of the economy include agriculture, tourism, phosphates, textiles, apparel, and subcomponents. To boost exports, Morocco entered into a bilateral Free Trade Agreement with the United States in 2006 and an Advanced Status agreement with the European Union in 2008. Despite Morocco's economic progress, the country suffers from high unemployment, poverty, and illiteracy, particularly in rural areas. In 2011 and 2012, high prices on fuel - which is subsidized and almost entirely imported - strained the government''s budget and widened the country''s current account deficit. Key economic challenges for Morocco include fighting corruption and reforming the education system, the judiciary, and the government''s costly subsidy program. |
| GDP (purchasing power parity): | $168.9 billion (2012 est.) |
| GDP (purchasing power parity): | $164.5 billion (2011 est.) |
| GDP (purchasing power parity): | $156.7 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $94.83 billion (2012 est.) |
| GDP - real growth rate: | 2.7% (2012 est.) |
| GDP - real growth rate: | 5% (2011 est.) |
| GDP - real growth rate: | 3.6% (2010 est.) |
| GDP - per capita (PPP): | $5,200 (2012 est.) |
| GDP - per capita (PPP): | $5,100 (2011 est.) |
| GDP - per capita (PPP): | $4,900 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 25.1% of GDP (2012 est.) |
| Gross national saving: | 27.6% of GDP (2011 est.) |
| Gross national saving: | 30.1% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 59.7% |
| GDP - composition, by end use: | government consumption: 19.2% |
| GDP - composition, by end use: | investment in fixed capital: 31.4% |
| GDP - composition, by end use: | investment in inventories: 3.9% |
| GDP - composition, by end use: | exports of goods and services: 36.2% |
| GDP - composition, by end use: | imports of goods and services: -50.4% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 15.1% |
| GDP - composition, by sector of origin: | industry: 31.7% |
| GDP - composition, by sector of origin: | services: 53.2% (2012 est.) |
| Agriculture - products: | barley, wheat, citrus fruits, grapes, vegetables, olives; livestock; wine |
| Industries: | phosphate rock mining and processing, food processing, leather goods, textiles, construction, energy, tourism |
| Industrial production growth rate: | 0.7% (2012 est.) |
| Labor force: | 11.53 million (2012 est.) |
| Labor force - by occupation: | agriculture: 44.6% |
