| Economy | Paraguay |
| --- | --- |
| Economy - overview: | Landlocked Paraguay has a market economy distinguished by a large informal sector, featuring re-export of imported consumer goods to neighboring countries, as well as the activities of thousands of microenterprises and urban street vendors. A large percentage of the population, especially in rural areas, derives its living from agricultural activity, often on a subsistence basis. Because of the importance of the informal sector, accurate economic measures are difficult to obtain. On a per capita basis, real income has stagnated at 1980 levels. The economy grew rapidly between 2003 and 2008 as growing world demand for commodities combined with high prices and favorable weather to support Paraguay's commodity-based export expansion. Paraguay is the sixth largest soy producer in the world. Drought hit in 2008, reducing agricultural exports and slowing the economy even before the onset of the global recession. The economy fell 3.8% in 2009, as lower world demand and commodity prices caused exports to contract. The government reacted by introducing fiscal and monetary stimulus packages. Growth resumed at a 13% level in 2010, the highest in South America, but slowed in 2011-12 as the stimulus subsided and severe drought and outbreaks of foot-and-mouth disease led to a drop in beef and other agricultural exports. The economy took another leap in 2013, largely due to strong export growth. Political uncertainty, corruption, limited progress on structural reform, and deficient infrastructure are the main obstacles to long-term growth. |
| GDP (purchasing power parity): | $45.9 billion (2013 est.) |
| GDP (purchasing power parity): | $40.98 billion (2012 est.) |
| GDP (purchasing power parity): | $41.49 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $30.56 billion (2013 est.) |
| GDP - real growth rate: | 12% (2013 est.) |
| GDP - real growth rate: | -1.2% (2012 est.) |
| GDP - real growth rate: | 4.3% (2011 est.) |
| GDP - per capita (PPP): | $6,800 (2013 est.) |
| GDP - per capita (PPP): | $6,100 (2012 est.) |
| GDP - per capita (PPP): | $6,300 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| GDP - composition, by end use: | household consumption: 67.1% |
| GDP - composition, by end use: | government consumption: 12.8% |
| GDP - composition, by end use: | investment in fixed capital: 16.9% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 52.1% |
| GDP - composition, by end use: | imports of goods and services: -49.4% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.4% |
| GDP - composition, by sector of origin: | industry: 17.7% |
| GDP - composition, by sector of origin: | services: 61.9% (2013 est.) |
| Agriculture - products: | cotton, sugarcane, soybeans, corn, wheat, tobacco, cassava (manioc, tapioca), fruits, vegetables; beef, pork, eggs, milk; timber |
| Industries: | sugar, cement, textiles, beverages, wood products, steel, base metals, electric power |
| Industrial production growth rate: | 5.6% (2013 est.) |
| Labor force: | 3.19 million (2013 est.) |
| Labor force - by occupation: | agriculture: 26.5% |
| Labor force - by occupation: | industry: 18.5% |
| Labor force - by occupation: | services: 55% (2008) |
| Unemployment rate: | 6.6% (2013 est.) |
| Unemployment rate: | 6.9% (2012 est.) |
| Population below poverty line: | 34.7% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1% |
| Household income or consumption by percentage share: | highest 10%: 41.1% (2010 est.) |
| Distribution of family income - Gini index: | 53.2 (2009) |
| Distribution of family income - Gini index: | 57.7 (1998) |
| Budget: | revenues: $5.788 billion |
