| Economy | Albania |
| --- | --- |
| Economy - overview: | Albania, a formerly closed, centrally-planned state, is making the difficult transition to a more modern open-market economy. Albania managed to weather the first waves of the global financial crisis but, more recently, its negative effects have put some pressure on the Albanian economy. While the government is focused on establishing a favorable business climate through the simplification of licensing requirements and tax codes, it entered into a new arrangement with the IMF for additional financial and technical support. Remittances, a significant catalyst for economic growth declined from 12-15% of GDP before the 2008 financial crisis to 7% of GDP in 2012, mostly from Albanians residing in Greece and Italy. The agricultural sector, which accounts for almost half of employment but only about one-fifth of GDP, is limited primarily to small family operations and subsistence farming, because of a lack of modern equipment, unclear property rights, and the prevalence of small, inefficient plots of land. Complex tax codes and licensing requirements, a weak judicial system, poor enforcement of contracts and property issues, and antiquated infrastructure contribute to Albania's poor business environment and makes attracting foreign investment more difficult. Inward FDI is among the lowest in the region, but the government has embarked on an ambitious program to improve the business climate through fiscal and legislative reforms. Albania’s energy supply has improved in recent years mostly due to upgraded transmission capacities that Albania has developed with its neighboring countries. However, technical and non-technical losses - including energy theft and non-payment - continue to be a threat to the financial viability of the entire system. Also, with help from international donors, the government is taking steps to improve the poor national road and rail network, a long-standing barrier to sustained economic growth. The country will continue to face challenges from increasing public debt, having exceeded its former statutory limit of 60% of GDP in 2013. Strong trade, remittance, and banking sector ties with Greece and Italy make Albania vulnerable to spillover effects of debt crises and weak growth in the euro zone. |
| GDP (purchasing power parity): | $28.34 billion (2013 est.) |
| GDP (purchasing power parity): | $28.14 billion (2012 est.) |
| GDP (purchasing power parity): | $27.78 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (purchasing power parity): | Albania has an informal, and unreported, sector that may be as large as 50% of official GDP |
| GDP (official exchange rate): | $12.8 billion (2013 est.) |
| GDP - real growth rate: | 0.7% (2013 est.) |
| GDP - real growth rate: | 1.3% (2012 est.) |
| GDP - real growth rate: | 3.1% (2011 est.) |
| GDP - per capita (PPP): | $10,700 (2013 est.) |
| GDP - per capita (PPP): | $10,400 (2012 est.) |
| GDP - per capita (PPP): | $9,900 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 14.1% of GDP (2013 est.) |
| Gross national saving: | 13.6% of GDP (2012 est.) |
| Gross national saving: | 13.6% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 87.6% |
| GDP - composition, by end use: | government consumption: 8.4% |
| GDP - composition, by end use: | investment in fixed capital: 25% |
| GDP - composition, by end use: | investment in inventories: -2.6% |
| GDP - composition, by end use: | exports of goods and services: 36% |
| GDP - composition, by end use: | imports of goods and services: -54.4% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 19.5% |
| GDP - composition, by sector of origin: | industry: 12% |
| GDP - composition, by sector of origin: | services: 68.5% |
| GDP - composition, by sector of origin: | (2011 est.) |
| Agriculture - products: | wheat, corn, potatoes, vegetables, fruits, sugar beets, grapes; meat, dairy products; sheep |
| Industries: | food and tobacco products; textiles and clothing; lumber, oil, cement, chemicals, mining, basic metals, hydropower |
| Industrial production growth rate: | 3.1% (2013 est.) |
| Labor force: | 1.098 million (2013 est.) |
| Labor force - by occupation: | agriculture: 54.6% |
| Labor force - by occupation: | industry: 12.8% |
| Labor force - by occupation: | services: 32.6% |
| Labor force - by occupation: | (December 2012 est) |
| Unemployment rate: | 16.9% (2013 est.) |
| Unemployment rate: | 14.4% (2012 est.) |
| Unemployment rate: | note: these are official rates that may not include those working at near-subsistence farming |
| Population below poverty line: | 14.3% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.5% |
| Household income or consumption by percentage share: | highest 10%: 29% (2008) |
| Distribution of family income - Gini index: | 34.5 (2008) |
| Distribution of family income - Gini index: | 26.7 (2005) |
| Budget: | revenues: $3.074 billion |
| Budget: | expenditures: $3.858 billion (2013 est.) |
| Taxes and other revenues: | 24% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -6.1% of GDP (2013 est.) |
| Public debt: | 70.5% of GDP (2013 est.) |
| Public debt: | 62.5% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.7% (2013 est.) |
| Inflation rate (consumer prices): | 2.1% (2012 est.) |
| Central bank discount rate: | $NA (31 December  2013 est.) |
| Central bank discount rate: | 4% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 9.52% (31 December  2013 est.) |
| Commercial bank prime lending rate: | 10.28% (31 December 2012 est.) |
| Stock of narrow money: | $2.791 billion (31 December  2013 est.) |
| Stock of narrow money: | $2.652 billion (31 December 2012 est.) |
| Stock of broad money: | $6.539 billion (31 December  2013 est.) |
| Stock of broad money: | $6.316 billion (31 December 2012 est.) |
| Stock of domestic credit: | $5.17 billion (31 December  2013 est.) |
| Stock of domestic credit: | $5.233 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$1.28 billion (2013 est.) |
| Current account balance: | -$1.316 billion (2012 est.) |
| Exports: | $2.323 billion (2013 est.) |
| Exports: | $2.1 billion (2012 est.) |
| Exports - commodities: | textiles and footwear; asphalt, metals and metallic ores, crude oil; vegetables, fruits, tobacco |
| Exports - partners: | Italy 51.1%, Spain 9.2%, Turkey 6.3%, Greece 4.4% (2012) |
| Imports: | $4.835 billion (2013 est.) |
| Imports: | $4.985 billion (2012 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, textiles, chemicals |
| Imports - partners: | Italy 31.9%, Greece 9.5%, China 6.4%, Germany 6%, Turkey 5.7% (2012) |
| Reserves of foreign exchange and gold: | $2.827 billion (31 December  2013 est.) |
| Reserves of foreign exchange and gold: | $2.784 billion (31 December 2012 est.) |
| Debt - external: | $3.213 billion (31 December  2013 est.) |
| Debt - external: | $2.957 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $4.226 billion (31 December 2011) |
| Stock of direct foreign investment - at home: | $3.534 billion (31 December 2010) |
| Exchange rates: | leke (ALL) per US dollar - |
| Exchange rates: | 109.2 (2013 est.) |
| Exchange rates: | 108.19 (2012 est.) |
| Exchange rates: | 103.94 (2010 est.) |
| Exchange rates: | 94.98 (2009) |
| Exchange rates: | 79.546 (2008) |
