| Economy | Mauritania |
| --- | --- |
| Economy - overview: | Mauritania's economy is dominated by extractive industries (oil and mines), fisheries, livestock, agriculture, and services. Half the population still depends on farming and raising livestock, even though many nomads and subsistence farmers were forced into the cities by recurrent droughts in the 1970s, 1980s, 2000s, and 2017. Recently, GDP growth has been driven largely by foreign investment in the mining and oil sectors. |
| Economy - overview: | Mauritania's extensive mineral resources include iron ore, gold, copper, gypsum, and phosphate rock, and exploration is ongoing for tantalum, uranium, crude oil, and natural gas. Extractive commodities make up about three-quarters of Mauritania's total exports, subjecting the economy to price swings in world commodity markets. Mining is also a growing source of government revenue, rising from 13% to 30% of total revenue from 2006 to 2014. The nation's coastal waters are among the richest fishing areas in the world, and fishing accounts for about 15% of budget revenues, 45% of foreign currency earnings. Mauritania processes a total of 1,800,000 tons of fish per year, but overexploitation by foreign and national fleets threaten the sustainability of this key source of revenue. |
| Economy - overview: | The economy is highly sensitive to international food and extractive commodity prices. Other risks to Mauritania's economy include its recurring droughts, dependence on foreign aid and investment, and insecurity in neighboring Mali, as well as significant shortages of infrastructure, institutional capacity, and human capital. In December 2017, Mauritania and the IMF agreed to a three year agreement under the Extended Credit Facility to foster economic growth, maintain macroeconomic stability, and reduce poverty. Investment in agriculture and infrastructure are the largest components of the countryâ€™s public expenditures. |
| GDP (purchasing power parity): | $17.28 billion (2017 est.) |
| GDP (purchasing power parity): | $16.7 billion (2016 est.) |
| GDP (purchasing power parity): | $16.4 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $4.935 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 3.5% (2017 est.) |
| GDP - real growth rate: | 1.8% (2016 est.) |
| GDP - real growth rate: | 0.4% (2015 est.) |
| GDP - per capita (PPP): | $4,500 (2017 est.) |
| GDP - per capita (PPP): | $4,400 (2016 est.) |
| GDP - per capita (PPP): | $4,400 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 24.2% of GDP (2017 est.) |
| Gross national saving: | 24.8% of GDP (2016 est.) |
| Gross national saving: | 19% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 64.9% (2017 est.) |
| GDP - composition, by end use: | government consumption: 21.8% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 56.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -3.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 39% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -78.6% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 27.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 29.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 42.9% (2017 est.) |
| Agriculture - products: | dates, millet, sorghum, rice, corn; cattle, camel and sheep |
| Industries: | fish processing, oil production, mining (iron ore, gold, copper) |
| Industries: | note: gypsum deposits have never been exploited |
| Industrial production growth rate: | 1% (2017 est.) |
| Labor force: | 1.437 million (2017 est.) |
| Labor force - by occupation: | agriculture: 50% |
| Labor force - by occupation: | industry: 1.9% |
| Labor force - by occupation: | services: 48.1% (2014 est.) |
| Unemployment rate: | 10.2% (2017 est.) |
| Unemployment rate: | 10.1% (2016 est.) |
| Population below poverty line: | 31% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 29.5% (2000) |
| Household income or consumption by percentage share: | highest 10%: 29.5% (2000) |
| Distribution of family income - Gini index: | 37 (2014) |
| Distribution of family income - Gini index: | 39 (2006 est.) |
| Budget: | revenues: 1.354 billion (2017 est.) |
| Budget: | expenditures: 1.396 billion (2017 est.) |
| Taxes and other revenues: | 27.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -0.8% (of GDP) (2017 est.) |
| Public debt: | 96.6% of GDP (2017 est.) |
| Public debt: | 100% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.3% (2017 est.) |
| Inflation rate (consumer prices): | 1.5% (2016 est.) |
| Central bank discount rate: | 9% (31 December 2009) |
| Central bank discount rate: | 12% (31 December 2007) |
| Commercial bank prime lending rate: | 17% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 17% (31 December 2016 est.) |
| Stock of narrow money: | $1.296 billion (31 December 2017 est.) |
| Stock of narrow money: | $1.287 billion (31 December 2016 est.) |
| Stock of broad money: | $1.296 billion (31 December 2017 est.) |
| Stock of broad money: | $1.287 billion (31 December 2016 est.) |
| Stock of domestic credit: | $2.364 billion (31 December 2017 est.) |
| Stock of domestic credit: | $2.355 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$711 million (2017 est.) |
| Current account balance: | -$707 million (2016 est.) |
| Exports: | $1.722 billion (2017 est.) |
| Exports: | $1.401 billion (2016 est.) |
| Exports - partners: | China 31.2%, Switzerland 14.4%, Spain 10.1%, Germany 8.2%, Japan 8.1% (2017) |
| Exports - commodities: | iron ore, fish and fish products, livestock, gold, copper, crude oil |
| Imports: | $2.094 billion (2017 est.) |
| Imports: | $1.9 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, petroleum products, capital goods, foodstuffs, consumer goods |
| Imports - partners: | Belgium 11.5%, UAE 11.3%, US 9.2%, China 7.5%, France 7.4%, Netherlands 6.1%, Morocco 6%, Slovenia 4.8%, Vanuatu 4.7%, Spain 4.7% (2017) |
