| Economy | COLOMBIA |
| --- | --- |
| Economy - overview: | Colombia's consistently sound economic policies and aggressive promotion of free trade agreements in recent years have bolstered its ability to weather external shocks. Colombia depends heavily on energy and mining exports, making it vulnerable to a drop in commodity prices. Colombia is the world's fourth largest coal exporter and Latin America's fourth largest oil producer. Economic development is stymied by inadequate infrastructure, inequality, poverty, narcotrafficking and an uncertain security situation. |
| Economy - overview: | Declining oil prices have resulted in a drop in government revenues. In 2014, Colombia passed a tax reform bill to offset the lost revenue from the global drop in oil prices. The SANTOS administration is also using tax reform to help finance implementation of a peace deal between FARC and the government. Colombian officials estimate a peace deal may bolster economic growth by up to 2%. |
| Economy - overview: | Despite austerity measures put in place by the SANTOS administration, GDP and foreign direct investment fell in 2015, while the El Nino weather phenomenon caused food and energy prices to rise, with inflation spiking to 6.8%. In order to combat inflation, the Central Bank raised interest rates four times during the last four months of 2015, ending the year with a 25 basis point increase to 5.75%. Unemployment has continued to decrease and hit a record low of 8.9% in 2015, but the rate is still one of Latin America's highest. Nevertheless, Colombia’s GDP growth rate makes it the region’s best performer among large economies in 2015. |
| Economy - overview: | Real GDP growth averaged 4.8% per year from 2010-2014, continuing a decade of strong economic performance, before dropping in 2015. All three major ratings agencies upgraded Colombia's government debt to investment grade in 2013 and 2014, which helped to attract record levels of investment, mostly in the hydrocarbons sector. However, Standard & Poor’s downgraded its long-term outlook from stable to negative in early 2016. The change, due largely to falling government revenues, could cause Colombia to lose its investment-grade bond status. |
| Economy - overview: | The SANTOS Administration's foreign policy has focused on bolstering Colombia's commercial ties and boosting investment at home. Colombia has signed or is negotiating Free Trade Agreements (FTA) with more than a dozen countries; the US-Colombia FTA went into force in May 2012. The US and Colombia have benefitted from the FTA, but Colombia’s ability to take full advantage of its enhanced access to American markets continues to be constrained by lack of export diversification. Nontariff measures remain a point of contention for bilateral trade relations. Truck scrappage regulation, and restrictions on liquor, pharmaceutical, and ethanol imports are top irritants in the bilateral trade relationship. Colombia is a founding member of the Pacific Alliance - a regional trade block formed in 2012 by Chile, Colombia, Mexico, and Peru to promote regional trade and economic integration. In 2013, Colombia began its accession process to the OECD. |
| GDP (purchasing power parity): | $667.4 billion (2015 est.) |
| GDP (purchasing power parity): | $647.5 billion (2014 est.) |
| GDP (purchasing power parity): | $620.3 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
