| Economy | Colombia |
| --- | --- |
| Economy - overview: | Colombia heavily depends on energy and mining exports, making it vulnerable to fluctuations in commodity prices. Colombia is Latin Americaâ€™s fourth largest oil producer and the worldâ€™s fourth largest coal producer, third largest coffee exporter, and second largest cut flowers exporter. Colombiaâ€™s economic development is hampered by inadequate infrastructure, poverty, narcotrafficking, and an uncertain security situation, in addition to dependence on primary commodities (goods that have little value-added from processing or labor inputs). |
| Economy - overview: | Colombiaâ€™s economy slowed in 2017 because of falling world market prices for oil and lower domestic oil production due to insurgent attacks on pipeline infrastructure. Although real GDP growth averaged 4.7% during the past decade, it fell to an estimated 1.8% in 2017. Declining oil prices also have contributed to reduced government revenues. In 2016, oil revenue dropped below 4% of the federal budget and likely remained below 4% in 2017. A Western credit rating agency in December 2017 downgraded Colombiaâ€™s sovereign credit rating to BBB-, because of weaker-than-expected growth and increasing external debt. Colombia has struggled to address local referendums against foreign investment, which have slowed its expansion, especially in the oil and mining sectors. Colombiaâ€™s FDI declined by 3% to $10.2 billion between January and September 2017. |
| Economy - overview: | Colombia has signed or is negotiating Free Trade Agreements (FTA) with more than a dozen countries; the US-Colombia FTA went into effect in May 2012. Colombia is a founding member of the Pacific Allianceâ€”a regional trade block formed in 2012 by Chile, Colombia, Mexico, and Peru to promote regional trade and economic integration. The Colombian government took steps in 2017 to address several bilateral trade irritants with the US, including those on truck scrappage, distilled spirits, pharmaceuticals, ethanol imports, and labor rights. Colombia hopes to accede to the Organization for Economic Cooperation and Development. |
| GDP (purchasing power parity): | $711.6 billion (2017 est.) |
| GDP (purchasing power parity): | $699.1 billion (2016 est.) |
| GDP (purchasing power parity): | $685.6 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $314.5 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 1.8% (2017 est.) |
| GDP - real growth rate: | 2% (2016 est.) |
| GDP - real growth rate: | 3% (2015 est.) |
| GDP - per capita (PPP): | $14,400 (2017 est.) |
| GDP - per capita (PPP): | $14,300 (2016 est.) |
| GDP - per capita (PPP): | $14,200 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 18.9% of GDP (2017 est.) |
| Gross national saving: | 19% of GDP (2016 est.) |
| Gross national saving: | 17.4% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 68.2% (2017 est.) |
| GDP - composition, by end use: | government consumption: 14.8% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 22.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 14.6% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -19.7% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.2% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 30.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 62.1% (2017 est.) |
| Agriculture - products: | coffee, cut flowers, bananas, rice, tobacco, corn, sugarcane, cocoa beans, oilseed, vegetables; shrimp; forest products |
| Industries: | textiles, food processing, oil, clothing and footwear, beverages, chemicals, cement; gold, coal, emeralds |
| Industrial production growth rate: | -2.2% (2017 est.) |
| Labor force: | 25.76 million (2017 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 21% |
| Labor force - by occupation: | services: 62% (2011 est.) |
