| Economy | DENMARK |
| --- | --- |
| Economy - overview: | This thoroughly modern market economy features a high-tech agricultural sector, state-of-the-art industry with world-leading firms in pharmaceuticals, maritime shipping and renewable energy, and a high dependence on foreign trade. Denmark is a member of the European Union (EU); Danish legislation and regulations conform to EU standards on almost all issues. Danes enjoy a high standard of living and the Danish economy is characterized by extensive government welfare measures and an equitable distribution of income. Denmark is a net exporter of food and energy and enjoys a comfortable balance of payments surplus, but depends on imports of raw materials for the manufacturing sector. Within the EU, Denmark is among the strongest supporters of trade liberalization. After a long consumption-driven upswing, Denmark's economy began slowing in 2007 with the end of a housing boom. Housing prices dropped markedly in 2008-09 and, following a short respite in 2010, have since continued to decline. Household indebtedness is still relatively high at more than 275% of gross disposable income in the first half of 2013. The global financial crisis has exacerbated this cyclical slowdown through increased borrowing costs and lower export demand, consumer confidence, and investment. Denmark made a modest recovery in 2010, in part because of increased government spending; however, the country experienced a technical recession in late 2010-early 2011 and has been slow to emerge from it in 2012-14 . Historically low levels of unemployment rose sharply with the recession and have remained at about 6% in 2010-13, based on the national measure, about two-thirds average EU unemployment. An impending decline in the ratio of workers to retirees will be a major long-term issue. Denmark maintained a healthy budget surplus for many years up to 2008, but the budget balance swung into deficit in 2009, where it remains. In spite of the deficits, the new coalition government delivered a modest stimulus to the economy in 2012. Despite previously meeting the criteria to join the European Economic and Monetary Union (EMU), Denmark has negotiated an opt-out with the EU and is not required to adopt the euro. |
| GDP (purchasing power parity): | $249.5 billion (2014 est.) |
| GDP (purchasing power parity): | $247.1 billion (2013 est.) |
| GDP (purchasing power parity): | $248.3 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $340.8 billion (2014 est.) |
| GDP - real growth rate: | 1% (2014 est.) |
| GDP - real growth rate: | -0.5% (2013 est.) |
| GDP - real growth rate: | -0.7% (2012 est.) |
| GDP - per capita (PPP): | $44,300 (2014 est.) |
| GDP - per capita (PPP): | $43,900 (2013 est.) |
| GDP - per capita (PPP): | $44,100 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 25.6% of GDP (2014 est.) |
| Gross national saving: | 26% of GDP (2013 est.) |
| Gross national saving: | 24.6% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 49.3% |
| GDP - composition, by end use: | government consumption: 26.9% |
| GDP - composition, by end use: | investment in fixed capital: 18.9% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 53.7% |
| GDP - composition, by end use: | imports of goods and services: -48.9% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.3% |
| GDP - composition, by sector of origin: | industry: 21.2% |
| GDP - composition, by sector of origin: | services: 77.5% (2014 est.) |
| Agriculture - products: | barley, wheat, potatoes, sugar beets; pork, dairy products; fish |
| Industries: | iron, steel, nonferrous metals, chemicals, food processing, machinery and transportation equipment, textiles and clothing, electronics, construction, furniture and other wood products, shipbuilding and refurbishment, windmills, pharmaceuticals, medical equipment |
| Industrial production growth rate: | -1% (2014 est.) |
| Labor force: | 2.771 million (2014 est.) |
| Labor force - by occupation: | agriculture: 2.6% |
| Labor force - by occupation: | industry: 20.3% |
| Labor force - by occupation: | services: 77.1% (2011 est.) |
| Unemployment rate: | 6.5% (2014 est.) |
| Unemployment rate: | 5.7% (2013 est.) |
| Population below poverty line: | 13.4% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.9% |
| Household income or consumption by percentage share: | highest 10%: 28.7% (2007) |
| Distribution of family income - Gini index: | 24.8 (2011 est.) |
| Distribution of family income - Gini index: | 24.7 (1992) |
| Budget: | revenues: $192.6 billion |
| Budget: | expenditures: $197.5 billion (2014 est.) |
| Taxes and other revenues: | 55.5% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -1.4% of GDP (2014 est.) |
| Public debt: | 44.3% of GDP (2014 est.) |
| Public debt: | 43.7% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.6% (2014 est.) |
| Inflation rate (consumer prices): | 0.8% (2013 est.) |
| Central bank discount rate: | 0.75% (31 December 2011) |
| Central bank discount rate: | 0.75% (31 December 2010) |
| Commercial bank prime lending rate: | 3.9% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 4.04% (31 December 2013 est.) |
| Stock of narrow money: | $155.6 billion (31 December 2014 est.) |
| Stock of narrow money: | $162.3 billion (31 December 2013 est.) |
| Stock of broad money: | $181.1 billion (31 December 2014 est.) |
| Stock of broad money: | $189.2 billion (31 December 2013 est.) |
| Stock of domestic credit: | $648.4 billion (31 December 2014 est.) |
| Stock of domestic credit: | $695.7 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $224.9 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $179.5 billion (31 December 2011) |
| Market value of publicly traded shares: | $231.7 billion (31 December 2010 est.) |
| Current account balance: | $21.32 billion (2014 est.) |
| Current account balance: | $23.48 billion (2013 est.) |
| Exports: | $108.8 billion (2014 est.) |
| Exports: | $109.7 billion (2013 est.) |
| Exports - commodities: | machinery and instruments, meat and meat products, dairy products, fish, pharmaceuticals, furniture, windmills |
