| Economy | Denmark |
| --- | --- |
| Economic overview: | This thoroughly modern market economy features advanced industry with world-leading firms in pharmaceuticals, maritime shipping, and renewable energy, and a high-tech agricultural sector. Danes enjoy a high standard of living, and the Danish economy is characterized by extensive government welfare measures and an equitable distribution of income. An aging population will be a long-term issue. |
| Economic overview: | Denmarkâ€™s small open economy is highly dependent on foreign trade, and the government strongly supports trade liberalization. Denmark is a net exporter of food, oil, and gas and enjoys a comfortable balance of payments surplus, but depends on imports of raw materials for the manufacturing sector. |
| Economic overview: | Denmark is a member of the EU but not the eurozone. Despite previously meeting the criteria to join the European Economic and Monetary Union, Denmark has negotiated an opt-out with the EU and is not required to adopt the euro. |
| Economic overview: | Denmark is experiencing a modest economic expansion. The economy grew by 2.0% in 2016 and 2.1% in 2017. The expansion is expected to decline slightly in 2018. Unemployment stood at 5.5% in 2017, based on the national labor survey. The labor market was tight in 2017, with corporations experiencing some difficulty finding appropriately-skilled workers to fill billets. The Danish Government offers extensive programs to train unemployed persons to work in sectors that need qualified workers. |
| Economic overview: | Denmark maintained a healthy budget surplus for many years up to 2008, but the global financial crisis swung the budget balance into deficit. Since 2014 the balance has shifted between surplus and deficit. In 2017 there was a surplus of 1.0%. The government projects a lower deficit in 2018 and 2019 of 0.7%, and public debt (EMU debt) as a share of GDP is expected to decline to 35.6% in 2018 and 34.8% in 2019. The Danish Government plans to address increasing municipal, public housing and integration spending in 2018. |
| GDP real growth rate: | 2.85% (2019 est.) |
| GDP real growth rate: | 2.18% (2018 est.) |
| GDP real growth rate: | 2.83% (2017 est.) |
| Inflation rate (consumer prices): | 0.7% (2019 est.) |
| Inflation rate (consumer prices): | 0.8% (2018 est.) |
| Inflation rate (consumer prices): | 1.1% (2017 est.) |
| Credit ratings: | Fitch rating: AAA (2003) |
| Credit ratings: | Moody's rating: Aaa (1999) |
| Credit ratings: | Standard & Poors rating: AAA (2001) |
| GDP (purchasing power parity) - real: | $283.94 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $276.073 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $270.195 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $350.037 billion (2019 est.) |
| GDP - per capita (PPP): | $66,351 (2019 est.) |
| GDP - per capita (PPP): | $64,734 (2018 est.) |
| GDP - per capita (PPP): | $63,575 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 28.8% of GDP (2017 est.) |
| Gross national saving: | 28.3% of GDP (2016 est.) |
| Gross national saving: | 28.7% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.3% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 22.9% (2017 est.) |
| GDP - composition, by sector of origin: | services: 75.8% (2017 est.) |
| GDP - composition, by end use: | household consumption: 48% (2017 est.) |
| GDP - composition, by end use: | government consumption: 25.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 20% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 54.5% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -47.5% (2017 est.) |
| Ease of Doing Business Index scores: | 85.3 (2020) |
| Agriculture - products: | barley, wheat, potatoes, sugar beets; pork, dairy products; fish |
| Industries: | wind turbines, pharmaceuticals, medical equipment, shipbuilding and refurbishment, iron, steel, nonferrous metals, chemicals, food processing, machinery and transportation equipment, textiles and clothing, electronics, construction, furniture and other wood products |
| Industrial production growth rate: | 2.5% (2017 est.) |
| Labor force: | 2.736 million (2020 est.) |
| Labor force - by occupation: | agriculture: 2.4% |
| Labor force - by occupation: | industry: 18.3% |
| Labor force - by occupation: | services: 79.3% (2016 est.) |
| Unemployment rate: | 3.05% (2019 est.) |
| Unemployment rate: | 3.07% (2018 est.) |
| Population below poverty line: | 13.4% (2011 est.) |
| Population below poverty line: | note: excludes students |
| Household income or consumption by percentage share: | lowest 10%: 9% |
| Household income or consumption by percentage share: | highest 10%: 23.4% (2016 est.) |
| Budget: | revenues: 172.5 billion (2017 est.) |
| Budget: | expenditures: 168.9 billion (2017 est.) |
| Taxes and other revenues: | 53% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.1% (of GDP) (2017 est.) |
| Public debt: | 35.3% of GDP (2017 est.) |
| Public debt: | 37.9% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Current account balance: | $30.935 billion (2019 est.) |
| Current account balance: | $24.821 billion (2018 est.) |
| Exports: | $226.589 billion (2019 est.) |
| Exports: | $215.725 billion (2018 est.) |
| Exports: | $208.941 billion (2017 est.) |
| Exports - partners: | Germany 15.5%, Sweden 11.6%, UK 8.2%, US 7.5%, Norway 6%, China 4.4%, Netherlands 4.4% (2017) |
| Exports - commodities: | wind turbines, pharmaceuticals, machinery and instruments, meat and meat products, dairy products, fish, furniture and design |
| Imports: | $197.818 billion (2019 est.) |
| Imports: | $193.107 billion (2018 est.) |
| Imports: | $184.338 billion (2017 est.) |
| Imports - commodities: | machinery and equipment, raw materials and semimanufactures for industry, chemicals, grain and foodstuffs, consumer goods |
| Imports - partners: | Germany 21.3%, Sweden 11.9%, Netherlands 7.8%, China 7.1%, Norway 6.3%, Poland 4% (2017) |
| Reserves of foreign exchange and gold: | $75.25 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $64.25 billion (31 December 2016 est.) |
