| Economy | DENMARK |
| --- | --- |
| Economy - overview: | This thoroughly modern market economy features a high-tech agricultural sector, advanced industry with world-leading firms in pharmaceuticals, maritime shipping, and in renewable energy, and a high dependence on foreign trade. Denmark is a net exporter of food, oil, and gas and enjoys a comfortable balance of payments surplus, but depends on imports of raw materials for the manufacturing sector. Danes enjoy a high standard of living, and the Danish economy is characterized by extensive government welfare measures and an equitable distribution of income. An aging population will be a long-term issue. |
| Economy - overview: | Denmark is a member of the EU; Danish legislation and regulations conform to EU standards on almost all issues. Despite previously meeting the criteria to join the European Economic and Monetary Union, Denmark has negotiated an opt-out with the EU and is not required to adopt the euro. Within the EU, Denmark is among the strongest supporters of trade liberalization. |
| Economy - overview: | Denmark is experiencing a modest economic expansion. The economy grew by 1.6% in 2015 and an estimated 1.3% in 2016. The expansion is expected to continue at similar rates in 2017 and 2018. The labor market has strengthened since 2013, and unemployment stood at 4.2% in early 2017, based on the national measure. By early 2017, some sectors were experiencing difficulties attracting qualified labor. Productivity growth was significantly below the OECD average from the mid-1990s until 2011, but has increased in recent years. Improvement in productivity is needed to ensure continued growth. |
| Economy - overview: | Denmark maintained a healthy budget surplus for many years up to 2008, but the global financial crisis swung the budget balance into deficit. The 2016 deficit was 1.4%. The government projects lower deficits in 2017 and 2018, and public debt (EMU debt) as a share of GDP is expected to decline. In 2015, household indebtedness remained relatively high at more than 292% of net disposable income, while household net worth - from private pension schemes and other assets - amounted to 497% of net disposable income. |
| GDP (purchasing power parity): | $275.3 billion (2016 est.) |
| GDP (purchasing power parity): | $267.3 billion (2015 est.) |
| GDP (purchasing power parity): | $260.3 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $306.7 billion (2016 est.) |
| GDP - real growth rate: | 1.7% (2016 est.) |
| GDP - real growth rate: | 1.6% (2015 est.) |
| GDP - real growth rate: | 1.7% (2014 est.) |
| GDP - per capita (PPP): | $48,200 (2016 est.) |
| GDP - per capita (PPP): | $47,800 (2015 est.) |
| GDP - per capita (PPP): | $47,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 28.2% of GDP (2016 est.) |
| Gross national saving: | 28.9% of GDP (2015 est.) |
| Gross national saving: | 28.9% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 47.5% |
| GDP - composition, by end use: | government consumption: 25.4% |
| GDP - composition, by end use: | investment in fixed capital: 20.1% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 53.4% |
| GDP - composition, by end use: | imports of goods and services: -46.6% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.1% |
| GDP - composition, by sector of origin: | industry: 23.6% |
| GDP - composition, by sector of origin: | services: 75.3% (2016 est.) |
| Agriculture - products: | barley, wheat, potatoes, sugar beets; pork, dairy products; fish |
| Industries: | iron, steel, nonferrous metals, chemicals, food processing, machinery and transportation equipment, textiles and clothing, electronics, construction, furniture and other wood products, shipbuilding and refurbishment, windmills, pharmaceuticals, medical equipment |
| Industrial production growth rate: | 3.7% (2016 est.) |
| Labor force: | 2.953 million (2016 est.) |
| Labor force - by occupation: | agriculture: 2.4% |
| Labor force - by occupation: | industry: 18.3% |
| Labor force - by occupation: | services: 79.3% (2016 est.) |
| Unemployment rate: | 6.2% (2016 est.) |
| Unemployment rate: | 4.6% (2015 est.) |
| Population below poverty line: | 13.4% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.9% |
| Household income or consumption by percentage share: | highest 10%: 28.7% (2007) |
| Distribution of family income - Gini index: | 28.8 (2015 est.) |
| Distribution of family income - Gini index: | 25.7 (2005 est.) |
| Budget: | revenues: $162.3 billion |
| Budget: | expenditures: $164.3 billion (2016 est.) |
| Taxes and other revenues: | 52.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -0.6% of GDP (2016 est.) |
| Public debt: | 37.7% of GDP (2016 est.) |
| Public debt: | 39.5% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.3% (2016 est.) |
| Inflation rate (consumer prices): | 0.5% (2015 est.) |
| Central bank discount rate: | 0.05% (2016) |
| Central bank discount rate: | 0.05% (2015) |
| Commercial bank prime lending rate: | 3.25% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 3.42% (31 December 2015 est.) |
| Stock of narrow money: | $159.3 billion (31 December 2016 est.) |
| Stock of narrow money: | $151.9 billion (31 December 2015 est.) |
| Stock of broad money: | $173.4 billion (31 December 2016 est.) |
| Stock of broad money: | $168.4 billion (31 December 2015 est.) |
| Stock of domestic credit: | $637.3 billion (31 December 2016 est.) |
| Stock of domestic credit: | $632.9 billion (31 December 2015 est.) |
