| Economy | Denmark |
| --- | --- |
| Economy - overview: | This thoroughly modern market economy features a high-tech agricultural sector, state-of-the-art industry with world-leading firms in pharmaceuticals, maritime shipping and renewable energy, and a high dependence on foreign trade. Denmark is a member of the European Union (EU); Danish legislation and regulations conform to EU standards on almost all issues. Danes enjoy a high standard of living and the Danish economy is characterized by extensive government welfare measures and an equitable distribution of income. Denmark is a net exporter of food and energy and enjoys a comfortable balance of payments surplus but depends on imports of raw materials for the manufacturing sector. Within the EU, Denmark is among the strongest supporters of trade liberalization. After a long consumption-driven upswing, Denmark's economy began slowing in 2007 with the end of a housing boom. Housing prices dropped markedly in 2008-09 and, following a short respite in 2010, has since continued to decline. The global financial crisis has exacerbated this cyclical slowdown through increased borrowing costs and lower export demand, consumer confidence, and investment. The global financial crisis cut Danish real GDP in 2008-09. Denmark made a modest recovery in 2010 with real GDP growth of 1.3%, in part because of increased government spending; however, the country experienced a technical recession in late 2010-early 2011. Historically low levels of unemployment rose sharply with the recession and have remained at about 6% in 2010-12, based on the national measure, about two-thirds average EU unemployment. An impending decline in the ratio of workers to retirees will be a major long-term issue. Denmark maintained a healthy budget surplus for many years up to 2008, but the budget balance swung into deficit in 2009. In spite of the deficits, the new coalition government delivered a modest stimulus to the economy in 2012. Nonetheless, Denmark's fiscal position remains among the strongest in the EU with public debt at about 45% of GDP in 2012. Despite previously meeting the criteria to join the European Economic and Monetary Union (EMU), so far Denmark has decided not to join, although the Danish krone remains pegged to the euro. |
| GDP (purchasing power parity): | $208.3 billion (2012 est.) |
| GDP (purchasing power parity): | $209.1 billion (2011 est.) |
| GDP (purchasing power parity): | $206.8 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $310.6 billion (2012 est.) |
| GDP - real growth rate: | -0.4% (2012 est.) |
| GDP - real growth rate: | 1.1% (2011 est.) |
| GDP - real growth rate: | 1.6% (2010 est.) |
| GDP - per capita (PPP): | $37,300 (2012 est.) |
| GDP - per capita (PPP): | $37,600 (2011 est.) |
| GDP - per capita (PPP): | $37,400 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 22.6% of GDP (2012 est.) |
| Gross national saving: | 23.3% of GDP (2011 est.) |
| Gross national saving: | 22.6% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 49.4% |
| GDP - composition, by end use: | government consumption: 28.6% |
| GDP - composition, by end use: | investment in fixed capital: 17.3% |
| GDP - composition, by end use: | investment in inventories: -0.2% |
| GDP - composition, by end use: | exports of goods and services: 54.4% |
| GDP - composition, by end use: | imports of goods and services: -49.4% |
| GDP - composition, by end use: | (2012 est.) |
