| Economy | CAMBODIA |
| --- | --- |
| Economy - overview: | Cambodia has experienced strong economic growth over the last decade.  Cambodian GDP grew at an average annual rate of over 8% between 2000 and 2010 and over 7% since 2011.  The tourism, garment, construction and real estate, and agriculture sectors accounted for the bulk of growth.  Around 600,000 people, the majority of whom are women, are employed in the garment and footwear sector.  An additional 500,000 Cambodians are employed in the tourism sector, and a further 50,000 people in construction.  In 2005, exploitable oil deposits were found beneath Cambodia's territorial waters, representing a potential revenue stream for the government, if commercial extraction becomes feasible. Some of the deposits are located within the so-called overlapping claimed areas with Thailand.  However, an unresolved border dispute with Thailand has so far prevented development in those areas. Mining also is attracting some investor interest and the government has touted opportunities for mining bauxite, gold, iron and gems. The tourism industry has continued to grow rapidly with foreign arrivals exceeding 2 million per year since 2007 and reaching around 4.5 million visitors in 2014. Cambodia, nevertheless, remains one of the poorest countries in Asia and long-term economic development remains a daunting challenge, inhibited by endemic corruption, limited educational opportunities, high income inequality, and poor job prospects. As of 2012, approximately 2.66 million people live on less than $1.20 per day, and 37% of Cambodian children under the age of 5 suffer from chronic malnutrition. More than 50% of the population is less than 25 years old. The population lacks education and productive skills, particularly in the impoverished countryside, which also lacks basic infrastructure. The Cambodian Government has been working with bilateral and multilateral donors, including the Asian Development Bank, the World Bank and IMF, to address the country's many pressing needs; more than 30% of the government budget comes from donor assistance. A major economic challenge for Cambodia over the next decade will be fashioning an economic environment in which the private sector can create enough jobs to handle Cambodia's demographic imbalance. Following the 2013 national elections, the government announced a variety of economic and business reforms. The government is also moving forward with new legislation to meet the 2015 deadline for the Association of Southeast Asian Nations (ASEAN) Economic Community. |
| GDP (purchasing power parity): | $49.96 billion (2014 est.) |
| GDP (purchasing power parity): | $46.71 billion (2013 est.) |
| GDP (purchasing power parity): | $43.48 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $16.55 billion (2014 est.) |
| GDP - real growth rate: | 7% (2014 est.) |
| GDP - real growth rate: | 7.4% (2013 est.) |
| GDP - real growth rate: | 7.3% (2012 est.) |
| GDP - per capita (PPP): | $3,300 (2014 est.) |
| GDP - per capita (PPP): | $3,100 (2013 est.) |
| GDP - per capita (PPP): | $2,800 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 11.2% of GDP (2014 est.) |
| Gross national saving: | 11.3% of GDP (2013 est.) |
| Gross national saving: | 12.5% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 77% |
| GDP - composition, by end use: | government consumption: 7.3% |
| GDP - composition, by end use: | investment in fixed capital: 18.4% |
| GDP - composition, by end use: | investment in inventories: 1.5% |
| GDP - composition, by end use: | exports of goods and services: 60.8% |
| GDP - composition, by end use: | imports of goods and services: -65% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 32.7% |
| GDP - composition, by sector of origin: | industry: 25.5% |
| GDP - composition, by sector of origin: | services: 41.8% (2014 est.) |
| Agriculture - products: | rice, rubber, corn, vegetables, cashews, cassava (manioc, tapioca), silk |
| Industries: | tourism, garments, construction, rice milling, fishing, wood and wood products, rubber, cement, gem mining, textiles |
| Industrial production growth rate: | 9.6% (2014 est.) |
| Labor force: | 7.974 million (2013 est.) |
| Labor force - by occupation: | agriculture: 48.7% |
| Labor force - by occupation: | industry: 19.9% |
| Labor force - by occupation: | services: 31.5% (2013 est.) |
| Unemployment rate: | 0.3% (2013 est.) |
| Unemployment rate: | 0.2% (2012 est.) |
| Population below poverty line: | 17.7% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 28% (2013 est.) |
| Distribution of family income - Gini index: | 37.9 (2008 est.) |
| Distribution of family income - Gini index: | 41.9 (2004 est.) |
| Budget: | revenues: $2.673 billion |
| Budget: | expenditures: $3.386 billion (2014 est.) |
| Taxes and other revenues: | 15.8% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -4.2% of GDP (2014 est.) |
| Public debt: | 33.9% of GDP (2014 est.) |
| Public debt: | 33.4% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.2% (2014 est.) |
| Inflation rate (consumer prices): | 4.6% (2013 est.) |
| Central bank discount rate: | NA% (31 December 2012) |
| Central bank discount rate: | 5.25% (31 December 2007) |
| Commercial bank prime lending rate: | 12.6% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 12.8% (31 December 2013 est.) |
| Stock of narrow money: | $1.354 billion (31 December 2014 est.) |
| Stock of narrow money: | $1.194 billion (31 December 2013 est.) |
| Stock of broad money: | $9.918 billion (31 December 2014 est.) |
