| Economy | CAMBODIA |
| --- | --- |
| Economy - overview: | Cambodia has experienced strong economic growth over the last decade; GDP grew at an average annual rate of over 8% between 2000 and 2010 and at least 7% since 2011. The tourism, garment, construction and real estate, and agriculture sectors accounted for the bulk of growth. Around 600,000 people, the majority of whom are women, are employed in the garment and footwear sector. An additional 500,000 Cambodians are employed in the tourism sector, and a further 50,000 people in construction. Tourism has continued to grow rapidly with foreign arrivals exceeding 2 million per year since 2007 and reaching around 4.5 million visitors in 2014. Mining also is attracting some investor interest and the government has touted opportunities for mining bauxite, gold, iron and gems. |
| Economy - overview: | Cambodia remains one of the poorest countries in Asia and long-term economic development remains a daunting challenge, inhibited by endemic corruption, limited human resources, high income inequality, and poor job prospects. As of 2012, approximately 2.66 million people live on less than $1.20 per day, and 37% of Cambodian children under the age of 5 suffer from chronic malnutrition. More than 50% of the population is less than 25 years old. The population lacks education and productive skills, particularly in the impoverished countryside, which also lacks basic infrastructure. |
| Economy - overview: | The Cambodian Government has been working with bilateral and multilateral donors, including the Asian Development Bank, the World Bank and IMF, to address the country's many pressing needs; more than 30% of the government budget comes from donor assistance. A major economic challenge for Cambodia over the next decade will be fashioning an economic environment in which the private sector can create enough jobs to handle Cambodia's demographic imbalance. |
| GDP (purchasing power parity): | $54.21 billion (2015 est.) |
| GDP (purchasing power parity): | $50.7 billion (2014 est.) |
| GDP (purchasing power parity): | $47.35 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $18.16 billion (2015 est.) |
| GDP - real growth rate: | 6.9% (2015 est.) |
| GDP - real growth rate: | 7.1% (2014 est.) |
| GDP - real growth rate: | 7.4% (2013 est.) |
| GDP - per capita (PPP): | $3,500 (2015 est.) |
| GDP - per capita (PPP): | $3,300 (2014 est.) |
| GDP - per capita (PPP): | $3,100 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 12.8% of GDP (2015 est.) |
| Gross national saving: | 12.1% of GDP (2014 est.) |
| Gross national saving: | 9.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 78.6% |
| GDP - composition, by end use: | government consumption: 5.3% |
| GDP - composition, by end use: | investment in fixed capital: 21.2% |
| GDP - composition, by end use: | investment in inventories: 1.4% |
| GDP - composition, by end use: | exports of goods and services: 67.6% |
| GDP - composition, by end use: | imports of goods and services: -74.1% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 28.2% |
| GDP - composition, by sector of origin: | industry: 29.4% |
| GDP - composition, by sector of origin: | services: 42.3% (2015 est.) |
