| Economy | ANGOLA |
| --- | --- |
| Economy - overview: | Angola's economy is overwhelmingly driven by its oil sector. Oil production and its supporting activities contribute about 50% of GDP, more than 70% of government revenue, and more than 90% of the country's exports. Diamonds contribute an additional 5% to exports. Subsistence agriculture provides the main livelihood for most of the people, but half of the country's food is still imported. |
| Economy - overview: | Increased oil production supported growth averaging more than 17% per year from 2004 to 2008. A postwar reconstruction boom and resettlement of displaced persons has led to high rates of growth in construction and agriculture as well. Some of the country's infrastructure is still damaged or undeveloped from the 27-year-long civil war. However, the government since 2005 has used billions of dollars in credit from China, Brazil, Portugal, Germany, Spain, and the EU to help rebuild Angola's public infrastructure. Land mines left from the war still mar the countryside, and as a result, the national military, international partners, and private Angolan firms all continue to remove them. |
| Economy - overview: | The global recession that started in 2008 stalled Angola’s economic growth. In particular, lower prices for oil and diamonds slowed GDP growth to 2.4% in 2009, and many construction projects stopped because Luanda accrued $9 billion in arrears to foreign construction companies when government revenue fell. Angola formally abandoned its currency peg in 2009, and in November 2009 signed onto an IMF Stand-By Arrangement loan of $1.4 billion to rebuild international reserves. Consumer inflation declined from 325% in 2000 to less than 9% in 2014, before rising again in 2015-16. |
| Economy - overview: | Falling oil prices, the depreciation of the kwanza, and slower than expected growth in non-oil GDP have reduced growth prospects. Corruption, especially in the extractive sectors, is a major long-term challenge that poses an additional threat to the economy. Government spending in the run-up to the 2017 elections is likely to strain Luanda’s budget. |
| GDP (purchasing power parity): | $186 billion (2016 est.) |
| GDP (purchasing power parity): | $184.9 billion (2015 est.) |
| GDP (purchasing power parity): | $177.5 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $95.34 billion (2016 est.) |
| GDP - real growth rate: | -0.7% (2016 est.) |
| GDP - real growth rate: | 3% (2015 est.) |
| GDP - real growth rate: | 4.8% (2014 est.) |
| GDP - per capita (PPP): | $6,800 (2016 est.) |
| GDP - per capita (PPP): | $7,000 (2015 est.) |
| GDP - per capita (PPP): | $7,000 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 3.3% of GDP (2016 est.) |
| Gross national saving: | -0.4% of GDP (2015 est.) |
| Gross national saving: | 12.4% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 76.9% |
| GDP - composition, by end use: | government consumption: 15.4% |
| GDP - composition, by end use: | investment in fixed capital: 9.9% |
| GDP - composition, by end use: | investment in inventories: -2.6% |
| GDP - composition, by end use: | exports of goods and services: 33% |
| GDP - composition, by end use: | imports of goods and services: -32.7% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 10.2% |
| GDP - composition, by sector of origin: | industry: 61.4% |
| GDP - composition, by sector of origin: | services: 28.4% (2011 est.) |
| Agriculture - products: | bananas, sugarcane, coffee, sisal, corn, cotton, cassava (manioc, tapioca), tobacco, vegetables, plantains; livestock; forest products; fish |
| Industries: | petroleum; diamonds, iron ore, phosphates, feldspar, bauxite, uranium, and gold; cement; basic metal products; fish processing; food processing, brewing, tobacco products, sugar; textiles; ship repair |
| Industrial production growth rate: | 0.5% (2016 est.) |
| Labor force: | 12.1 million (2016 est.) |
| Labor force - by occupation: | agriculture: 85% |
| Labor force - by occupation: | industry and services: 15% (2003 est.) |
| Unemployment rate: | NA% |
| Population below poverty line: | 40.5% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: 0.6% |
| Household income or consumption by percentage share: | highest 10%: 44.7% (2000) |
| Budget: | revenues: $28.61 billion |
| Budget: | expenditures: $34.56 billion (2016 est.) |
| Taxes and other revenues: | 29.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -6.2% of GDP (2016 est.) |
| Public debt: | 77.2% of GDP (2016 est.) |
| Public debt: | 64.2% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 32.4% (2016 est.) |
| Inflation rate (consumer prices): | 10.3% (2015 est.) |
| Central bank discount rate: | 9% (31 December 2014) |
| Central bank discount rate: | 25% (31 December 2010) |
| Commercial bank prime lending rate: | 15.71% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 16.88% (31 December 2015 est.) |
| Stock of narrow money: | $23.17 billion (31 December 2016 est.) |
| Stock of narrow money: | $25.27 billion (31 December 2015 est.) |
| Stock of broad money: | $39.28 billion (31 December 2016 est.) |
| Stock of broad money: | $42.15 billion (31 December 2015 est.) |
| Stock of domestic credit: | $14.25 billion (31 December 2016 est.) |
| Stock of domestic credit: | $17.18 billion (31 December 2015 est.) |
| Current account balance: | $-4.904 billion (2016 est.) |
| Current account balance: | $-10.27 billion (2015 est.) |
| Exports: | $31.03 billion (2016 est.) |
| Exports: | $33.18 billion (2015 est.) |
| Exports - commodities: | crude oil, diamonds, refined petroleum products, coffee, sisal, fish and fish products, timber, cotton |
| Exports - partners: | China 53.7%, India 7.6%, US 5.6%, South Africa 5.3%, France 4.4% (2016) |
| Imports: | $19.25 billion (2016 est.) |
| Imports: | $20.69 billion (2015 est.) |
| Imports - commodities: | machinery and electrical equipment, vehicles and spare parts; medicines, food, textiles, military goods |
| Imports - partners: | Portugal 15.9%, US 12.5%, China 12.2%, South Africa 6.8%, Belgium 6.3%, Brazil 5.5%, UK 4.3% (2016) |
