| Economy | ITALY |
| --- | --- |
| Economy - overview: | Italy has a diversified economy, which is divided into a developed industrial north, dominated by private companies, and a less-developed, highly subsidized, agricultural south, where unemployment is higher. The Italian economy is driven in large part by the manufacture of high-quality consumer goods produced by small and medium-sized enterprises, many of them family-owned. Italy also has a sizable underground economy, which by some estimates accounts for as much as 17% of GDP. These activities are most common within the agriculture, construction, and service sectors. |
| Economy - overview: | Italy is the third-largest economy in the euro zone, but its exceptionally high public debt and structural impediments to growth have rendered it vulnerable to scrutiny by financial markets. Public debt has increased steadily since 2007, reaching 133% of GDP in 2016. Investor concerns about Italy and the broader euro-zone crisis eased in 2013, bringing down Italy's borrowing costs on sovereign government debt from euro-era records. The government still faces pressure from investors and European partners to sustain its efforts to address Italy's longstanding structural impediments to growth, such as labor market inefficiencies, a sluggish judicial system, and a weak banking sector. Italy’s economy returned to modest growth in late 2014 for the first time since late 2011. In 2015-16, Italy’s economy grew 0.7% each year. In 2016, overall unemployment was 11.7%, but youth unemployment remains high at 37.1%. |
| GDP (purchasing power parity): | $2.234 trillion (2016 est.) |
| GDP (purchasing power parity): | $2.187 trillion (2015 est.) |
| GDP (purchasing power parity): | $2.146 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $1.851 trillion (2016 est.) |
| GDP - real growth rate: | 0.9% (2016 est.) |
| GDP - real growth rate: | 0.8% (2015 est.) |
| GDP - real growth rate: | 0.1% (2014 est.) |
| GDP - per capita (PPP): | $36,800 (2016 est.) |
| GDP - per capita (PPP): | $36,400 (2015 est.) |
| GDP - per capita (PPP): | $36,100 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 19.6% of GDP (2016 est.) |
| Gross national saving: | 18.8% of GDP (2015 est.) |
| Gross national saving: | 18.9% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 60.6% |
| GDP - composition, by end use: | government consumption: 18.9% |
| GDP - composition, by end use: | investment in fixed capital: 17% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 30% |
| GDP - composition, by end use: | imports of goods and services: -26.5% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.1% |
| GDP - composition, by sector of origin: | industry: 24.1% |
| GDP - composition, by sector of origin: | services: 73.8% (2016 est.) |
| Agriculture - products: | fruits, vegetables, grapes, potatoes, sugar beets, soybeans, grain, olives; beef, dairy products; fish |
| Industries: | tourism, machinery, iron and steel, chemicals, food processing, textiles, motor vehicles, clothing, footwear, ceramics |
| Industrial production growth rate: | 1.5% (2016 est.) |
| Labor force: | 25.76 million (2016 est.) |
| Labor force - by occupation: | agriculture: 3.9% |
| Labor force - by occupation: | industry: 28.3% |
| Labor force - by occupation: | services: 67.8% (2011) |
| Unemployment rate: | 11.7% (2016 est.) |
| Unemployment rate: | 11.9% (2015 est.) |
| Population below poverty line: | 29.9% (2012 est.) |
