| Economy | Italy |
| --- | --- |
| Economy - overview: | Italy has a diversified industrial economy, which is divided into a developed industrial north, dominated by private companies, and a less-developed, highly subsidized, agricultural south, with high unemployment. The Italian economy is driven in large part by the manufacture of high-quality consumer goods produced by small and medium-sized enterprises, many of them family owned. Italy also has a sizable underground economy, which by some estimates accounts for as much as 17% of GDP. These activities are most common within the agriculture, construction, and service sectors. Italy is the third-largest economy in the euro-zone, but its exceptionally high public debt and structural impediments to growth have rendered it vulnerable to scrutiny by financial markets. Public debt has increased steadily since 2007, topping 126% of GDP in 2012, and investor concerns about the broader euro-zone crisis at times have caused borrowing costs on sovereign government debt to rise to euro-era records. During the second half of 2011 the government passed a series of three austerity packages to balance its budget and decrease its public debt. These measures included a hike in the value-added tax, pension reforms, and cuts to public administration. The government also faces pressure from investors and European partners to sustain its recent efforts to address Italy's long-standing structural impediments to growth, such as an inflexible labor market and widespread tax evasion. In 2012 economic growth and labor market conditions deteriorated, with growth at -2.3% and unemployment rising to nearly 11%. Although the government has undertaken several economic reform iniatiatives, in the longer-term Italy's low fertility rate, productivity, and foreign investment will increasingly strain its economy. Italy's GDP is now 7% below its 2007 pre-crisis level. |
| GDP (purchasing power parity): | $1.834 trillion (2012 est.) |
| GDP (purchasing power parity): | $1.877 trillion (2011 est.) |
| GDP (purchasing power parity): | $1.869 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $1.98 trillion (2012 est.) |
| GDP - real growth rate: | -2.3% (2012 est.) |
| GDP - real growth rate: | 0.4% (2011 est.) |
| GDP - real growth rate: | 1.8% (2010 est.) |
| GDP - per capita (PPP): | $30,100 (2012 est.) |
| GDP - per capita (PPP): | $31,000 (2011 est.) |
| GDP - per capita (PPP): | $31,000 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 2% |
| GDP - composition by sector: | industry: 23.9% |
| GDP - composition by sector: | services: 74.1% (2012 est.) |
| Labor force: | 25.28 million (2012 est.) |
| Labor force - by occupation: | agriculture: 3.9% |
| Labor force - by occupation: | industry: 28.3% |
| Labor force - by occupation: | services: 67.8% (2011) |
| Unemployment rate: | 10.9% (2012 est.) |
| Unemployment rate: | 8.4% (2011 est.) |
| Population below poverty line: | (2011) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 26.8% (2000) |
| Distribution of family income - Gini index: | 31.9 (2011) |
| Distribution of family income - Gini index: | 27.3 (1995) |
| Investment (gross fixed): | 18.2% of GDP (2012 est.) |
| Budget: | revenues: $956.6 billion |
| Budget: | expenditures: $1.014 trillion (2012 est.) |
| Taxes and other revenues: | 48.3% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -2.9% of GDP (2012 est.) |
| Public debt: | 126.1% of GDP (2012 est.) |
| Public debt: | 120.1% of GDP (2011 est.) |
