| Economy | ITALY |
| --- | --- |
| Economy - overview: | Italy has a diversified economy, which is divided into a developed industrial north, dominated by private companies, and a less-developed, highly subsidized, agricultural south, where unemployment is higher. The Italian economy is driven in large part by the manufacture of high-quality consumer goods produced by small and medium-sized enterprises, many of them family-owned. Italy also has a sizable underground economy, which by some estimates accounts for as much as 17% of GDP. These activities are most common within the agriculture, construction, and service sectors. Italy is the third-largest economy in the euro-zone, but its exceptionally high public debt and structural impediments to growth have rendered it vulnerable to scrutiny by financial markets. Public debt has increased steadily since 2007, topping 132% of GDP in 2014, but investor concerns about Italy and the broader euro-zone crisis eased in 2013, bringing down Italy's borrowing costs on sovereign government debt from euro-era records. The government still faces pressure from investors and European partners to sustain its efforts to address Italy's long-standing structural impediments to growth, such as labor market inefficiencies and tax evasion. In 2014 economic growth and labor market conditions continued to deteriorate, with overall unemployment rising to 12.2% and youth unemployment around 40%. Italy's GDP is now nearly 10% below its 2007 pre-crisis level. |
| GDP (purchasing power parity): | $2.128 trillion (2014 est.) |
| GDP (purchasing power parity): | $2.137 trillion (2013 est.) |
| GDP (purchasing power parity): | $2.174 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $2.148 trillion (2014 est.) |
| GDP - real growth rate: | -0.4% (2014 est.) |
| GDP - real growth rate: | -1.7% (2013 est.) |
| GDP - real growth rate: | -2.8% (2012 est.) |
| GDP - per capita (PPP): | $35,500 (2014 est.) |
| GDP - per capita (PPP): | $35,600 (2013 est.) |
| GDP - per capita (PPP): | $36,300 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 18.3% of GDP (2014 est.) |
| Gross national saving: | 18.3% of GDP (2013 est.) |
| Gross national saving: | 17.4% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 60.2% |
| GDP - composition, by end use: | government consumption: 20% |
| GDP - composition, by end use: | investment in fixed capital: 16.9% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 30.1% |
| GDP - composition, by end use: | imports of goods and services: -27.2% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.2% |
| GDP - composition, by sector of origin: | industry: 23.9% |
| GDP - composition, by sector of origin: | services: 73.9% (2014 est.) |
| Agriculture - products: | fruits, vegetables, grapes, potatoes, sugar beets, soybeans, grain, olives; beef, dairy products; fish |
| Industries: | tourism, machinery, iron and steel, chemicals, food processing, textiles, motor vehicles, clothing, footwear, ceramics |
| Industrial production growth rate: | -0.2% (2014 est.) |
| Labor force: | 25.51 million (2014 est.) |
| Labor force - by occupation: | agriculture: 3.9% |
| Labor force - by occupation: | industry: 28.3% |
| Labor force - by occupation: | services: 67.8% (2011) |
| Unemployment rate: | 12.8% (2014 est.) |
| Unemployment rate: | 12.2% (2013 est.) |
| Population below poverty line: | 29.9% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 26.8% (2000) |
| Distribution of family income - Gini index: | 31.9 (2012 est.) |
| Distribution of family income - Gini index: | 27.3 (1995) |
| Budget: | revenues: $990.7 billion |
| Budget: | expenditures: $1.055 trillion (2014 est.) |
| Taxes and other revenues: | 46.5% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -3% of GDP (2014 est.) |
