| Economy | New Zealand |
| --- | --- |
| Economy - overview: | Over the past 20 years the government has transformed New Zealand from an agrarian economy dependent on concessionary British market access to a more industrialized, free market economy that can compete globally. This dynamic growth has boosted real incomes - but left behind some at the bottom of the ladder - and broadened and deepened the technological capabilities of the industrial sector. Per capita income rose for ten consecutive years until 2007 in purchasing power parity terms, but fell in 2008-09. Debt-driven consumer spending drove robust growth in the first half of the decade, helping fuel a large balance of payments deficit that posed a challenge for economic managers. Inflationary pressures caused the central bank to raise its key rate steadily from January 2004 until it was among the highest in the OECD in 2007-08; international capital inflows attracted to the high rates further strengthened the currency and housing market, however, aggravating the current account deficit. The economy fell into recession before the start of the global financial crisis and contracted for five consecutive quarters in 2008-09. In line with global peers, the central bank cut interest rates aggressively and the government developed fiscal stimulus measures. The economy pulled out of recession late in 2009, and achieved 2-3% per year growth in 2010-13. Nevertheless, key trade sectors remain vulnerable to weak external demand. The government plans to raise productivity growth and develop infrastructure, while reining in government spending. |
| GDP (purchasing power parity): | $136 billion (2013 est.) |
| GDP (purchasing power parity): | $132.7 billion (2012 est.) |
| GDP (purchasing power parity): | $129.2 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $181.1 billion (2013 est.) |
| GDP - real growth rate: | 2.5% (2013 est.) |
| GDP - real growth rate: | 2.7% (2012 est.) |
| GDP - real growth rate: | 1.4% (2011 est.) |
| GDP - per capita (PPP): | $30,400 (2013 est.) |
| GDP - per capita (PPP): | $29,900 (2012 est.) |
| GDP - per capita (PPP): | $29,300 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 15.9% of GDP (2013 est.) |
| Gross national saving: | 14.5% of GDP (2012 est.) |
| Gross national saving: | 14.5% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 58.1% |
| GDP - composition, by end use: | government consumption: 19.9% |
| GDP - composition, by end use: | investment in fixed capital: 20.2% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 30% |
| GDP - composition, by end use: | imports of goods and services: -28.7% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 5% |
| GDP - composition, by sector of origin: | industry: 25.5% |
| GDP - composition, by sector of origin: | services: 69.5% (2013 est.) |
| Agriculture - products: | dairy products, lamb and mutton; wheat, barley, potatoes, pulses, fruits, vegetables; wool, beef; fish |
| Industries: | food processing, wood and paper products, textiles, machinery, transportation equipment, banking, insurance, tourism, mining |
| Industrial production growth rate: | 1.9% (2013 est.) |
| Labor force: | 2.413 million (2013 est.) |
| Labor force - by occupation: | agriculture: 7% |
| Labor force - by occupation: | industry: 19% |
| Labor force - by occupation: | services: 74% (2006 est.) |
| Unemployment rate: | 6.4% (2013 est.) |
| Unemployment rate: | 6.9% (2012 est.) |
| Population below poverty line: | NA% |
